,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
59,-19.8495777777778,-43.9916526666667,840.023,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8641.TIF,0.0744219824175687,0.1822929546586582,0.1840438019607652,0.0854698667077724,0.1670080883761477,0000SET_000_DJI_8641.T,-0.6013497326238543,5.472045311509003,-0.0663604298941087,-0.3657474433113977,-0.0485276224214828,0.9074366351753088,0.4643995929077417,0.2900696967835833,1.736860170091088,0.4201974901408216,2.4494504007679394,0.9904867901909554,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,34.369
60,-19.8493244722222,-43.99186375,840.176,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8651.TIF,0.0705401887072212,0.1799933526281227,0.1835625548580536,0.0838559395174201,0.1606855876361863,0000SET_000_DJI_8651.T,-0.6279252233516842,5.635118699675451,-0.0913129918650135,-0.3728486153266521,-0.066454874835672,0.8753723642626474,0.4568248659551767,0.3617196802855713,2.251102202797137,0.4368802809297153,2.551642629922491,0.9805559350996672,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,91.206
89,-19.8493244722222,-43.99186375,840.176,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8651.TIF,0.0705401887072212,0.1799933526281227,0.1835625548580536,0.0838559395174201,0.1606855876361863,0000SET_000_DJI_8651.T,-0.6279252233516842,5.635118699675451,-0.0913129918650135,-0.3728486153266521,-0.066454874835672,0.8753723642626474,0.4568248659551767,0.3617196802855713,2.251102202797137,0.4368802809297153,2.551642629922491,0.9805559350996672,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,49.776
90,-19.8490206944444,-43.9921163055556,840.469,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8661.TIF,0.0711744701794474,0.1775944095044175,0.1870800279820949,0.0824988798547014,0.1625021313620058,0000SET_000_DJI_8661.T,-0.6526419278967475,5.549131029836952,-0.0987981159513305,-0.387942621203537,-0.0703064958068886,0.8686236212106971,0.4409817592212314,0.3134024150918111,1.928604950993812,0.4277863833298135,2.4951981947552357,0.9492964664374262,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,48.463
119,-19.8490206944444,-43.9921163055556,840.469,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8661.TIF,0.0711744701794474,0.1775944095044175,0.1870800279820949,0.0824988798547014,0.1625021313620058,0000SET_000_DJI_8661.T,-0.6526419278967475,5.549131029836952,-0.0987981159513305,-0.387942621203537,-0.0703064958068886,0.8686236212106971,0.4409817592212314,0.3134024150918111,1.928604950993812,0.4277863833298135,2.4951981947552357,0.9492964664374262,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,86.068
120,-19.8487194722222,-43.9923663055556,840.212,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8671.TIF,0.0697841293754926,0.1735604297854093,0.1848491364546035,0.0810484775496534,0.1616206643449481,0000SET_000_DJI_8671.T,-0.6629679773285746,5.540006461708225,-0.0954550707431124,-0.3903783014137475,-0.0670432807016681,0.8743382168011372,0.4384574313094388,0.3218855104188812,1.9916111081679428,0.4264582728611522,2.487104608721561,0.9389301628035112,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,7.753
363,-19.8474663333333,-43.9926246111111,849.774,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8751.TIF,0.0802928462885339,0.1690003603964267,0.147236046449979,0.0803903495270662,0.1587030975901894,0000SET_000_DJI_8751.T,-0.3961127657030755,4.886684761082437,0.0459982495820741,-0.2936640833590047,0.0374814774885584,1.0778820908105962,0.5459963878775941,0.0023973071129892,0.0151056100945154,0.3558360666441872,2.1047997201284985,1.147819195578861,2022-06-15,12:15:40,-19.847638,-43.991933,P0,,,,,,0.3,30,16.39,8.21,336.2,0.19,33.09,10.7,4.74,155.9,0.27,0.18,372.2,242.0,28.44,7.1,19.934,0.359,4674,697.0,123,74.812
396,-19.8467175833333,-43.9928913888889,851.606,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8761.TIF,0.0669390813916949,0.1733162436656983,0.17694691465287,0.082704239543875,0.1611513770968903,0000SET_000_DJI_8761.T,-0.634723156551697,5.69868168369698,-0.0657447969247148,-0.3629588144930203,-0.0467187736271396,0.910732902085538,0.4673957706814052,0.4589071581453312,2.8476775464935606,0.4427671363729049,2.5891637599795563,0.9794815807085744,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,86.018
426,-19.8463896944444,-43.9925185277778,851.035,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8771.TIF,0.0707990224808254,0.1789478096953868,0.181928721516676,0.0850405444556435,0.1654633521918315,0000SET_000_DJI_8771.T,-0.6210173749822403,5.598666847016711,-0.0659282409365142,-0.3629188427670107,-0.0473970783186618,0.909495492588644,0.4674388065099907,0.3913856780509143,2.3653919303965125,0.4330336696253091,2.5275463336213644,0.983614946576668,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,32.651
456,-19.8462485,-43.9923386388889,851.191,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8781.TIF,0.0700034331407826,0.1758222044779505,0.1874828487230964,0.0839177304454488,0.1628061594185503,0000SET_000_DJI_8781.T,-0.6681716676862999,5.576585367187859,-0.1003828955498073,-0.3815950525784677,-0.0704466561353462,0.8683789505407375,0.4476021727693686,0.3856195476265916,2.368580826449086,0.430462714801493,2.5116225960569354,0.9378042080938926,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,8.623
