,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
59,-19.8495777777778,-43.9916526666667,840.023,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8641.TIF,0.0630616611471753,0.155269480076722,0.1567493789131736,0.0733894802664104,0.1443828198601429,0000SET_000_DJI_8641.T,-0.6033878500765583,5.518148712454619,-0.0566412971768826,-0.3622156594672048,-0.0410668772831558,0.9211061687212122,0.4681963065835317,0.3221995458652293,2.2315642967586413,0.4223301285041519,2.462185062241687,0.9905588216890396,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,34.369
60,-19.8493244722222,-43.99186375,840.176,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8651.TIF,0.0594943169253304,0.1508781900013678,0.1535248545286369,0.0704739736964529,0.1350778451510281,0000SET_000_DJI_8651.T,-0.6232215378674284,5.639137784943351,-0.0876873582346786,-0.3707648003797976,-0.0639183534945587,0.8798434987335039,0.4590395080511699,0.3537273539305046,2.61869260303204,0.4343907595676417,2.53601012329851,0.9827606771854948,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,91.206
89,-19.8493244722222,-43.99186375,840.176,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8651.TIF,0.0594943169253304,0.1508781900013678,0.1535248545286369,0.0704739736964529,0.1350778451510281,0000SET_000_DJI_8651.T,-0.6232215378674284,5.639137784943351,-0.0876873582346786,-0.3707648003797976,-0.0639183534945587,0.8798434987335039,0.4590395080511699,0.3537273539305046,2.61869260303204,0.4343907595676417,2.53601012329851,0.9827606771854948,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,49.776
90,-19.8490206944444,-43.9921163055556,840.469,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8661.TIF,0.059919429934148,0.1488696929312819,0.1564983972898336,0.0704514124090751,0.1387537005610271,0000SET_000_DJI_8661.T,-0.6487483479949566,5.560427406099635,-0.0849886070944579,-0.3791454374644151,-0.0601001546067585,0.8866141951860153,0.450173379594423,0.3461762947512038,2.4948977458006425,0.4260292000674033,2.484497818068214,0.9512537860408664,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,48.463
119,-19.8490206944444,-43.9921163055556,840.469,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8661.TIF,0.059919429934148,0.1488696929312819,0.1564983972898336,0.0704514124090751,0.1387537005610271,0000SET_000_DJI_8661.T,-0.6487483479949566,5.560427406099635,-0.0849886070944579,-0.3791454374644151,-0.0601001546067585,0.8866141951860153,0.450173379594423,0.3461762947512038,2.4948977458006425,0.4260292000674033,2.484497818068214,0.9512537860408664,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,86.068
120,-19.8487194722222,-43.9923663055556,840.212,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8671.TIF,0.0586617433711638,0.1450306033057004,0.1540734769025504,0.0689799312036044,0.1374673249036521,0000SET_000_DJI_8671.T,-0.6578731064799788,5.545248238156245,-0.081525655086306,-0.3814940395730182,-0.0569599585924751,0.8922192688012,0.4477080195135297,0.3505299964087622,2.549915019110477,0.4240162251729143,2.4723200329738697,0.9413080448455802,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,7.753
363,-19.8474663333333,-43.9926246111111,849.774,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8751.TIF,0.0672101022805099,0.1418314564150494,0.120785008555821,0.0642297742592018,0.1254949979275077,0000SET_000_DJI_8751.T,-0.3777364177840198,4.924953017809012,0.0225313540574301,-0.3056795432025717,0.0191245299971418,1.0389948175522956,0.5317694226061002,-0.0866402167007689,-0.6903878093278006,0.3569689902820491,2.1102699088761656,1.1742471860611887,2022-06-15,12:15:40,-19.847638,-43.991933,P0,,,,,,0.3,30,16.39,8.21,336.2,0.19,33.09,10.7,4.74,155.9,0.27,0.18,372.2,242.0,28.44,7.1,19.934,0.359,4674,697.0,123,74.812
396,-19.8467175833333,-43.9928913888889,851.606,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8761.TIF,0.0560694491362684,0.1456394726836482,0.1486346544566825,0.0699914506445522,0.1363954469862201,0000SET_000_DJI_8761.T,-0.6355777291330919,5.739159253598101,-0.0606775712250815,-0.3597155233393314,-0.0429400523260668,0.917655761267778,0.4708959084972356,0.4838717482247485,3.547565251746516,0.4440558342151414,2.597483565955736,0.9798486982461604,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,86.018
426,-19.8463896944444,-43.9925185277778,851.035,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8771.TIF,0.05912769084072,0.1495130690437826,0.1522353131817514,0.0717236193827861,0.1394396682896122,0000SET_000_DJI_8771.T,-0.6227390216554666,5.629136170580436,-0.0613285960960959,-0.359493112764165,-0.0438695318590273,0.9159482473237818,0.4711365443650802,0.4141554811791425,2.970141038480911,0.4332105493341631,2.5286471857415425,0.9821181821676368,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,32.651
456,-19.8462485,-43.9923386388889,851.191,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8781.TIF,0.0584662223029025,0.1470879862365258,0.1571452362945634,0.0716993402765557,0.1371090488023087,0000SET_000_DJI_8781.T,-0.6708842544963494,5.61164803671213,-0.0974739833089404,-0.3733795980585683,-0.0680914042956367,0.8724989190591973,0.4562616212059888,0.4328207856451108,3.156763097884045,0.43113573087765,2.51577715205355,0.9360002867717504,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,8.623
