,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
486,-19.8461024444444,-43.9921661944444,851.612,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8791.TIF,0.0621743311880814,0.1588548463072106,0.1620210952886132,0.0767168693599009,0.1521254970698212,0000SET_000_DJI_8791.T,-0.628540875029002,5.660273932416528,-0.0447705517024003,-0.3573131992404427,-0.0314999381164743,0.9389240135603044,0.4734992639275939,0.4638101286765775,3.048865164685063,0.4374106451225814,2.554990834186288,0.9804577979443824,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,16.439
1055,-19.84912275,-43.9868888055556,849.119,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8981.TIF,0.0651398267626029,0.1612930802183048,0.1641075558420559,0.0800966442539851,0.1498458966866486,0000SET_000_DJI_8981.T,-0.6135894295372344,5.534271709575696,-0.0629840394912644,-0.3440191100522876,-0.0454260306441553,0.9130956580138616,0.4880740794840276,0.4295593027538448,2.86667377787542,0.4246434616670329,2.476105452446551,0.9828498108492952,2022-06-15,11:48:14,-19.849626,-43.986118,P2,,,,"coleta, sedimento, ponto Ramon",,0.2,20,20.43,9.22,324.3,0.255,28.19,9.11,6.26,150.8,0.363,0.17,361.6,235.0,52.66,7.36,19.594,0.281,4674,697.3,125,98.136
1085,-19.8493644166667,-43.9866101666667,849.037,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8991.TIF,0.063845160415929,0.1597484264170398,0.1675400560333819,0.0781100128877151,0.1478809935415558,0000SET_000_DJI_8991.T,-0.6491137217636601,5.576994276069255,-0.0879231948030424,-0.3640546226526474,-0.0623264126421452,0.8826605233562229,0.466216943798514,0.4230044656831385,2.8604383535215483,0.4289177849843853,2.5021227196601026,0.9534939297454356,2022-06-15,11:48:14,-19.849626,-43.986118,P2,,,,"coleta, sedimento, ponto Ramon",,0.2,20,20.43,9.22,324.3,0.255,28.19,9.11,6.26,150.8,0.363,0.17,361.6,235.0,52.66,7.36,19.594,0.281,4674,697.3,125,59.125
1115,-19.8495788055556,-43.9863127222222,849.307,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9001.TIF,0.0655629426283014,0.1590774024418134,0.164903122490755,0.0811950061822361,0.15508326790711,0000SET_000_DJI_9001.T,-0.6244770051408767,5.456476503541367,-0.0437136729850554,-0.3401412142379518,-0.0306883507496527,0.940450766272206,0.4923800408132851,0.4554004958480093,2.9364901964845096,0.4162852393425778,2.426331034951821,0.9646718633283112,2022-06-15,11:48:14,-19.849626,-43.986118,P2,,,,"coleta, sedimento, ponto Ramon",,0.2,20,20.43,9.22,324.3,0.255,28.19,9.11,6.26,150.8,0.363,0.17,361.6,235.0,52.66,7.36,19.594,0.281,4674,697.3,125,21.031
1145,-19.8497888333333,-43.9860052222222,849.101,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9011.TIF,0.0627456732267456,0.1575375382179162,0.1637004163257298,0.0783097489473939,0.1493777918036618,0000SET_000_DJI_9011.T,-0.6408297618522959,5.592756771860562,-0.0650191379912128,-0.3528391763295032,-0.0457477529580998,0.9125070977610164,0.4783723261373617,0.4731618869618091,3.167551757517748,0.4303181543863756,2.5107314993436898,0.9623527035169492,2022-06-15,11:48:14,-19.849626,-43.986118,P2,,,,"coleta, sedimento, ponto Ramon",,0.2,20,20.43,9.22,324.3,0.255,28.19,9.11,6.26,150.8,0.363,0.17,361.6,235.0,52.66,7.36,19.594,0.281,4674,697.3,125,21.609
1175,-19.8499075,-43.9858076944444,849.064,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9021.TIF,0.0644523069806888,0.1561633734469655,0.1710555024663471,0.0807051875054684,0.1539714498833434,0000SET_000_DJI_9021.T,-0.682638912906564,5.453906581769765,-0.0774380703578592,-0.3588737978553895,-0.0525619566608226,0.9001256765396088,0.4718070236959847,0.4810947575126353,3.124571197304027,0.4157051134737958,2.422929151221153,0.9129397838440688,2022-06-15,11:48:14,-19.849626,-43.986118,P2,,,,"coleta, sedimento, ponto Ramon",,0.2,20,20.43,9.22,324.3,0.255,28.19,9.11,6.26,150.8,0.363,0.17,361.6,235.0,52.66,7.36,19.594,0.281,4674,697.3,125,45.089
1205,-19.8500220277778,-43.9856040833333,848.958,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9031.TIF,0.0640593526266853,0.1551013916994451,0.1699989199372602,0.0781594678502058,0.1493736183067473,0000SET_000_DJI_9031.T,-0.6830342793819943,5.452208076121138,-0.0941103831980997,-0.3700840133024632,-0.0645806985907934,0.8786739254689095,0.4597644966159275,0.4206611681493305,2.8161677605310373,0.415412164038288,2.421213848402743,0.9123669241939112,2022-06-15,11:48:14,-19.849626,-43.986118,P2,,,,"coleta, sedimento, ponto Ramon",,0.2,20,20.43,9.22,324.3,0.255,28.19,9.11,6.26,150.8,0.363,0.17,361.6,235.0,52.66,7.36,19.594,0.281,4674,697.3,125,69.485
1234,-19.8502345277778,-43.98522525,839.304,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9041.TIF,0.063907333277608,0.1541787948863645,0.1710855955925518,0.0790195039010029,0.150772418805473,0000SET_000_DJI_9041.T,-0.6951556625795277,5.439017318578618,-0.0931429108219386,-0.3681096142300827,-0.0631122292389418,0.8812689243841688,0.4618711682144854,0.4511944574056782,2.992553021171668,0.4139257382793465,2.412536824477169,0.9011792860314692,2022-06-15,11:44:37,-19.85076,-43.98491,B2,,,,rede,,0.3,30,17.58,8.69,333.2,0.203,29.35,9.48,5.05,141.3,0.288,0.18,371.1,241.0,37.25,7.22,19.658,0.365,4674,697.5,124,67.091
1241,-19.8502345277778,-43.98522525,839.304,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9041.TIF,0.063907333277608,0.1541787948863645,0.1710855955925518,0.0790195039010029,0.150772418805473,0000SET_000_DJI_9041.T,-0.6951556625795277,5.439017318578618,-0.0931429108219386,-0.3681096142300827,-0.0631122292389418,0.8812689243841688,0.4618711682144854,0.4511944574056782,2.992553021171668,0.4139257382793465,2.412536824477169,0.9011792860314692,2022-06-15,11:39:10,-19.85097,-43.98486,B5,,,,rede,,0.3,30,6.57,9.48,298.8,0.219,27.17,8.78,7.44,134.6,0.31,0.16,325.4,212.0,31.54,7.62,20.719,0.359,4674,697.5,131,90.263
1264,-19.8503660833333,-43.9849882222222,839.062,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_9051.TIF,0.0688599890424834,0.1497376163041094,0.1392654861689341,0.085544044668159,0.1617095945277715,0000SET_000_DJI_9051.T,-0.4701924530671088,5.034447720230056,0.1026731666307671,-0.238964252541873,0.074571317688106,1.1611605931681586,0.6142515782007248,0.4580160399219167,2.832336827381374,0.3699840496120357,2.17452280179319,1.0751954444942102,2022-06-15,11:44:37,-19.85076,-43.98491,B2,,,,rede,,0.3,30,17.58,8.69,333.2,0.203,29.35,9.48,5.05,141.3,0.288,0.18,371.1,241.0,37.25,7.22,19.658,0.365,4674,697.5,124,44.559
