,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
59,-19.8495777777778,-43.9916526666667,840.023,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8641.TIF,0.070915612473194,0.174097237197475,0.1756166669282053,0.0815465140762624,0.1602634623882484,0000SET_000_DJI_8641.T,-0.6013941182550243,5.488308663016283,-0.062662854460873,-0.3657994604224024,-0.0457103686699241,0.912575470150373,0.4643438205645926,0.2946167000958891,1.8383273124485573,0.4211274015341289,2.454991660169099,0.991348032294956,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,34.369
60,-19.8493244722222,-43.99186375,840.176,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8651.TIF,0.0670221285418622,0.1706062860604556,0.1739973526382264,0.0796060253648137,0.1528481651746491,0000SET_000_DJI_8651.T,-0.6270297921991969,5.63422590748559,-0.089001088102075,-0.3722005913985939,-0.0647069833023855,0.8784510962787435,0.4575128538324934,0.3605049410315789,2.358582064885468,0.4359081286299296,2.545521751877732,0.9805108150994604,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,91.206
89,-19.8493244722222,-43.99186375,840.176,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8651.TIF,0.0670221285418622,0.1706062860604556,0.1739973526382264,0.0796060253648137,0.1528481651746491,0000SET_000_DJI_8651.T,-0.6270297921991969,5.63422590748559,-0.089001088102075,-0.3722005913985939,-0.0647069833023855,0.8784510962787435,0.4575128538324934,0.3605049410315789,2.358582064885468,0.4359081286299296,2.545521751877732,0.9805108150994604,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,49.776
90,-19.8490206944444,-43.9921163055556,840.469,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8661.TIF,0.067630509698255,0.168480056641905,0.1773319135250057,0.0786212447362984,0.155448749295153,0000SET_000_DJI_8661.T,-0.6511239728504779,5.551217278319117,-0.0926818505798086,-0.3856591161416066,-0.0657585210763246,0.8765977099391817,0.4433564335570763,0.32131529165449,2.067017541867793,0.427128478436488,2.49118419177391,0.9500831141606528,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,48.463
119,-19.8490206944444,-43.9921163055556,840.469,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8661.TIF,0.067630509698255,0.168480056641905,0.1773319135250057,0.0786212447362984,0.155448749295153,0000SET_000_DJI_8661.T,-0.6511239728504779,5.551217278319117,-0.0926818505798086,-0.3856591161416066,-0.0657585210763246,0.8765977099391817,0.4433564335570763,0.32131529165449,2.067017541867793,0.427128478436488,2.49118419177391,0.9500831141606528,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,86.068
120,-19.8487194722222,-43.9923663055556,840.212,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8671.TIF,0.066067306693979,0.1636231095792045,0.174313538076672,0.0769697414462124,0.1539598468383164,0000SET_000_DJI_8671.T,-0.6615583315894298,5.53278343835242,-0.0886135850533172,-0.3873866849210494,-0.0620022584030883,0.8832351665686288,0.4415591714532073,0.3300838956753363,2.14396092522734,0.4247273546197809,2.47661237860202,0.9386712666415772,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,7.753
363,-19.8474663333333,-43.9926246111111,849.774,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8751.TIF,0.0760384734238606,0.1603520098185349,0.137838344358506,0.0748572127493529,0.1478298288050967,0000SET_000_DJI_8751.T,-0.385401286859967,4.902621564129087,0.0422668641712847,-0.2961092956784944,0.0349758404513216,1.0724869737306455,0.5430797438676103,-0.0306789702538638,-0.2075289574630563,0.3566706038170706,2.1088273159389472,1.1633338354781215,2022-06-15,12:15:40,-19.847638,-43.991933,P0,,,,,,0.3,30,16.39,8.21,336.2,0.19,33.09,10.7,4.74,155.9,0.27,0.18,372.2,242.0,28.44,7.1,19.934,0.359,4674,697.0,123,74.812
396,-19.8467175833333,-43.9928913888889,851.606,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8761.TIF,0.0633126139467751,0.1643755088798877,0.1677897311552418,0.0785338282883244,0.1533167041950565,0000SET_000_DJI_8761.T,-0.6356002662465373,5.717927817874493,-0.0635651380515947,-0.3623522779085461,-0.0450723665640538,0.9137430708033342,0.4680490739666519,0.4693445330714859,3.061274604979536,0.4438654668432177,2.596252131021994,0.9796517805240704,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,86.018
426,-19.8463896944444,-43.9925185277778,851.035,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8771.TIF,0.0669745203042034,0.1693273960162836,0.1723550657672209,0.0805885986931727,0.1573429883202665,0000SET_000_DJI_8771.T,-0.6223478772028328,5.608583448058548,-0.0635292243106235,-0.3627940919959952,-0.0455328057319102,0.9129002830283538,0.4675731365042322,0.3968737961243479,2.522348153935683,0.4331445013474331,2.528236040320791,0.982433531979696,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,32.651
456,-19.8462485,-43.9923386388889,851.191,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8781.TIF,0.0659802217624775,0.1661962687730866,0.1768834355881723,0.0793717671336789,0.1543869779323142,0000SET_000_DJI_8781.T,-0.6673026695750595,5.596962491605437,-0.0968937794001677,-0.3805256143826907,-0.0679096494515857,0.8728176124516526,0.448723572502717,0.3947858177799602,2.5571186318125925,0.4316373581986687,2.518880117914385,0.9395807370003372,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,8.623
