Blue,Green,Red,Near-IR,RedEdge,Image
0.062395374730762836,0.15762497166114164,0.15110647476587885,0.09507191856269254,0.15857380684613087,0000SET_000_DJI_8631.T
0.0669239545777533,0.16440922382135487,0.16605104014739086,0.07745154559582854,0.15230791713349418,0000SET_000_DJI_8641.T
0.06336878888333264,0.16104631908830738,0.16404935188753386,0.07521474443235701,0.14461075562220788,0000SET_000_DJI_8651.T
0.0637950251719979,0.1583582223530232,0.16660667994019435,0.07462644664739065,0.14709272840194157,0000SET_000_DJI_8661.T
0.062465351986640674,0.15454699265004657,0.16451033007075563,0.07296649737972782,0.14595025211738127,0000SET_000_DJI_8671.T
0.04198585745190788,0.15355049726511227,0.12642895582668742,0.049905334001035695,0.09586084677160417,0000SET_000_DJI_8681.T
0.06104642842385771,0.15423062556318093,0.16584828560834108,0.0749914627434865,0.14621163028046605,0000SET_000_DJI_8691.T
0.06148607937162771,0.15377687447440166,0.1617162502701211,0.07537623130238343,0.1495682995992009,0000SET_000_DJI_8701.T
0.06065531262102179,0.15270159436216835,0.15766558719098506,0.07546827377144169,0.14675350549307853,0000SET_000_DJI_8711.T
0.06003190907879319,0.15133337090630775,0.1620015599743011,0.07695038640091312,0.1463367502494246,0000SET_000_DJI_8721.T
0.061869143611942165,0.15938938023034327,0.16149656208044622,0.07649817034254636,0.15100607441736363,0000SET_000_DJI_8731.T
0.0636563042301819,0.15656880581308347,0.16660067055307975,0.07769895706630607,0.15371928083946124,0000SET_000_DJI_8741.T
0.07159886638052726,0.15112695329149883,0.12909888147232024,0.06949096037048569,0.13614221733436288,0000SET_000_DJI_8751.T
0.0596637177094658,0.15489674709948859,0.15817876120466962,0.07415643616650824,0.14497198553978952,0000SET_000_DJI_8761.T
0.06307981121166151,0.15978196871332023,0.1627370814069095,0.07628234267451256,0.14858447179068907,0000SET_000_DJI_8771.T
0.0621245316986445,0.1564366157675261,0.16670336866132796,0.07537492683652047,0.145430206801698,0000SET_000_DJI_8781.T
0.062174331188081404,0.15885484630721064,0.16202109528861325,0.0767168693599009,0.15212549706982126,0000SET_000_DJI_8791.T
0.06333939385867102,0.15452693880240528,0.16726902511529965,0.07892933914487177,0.14953687338104854,0000SET_000_DJI_8801.T
0.06372050790202624,0.161027681156936,0.16790053663947108,0.07889898555287224,0.14731463279394472,0000SET_000_DJI_8811.T
0.06363522228214445,0.16029228642199136,0.1660963520789313,0.0778145667537928,0.14515377291512085,0000SET_000_DJI_8821.T
