,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
59,-19.8495777777778,-43.9916526666667,840.023,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8641.TIF,0.0630299446111513,0.1513886821957076,0.1568392678678109,0.0721777960928812,0.1418607523292477,0000SET_000_DJI_8641.T,121156005.30864748,67816.02684016956,266139632040.662,inf,1.7537239109114508e+16,-0.6196587611178732,5.42445294819708,-0.0698564101525347,-0.3696732038686025,-0.0501456796979176,0.9044976698616854,0.4602023273515592,0.2852533945752941,2.0107985464030484,0.4120851760894211,2.4018533274884684,0.9652473149983254,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,34.369
60,-19.8493244722222,-43.99186375,840.176,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8651.TIF,0.0594643945666157,0.14710714781227,0.1536128943587154,0.0693104254840426,0.1327183161729358,0000SET_000_DJI_8651.T,118846991.03956398,89921.50228281655,414051680828.07,inf,1440818808928955.8,-0.639999491474383,5.5454420206858135,-0.1011493545778708,-0.37816801281327,-0.0729734566727223,0.8639790085786239,0.4512018719092002,0.3170563764000383,2.388942126020531,0.4242731222140137,2.473869428662415,0.957648434569215,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,91.206
89,-19.8493244722222,-43.99186375,840.176,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8651.TIF,0.0594643945666157,0.14710714781227,0.1536128943587154,0.0693104254840426,0.1327183161729358,0000SET_000_DJI_8651.T,118846991.03956398,89921.50228281655,414051680828.07,inf,1440818808928955.8,-0.639999491474383,5.5454420206858135,-0.1011493545778708,-0.37816801281327,-0.0729734566727223,0.8639790085786239,0.4512018719092002,0.3170563764000383,2.388942126020531,0.4242731222140137,2.473869428662415,0.957648434569215,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,49.776
90,-19.8490206944444,-43.9921163055556,840.469,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8661.TIF,0.0598892937670462,0.1451488510208851,0.1565881423174205,0.0692882366908526,0.1363299620351035,0000SET_000_DJI_8661.T,247459968.67549163,102624.03265602364,967783544644.7913,inf,8522739321450838.0,-0.6662047124056155,5.466731641842097,-0.0988020073204905,-0.3864941788506818,-0.0691598777313418,0.8706276223569244,0.4424871236443825,0.3087888606992741,2.2650109784360115,0.4158229062305548,2.4236193464807987,0.9269466312886784,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,48.463
119,-19.8490206944444,-43.9921163055556,840.469,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8661.TIF,0.0598892937670462,0.1451488510208851,0.1565881423174205,0.0692882366908526,0.1363299620351035,0000SET_000_DJI_8661.T,247459968.67549163,102624.03265602364,967783544644.7913,inf,8522739321450838.0,-0.6662047124056155,5.466731641842097,-0.0988020073204905,-0.3864941788506818,-0.0691598777313418,0.8706276223569244,0.4424871236443825,0.3087888606992741,2.2650109784360115,0.4158229062305548,2.4236193464807987,0.9269466312886784,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,86.068
120,-19.8487194722222,-43.9923663055556,840.212,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8671.TIF,0.0586322397510082,0.141405715415866,0.1541618313437107,0.0678410501183708,0.1350660566846608,0000SET_000_DJI_8671.T,203681929.8665685,79911.03685357345,735002892090.4182,inf,8271598693626400.0,-0.6755709365194718,5.451552473898711,-0.0954607571504116,-0.3888273010550255,-0.0660232828487712,0.8761316306857109,0.4400638570977802,0.3126948323901983,2.315125206625733,0.4137888511997991,2.411739957681464,0.9172550311795118,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,7.753
363,-19.8474663333333,-43.9926246111111,849.774,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8751.TIF,0.067176299307493,0.1382865278479882,0.1208542735074924,0.0631693198090992,0.1233028613570396,0000SET_000_DJI_8751.T,304838.189252704,1997.2354100182904,2317959.887392982,inf,12682190069015.805,-0.3881648851506709,4.831257253551475,0.0119174250809577,-0.313464989237292,0.010028737644328,1.0202606641741585,0.5226899966030826,-0.1164308316416532,-0.9442670702062016,0.3460977809221106,2.0585612674939866,1.144241935635111,2022-06-15,12:15:40,-19.847638,-43.991933,P0,,,,,,0.3,30,16.39,8.21,336.2,0.19,33.09,10.7,4.74,155.9,0.27,0.18,372.2,242.0,28.44,7.1,19.934,0.359,4674,697.0,123,74.812
396,-19.8467175833333,-43.9928913888889,851.606,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8761.TIF,0.0560412492970788,0.1419993667420074,0.1487198899696052,0.0688358690445668,0.1340129022448229,0000SET_000_DJI_8761.T,41777070.79156651,39668.48796202218,358000487734.8976,inf,1970307245850229.5,-0.6526693942298368,5.645463489340565,-0.0742624822065775,-0.3671887211215336,-0.0520172690602805,0.9011094768306508,0.4628558362881738,0.444479144300046,3.316689190776904,0.4340428704178718,2.533836567226728,0.9548108647137156,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,86.018
426,-19.8463896944444,-43.9925185277778,851.035,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8771.TIF,0.0590979528746967,0.1457761466219237,0.152322613515926,0.0705394391139127,0.1370039473343581,0000SET_000_DJI_8771.T,63323901.56679639,52314.56391070144,311562622430.17303,inf,3839718198401208.0,-0.6395055899166494,5.5354404063228975,-0.0747711214800023,-0.3669676978962881,-0.0529459381003555,0.8994327511327381,0.4630923635415269,0.3760201196420605,2.7445933271132947,0.4230802915556285,2.466686907599113,0.9570223570690124,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,32.651
456,-19.8462485,-43.9923386388889,851.191,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8781.TIF,0.0584368170190561,0.1434116762171496,0.1572353522562003,0.0705155608636179,0.1347140389215543,0000SET_000_DJI_8781.T,206887005.9249921,129828.0619874314,2429084129852.897,inf,2771144921872130.0,-0.6889155600381275,5.517952272454592,-0.1115753354090746,-0.3807659438316267,-0.0771411553344661,0.8567668592877916,0.4484714146772756,0.3948781572943193,2.931232412415916,0.4209833714173671,2.454132232602323,0.9120829009463068,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,8.623
