,lat_d,long_d,Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
47,-19.8530030277778,-43.9805685833333,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2751.TIF,0.0288841079067093,0.147951496147786,0.1438842758140175,0.0279090228443489,0.0580127033614205,0000SET_000_DJI_2751.T,3.927390119947451e+17,8772637653.486956,9.613787783805744e+20,inf,87610958028.82335,-0.7772828994742755,8.412095536700804,-0.4856011486585813,-0.6750860125242758,-0.4253237111486401,0.4031900152620346,0.193968539553437,-0.0701717031154278,-1.2095920212208782,0.673322484336264,5.12224565237202,1.0282673023911642,2022-08-24,09:53:12,-19.85255,-43.98122,A18,,,,,,0.6,60,3.07,4.97,323.9,0.319,29.27,9.46,7.25,114.1,0.453,0.17,349.1,227.0,13.81,7.89,21.218,0.404,4674,699.9,199,84.73
79,-19.8523291944444,-43.9813195555556,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2761.TIF,0.0573139250347103,0.1411108550890809,0.1366265317491519,0.054063924709441,0.109938361913803,0000SET_000_DJI_2761.T,154637955.33752176,53810.01967406354,3425413015.815609,inf,43123106148294.18,-0.5620588626181373,5.533262083309445,-0.1345001860085165,-0.4329666443356529,-0.1082399421867033,0.8046633439810306,0.3957058999982746,-0.1153094618234546,-1.0488555570244245,0.4223108121984171,2.462069296486355,1.0328217607701722,2022-08-24,09:53:12,-19.85255,-43.98122,A18,,,,,,0.6,60,3.07,4.97,323.9,0.319,29.27,9.46,7.25,114.1,0.453,0.17,349.1,227.0,13.81,7.89,21.218,0.404,4674,699.9,199,26.669
145,-19.849709,-43.9842497777778,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2801.TIF,0.0322956613499763,0.1467425597592328,0.1439717151189312,0.06639395995702,0.1202620091154723,0000SET_000_DJI_2801.T,25395603.37304494,63424.593711206006,6.15433934215016e+18,inf,34846130464414.477,-0.7610338401632551,7.941214710445183,-0.1324281812931806,-0.3687757289011253,-0.0897300527105535,0.8353169163549039,0.4611597486504464,1.9124426038478235,15.902300468068416,0.6392316551193088,4.5437236342379625,1.0192457569739493,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,48.026
150,-19.849709,-43.9842497777778,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2801.TIF,0.0322956613499763,0.1467425597592328,0.1439717151189312,0.06639395995702,0.1202620091154723,0000SET_000_DJI_2801.T,25395603.37304494,63424.593711206006,6.15433934215016e+18,inf,34846130464414.477,-0.7610338401632551,7.941214710445183,-0.1324281812931806,-0.3687757289011253,-0.0897300527105535,0.8353169163549039,0.4611597486504464,1.9124426038478235,15.902300468068416,0.6392316551193088,4.5437236342379625,1.0192457569739493,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,3.163
177,-19.8497937222222,-43.9842522777778,49.4,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2811.TIF,0.0611758707780241,0.1682142160163137,0.1506719320698771,0.0631658961533821,0.116310219479025,0000SET_000_DJI_2811.T,334553615.1879591,274372.47124703,73082261735.61566,inf,27705385736633.26,-0.5320362536016191,5.940455273709325,-0.1497959788543934,-0.4092168193231629,-0.1287041564070929,0.7719435058752935,0.4192280226690639,0.0598981856682915,0.5149864383077141,0.4666214950005926,2.7496824136214904,1.116427019322358,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,38.652
182,-19.8497937222222,-43.9842522777778,49.4,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2811.TIF,0.0611758707780241,0.1682142160163137,0.1506719320698771,0.0631658961533821,0.116310219479025,0000SET_000_DJI_2811.T,334553615.1879591,274372.47124703,73082261735.61566,inf,27705385736633.26,-0.5320362536016191,5.940455273709325,-0.1497959788543934,-0.4092168193231629,-0.1287041564070929,0.7719435058752935,0.4192280226690639,0.0598981856682915,0.5149864383077141,0.4666214950005926,2.7496824136214904,1.116427019322358,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,9.751
209,-19.8498903055556,-43.984238,32.8,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2821.TIF,0.0907204896866819,0.1775805734030044,0.1428728232652522,0.0591917608823965,0.1180698756557711,0000SET_000_DJI_2821.T,151158063.49870372,65619.65558679105,3864194.732184182,inf,59085457658614.39,-0.2936826510871484,4.592799273323016,-0.0924444626639071,-0.4141302778804122,-0.0950513185923164,0.8263984217388013,0.4142968517707762,-0.6932325097452816,-5.871374945514287,0.3237411090215746,1.95744725382665,1.24292758653838,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,27.829
214,-19.8498903055556,-43.984238,32.8,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2821.TIF,0.0907204896866819,0.1775805734030044,0.1428728232652522,0.0591917608823965,0.1180698756557711,0000SET_000_DJI_2821.T,151158063.49870372,65619.65558679105,3864194.732184182,inf,59085457658614.39,-0.2936826510871484,4.592799273323016,-0.0924444626639071,-0.4141302778804122,-0.0950513185923164,0.8263984217388013,0.4142968517707762,-0.6932325097452816,-5.871374945514287,0.3237411090215746,1.95744725382665,1.24292758653838,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,20.525
241,-19.8501289444444,-43.9842085555556,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2831.TIF,0.0632123060608237,0.1583439538270507,0.1475320285021256,0.0425935053382204,0.1041520642147117,0000SET_000_DJI_2831.T,1319251737049.114,664811.5097443928,12027880360.46855,inf,3253828777355585.0,-0.5325098963576412,5.582863841032104,-0.1957966085425332,-0.551943345242755,-0.1723587844553191,0.7059623952314267,0.2887068372248859,-0.7976020580808145,-7.658053290586166,0.4293791916074562,2.504954552278002,1.073285275303927,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,1.716
246,-19.8501289444444,-43.9842085555556,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2831.TIF,0.0632123060608237,0.1583439538270507,0.1475320285021256,0.0425935053382204,0.1041520642147117,0000SET_000_DJI_2831.T,1319251737049.114,664811.5097443928,12027880360.46855,inf,3253828777355585.0,-0.5325098963576412,5.582863841032104,-0.1957966085425332,-0.551943345242755,-0.1723587844553191,0.7059623952314267,0.2887068372248859,-0.7976020580808145,-7.658053290586166,0.4293791916074562,2.504954552278002,1.073285275303927,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,47.18
