Latitude,Longitude,Degree,DateTime,Image Index
-19.8519206111111,-43.9835710555556,90.0,2022:08:24 08:42:34, _Pampulha_2022-08-24_0000SET_000_DJI_3231.TIF
-19.851938,-43.9835024444444,90.0,2022:08:24 08:42:36, _Pampulha_2022-08-24_0000SET_000_DJI_3241.TIF
-19.8519671111111,-43.9833940555556,90.0,2022:08:24 08:42:38, _Pampulha_2022-08-24_0000SET_000_DJI_3251.TIF
-19.8520092222222,-43.9832393888889,90.0,2022:08:24 08:42:40, _Pampulha_2022-08-24_0000SET_000_DJI_3261.TIF
-19.8520594444444,-43.98304925,89.9,2022:08:24 08:42:43, _Pampulha_2022-08-24_0000SET_000_DJI_3271.TIF
-19.8521172777778,-43.9828232777778,90.0,2022:08:24 08:42:47, _Pampulha_2022-08-24_0000SET_000_DJI_3281.TIF
-19.8522071944444,-43.9824734166667,89.9,2022:08:24 08:42:52, _Pampulha_2022-08-24_0000SET_000_DJI_3291.TIF
-19.8523388888889,-43.9819597222222,89.9,2022:08:24 08:43:00, _Pampulha_2022-08-24_0000SET_000_DJI_3301.TIF
-19.8524224166667,-43.9816368611111,90.0,2022:08:24 08:43:05, _Pampulha_2022-08-24_0000SET_000_DJI_3311.TIF
-19.8524738888889,-43.9814352222222,90.0,2022:08:24 08:43:08, _Pampulha_2022-08-24_0000SET_000_DJI_3321.TIF
-19.8525299166667,-43.9812140277778,89.9,2022:08:24 08:43:12, _Pampulha_2022-08-24_0000SET_000_DJI_3331.TIF
-19.8525338055556,-43.9811998333333,89.9,2022:08:24 08:43:13, _Pampulha_2022-08-24_0000SET_000_DJI_3341.TIF
-19.8525321944444,-43.9812058888889,89.9,2022:08:24 08:43:15, _Pampulha_2022-08-24_0000SET_000_DJI_3351.TIF
-19.8525088333333,-43.9811765833333,89.9,2022:08:24 08:43:16, _Pampulha_2022-08-24_0000SET_000_DJI_3361.TIF
-19.8524660833333,-43.9811244722222,89.9,2022:08:24 08:43:18, _Pampulha_2022-08-24_0000SET_000_DJI_3371.TIF
-19.8524158055556,-43.9810514722222,90.0,2022:08:24 08:43:19, _Pampulha_2022-08-24_0000SET_000_DJI_3381.TIF
-19.8523633333333,-43.9809781944444,89.9,2022:08:24 08:43:20, _Pampulha_2022-08-24_0000SET_000_DJI_3391.TIF
-19.8522662777778,-43.9808479166667,90.0,2022:08:24 08:43:23, _Pampulha_2022-08-24_0000SET_000_DJI_3401.TIF
-19.8516347777778,-43.9799983333333,89.9,2022:08:24 08:43:39, _Pampulha_2022-08-24_0000SET_000_DJI_3411.TIF
-19.8514271944444,-43.9797222777778,90.0,2022:08:24 08:43:44, _Pampulha_2022-08-24_0000SET_000_DJI_3421.TIF
-19.8510932222222,-43.9792706666667,90.0,2022:08:24 08:43:53, _Pampulha_2022-08-24_0000SET_000_DJI_3431.TIF
-19.8508950555556,-43.9790007222222,90.0,2022:08:24 08:43:58, _Pampulha_2022-08-24_0000SET_000_DJI_3441.TIF
-19.8507636666667,-43.9788263333333,89.9,2022:08:24 08:44:01, _Pampulha_2022-08-24_0000SET_000_DJI_3451.TIF
-19.8506404166667,-43.97866075,90.0,2022:08:24 08:44:05, _Pampulha_2022-08-24_0000SET_000_DJI_3461.TIF
-19.85056275,-43.9785540555556,89.9,2022:08:24 08:44:07, _Pampulha_2022-08-24_0000SET_000_DJI_3471.TIF
-19.8505496944444,-43.9785338611111,89.9,2022:08:24 08:44:08, _Pampulha_2022-08-24_0000SET_000_DJI_3481.TIF
-19.8505529444444,-43.9785413333333,89.9,2022:08:24 08:44:09, _Pampulha_2022-08-24_0000SET_000_DJI_3491.TIF
-19.8505508333333,-43.9785313333333,90.0,2022:08:24 08:44:10, _Pampulha_2022-08-24_0000SET_000_DJI_3501.TIF
-19.8505446666667,-43.9784826111111,89.9,2022:08:24 08:44:12, _Pampulha_2022-08-24_0000SET_000_DJI_3511.TIF
-19.8505391111111,-43.9784180833333,90.0,2022:08:24 08:44:13, _Pampulha_2022-08-24_0000SET_000_DJI_3521.TIF
-19.8505395555556,-43.9783157222222,90.0,2022:08:24 08:44:15, _Pampulha_2022-08-24_0000SET_000_DJI_3531.TIF
-19.8505295555556,-43.9776533055556,89.9,2022:08:24 08:44:25, _Pampulha_2022-08-24_0000SET_000_DJI_3541.TIF
-19.8505249722222,-43.9774588888889,89.9,2022:08:24 08:44:28, _Pampulha_2022-08-24_0000SET_000_DJI_3551.TIF
-19.8505220833333,-43.9772869722222,90.0,2022:08:24 08:44:30, _Pampulha_2022-08-24_0000SET_000_DJI_3561.TIF
-19.8505202777778,-43.9771581388889,90.0,2022:08:24 08:44:32, _Pampulha_2022-08-24_0000SET_000_DJI_3571.TIF
-19.8505154722222,-43.9769648611111,89.9,2022:08:24 08:44:35, _Pampulha_2022-08-24_0000SET_000_DJI_3581.TIF
-19.8505070833333,-43.9766232222222,90.0,2022:08:24 08:44:40, _Pampulha_2022-08-24_0000SET_000_DJI_3591.TIF
-19.8505022222222,-43.9763364166667,89.9,2022:08:24 08:44:45, _Pampulha_2022-08-24_0000SET_000_DJI_3601.TIF
-19.8504983888889,-43.9762055,89.9,2022:08:24 08:44:47, _Pampulha_2022-08-24_0000SET_000_DJI_3611.TIF
-19.850494,-43.9760497777778,89.9,2022:08:24 08:44:49, _Pampulha_2022-08-24_0000SET_000_DJI_3621.TIF
