Latitude,Longitude,Altitude,Gimbal Degree,DateTime,Image Index
-19.8579026944444,-43.9797105555556,835.608,90.0,2022:03:10 06:39:47, _Campo20220310-Pampulha_0000SET_000_DJI_3911.TIF
-19.85814775,-43.978942,835.042,54.5,2022:03:10 06:40:24, _Campo20220310-Pampulha_0000SET_000_DJI_3931.TIF
-19.8582866388889,-43.9785002222222,835.381,89.9,2022:03:10 06:40:41, _Campo20220310-Pampulha_0000SET_000_DJI_3941.TIF
-19.8583109166667,-43.9784255833333,835.359,90.0,2022:03:10 06:40:45, _Campo20220310-Pampulha_0000SET_000_DJI_3951.TIF
-19.85833375,-43.97835375,835.448,89.9,2022:03:10 06:40:49, _Campo20220310-Pampulha_0000SET_000_DJI_3961.TIF
-19.8583707777778,-43.9782366388889,835.489,89.9,2022:03:10 06:40:56, _Campo20220310-Pampulha_0000SET_000_DJI_3971.TIF
-19.8584178055556,-43.9780943611111,835.446,90.0,2022:03:10 06:41:05, _Campo20220310-Pampulha_0000SET_000_DJI_3981.TIF
-19.8584445833333,-43.9780184444444,835.535,90.0,2022:03:10 06:41:09, _Campo20220310-Pampulha_0000SET_000_DJI_3991.TIF
-19.8584705555556,-43.9779329166667,835.547,89.9,2022:03:10 06:41:14, _Campo20220310-Pampulha_0000SET_000_DJI_4001.TIF
-19.8584713611111,-43.9779273333333,835.663,90.0,2022:03:10 06:41:17, _Campo20220310-Pampulha_0000SET_000_DJI_4011.TIF
-19.8526733333333,-43.98125925,846.028,89.9,2022:03:10 06:43:02, _Campo20220310-Pampulha_0000SET_000_DJI_4021.TIF
-19.8526553888889,-43.9811534444444,836.038,90.0,2022:03:10 06:43:12, _Campo20220310-Pampulha_0000SET_000_DJI_4031.TIF
-19.8526515277778,-43.9809235555556,836.164,89.9,2022:03:10 06:43:20, _Campo20220310-Pampulha_0000SET_000_DJI_4041.TIF
-19.8526491944444,-43.9807258333333,835.919,90.0,2022:03:10 06:43:25, _Campo20220310-Pampulha_0000SET_000_DJI_4051.TIF
-19.8525267222222,-43.9805029166667,835.72,90.0,2022:03:10 06:43:35, _Campo20220310-Pampulha_0000SET_000_DJI_4061.TIF
-19.8524676388889,-43.9804255277778,835.887,90.0,2022:03:10 06:43:38, _Campo20220310-Pampulha_0000SET_000_DJI_4071.TIF
-19.852325,-43.9802414444444,836.14,90.0,2022:03:10 06:43:44, _Campo20220310-Pampulha_0000SET_000_DJI_4081.TIF
-19.8522247777778,-43.9801144444444,836.229,89.9,2022:03:10 06:43:47, _Campo20220310-Pampulha_0000SET_000_DJI_4091.TIF
-19.8521179166667,-43.9799791944444,836.169,90.0,2022:03:10 06:43:50, _Campo20220310-Pampulha_0000SET_000_DJI_4101.TIF
-19.8519787777778,-43.9798034166667,836.384,90.0,2022:03:10 06:43:54, _Campo20220310-Pampulha_0000SET_000_DJI_4111.TIF
-19.8518521944444,-43.9796436666667,835.846,89.9,2022:03:10 06:44:03, _Campo20220310-Pampulha_0000SET_000_DJI_4121.TIF
-19.8517669166667,-43.9795341944444,835.808,89.9,2022:03:10 06:44:10, _Campo20220310-Pampulha_0000SET_000_DJI_4131.TIF
-19.8516941388889,-43.9794445555556,835.896,89.9,2022:03:10 06:44:16, _Campo20220310-Pampulha_0000SET_000_DJI_4141.TIF
-19.8515623611111,-43.9792760555556,835.906,89.9,2022:03:10 06:44:22, _Campo20220310-Pampulha_0000SET_000_DJI_4151.TIF
-19.8513815,-43.9790465277778,835.861,90.0,2022:03:10 06:44:30, _Campo20220310-Pampulha_0000SET_000_DJI_4161.TIF
-19.8512461388889,-43.9788745833333,835.862,89.9,2022:03:10 06:44:34, _Campo20220310-Pampulha_0000SET_000_DJI_4171.TIF
-19.8510964722222,-43.9786823055556,836.0,89.9,2022:03:10 06:44:39, _Campo20220310-Pampulha_0000SET_000_DJI_4181.TIF
-19.8509247777778,-43.9784653055556,836.197,90.0,2022:03:10 06:44:45, _Campo20220310-Pampulha_0000SET_000_DJI_4191.TIF
-19.8507941944444,-43.9783017777778,835.877,90.0,2022:03:10 06:44:49, _Campo20220310-Pampulha_0000SET_000_DJI_4201.TIF
-19.8506708611111,-43.9781078888889,835.829,90.0,2022:03:10 06:44:55, _Campo20220310-Pampulha_0000SET_000_DJI_4211.TIF
-19.8504792777778,-43.9776666666667,835.729,90.0,2022:03:10 06:45:07, _Campo20220310-Pampulha_0000SET_000_DJI_4221.TIF
-19.8503408611111,-43.9773470555556,835.576,90.0,2022:03:10 06:45:13, _Campo20220310-Pampulha_0000SET_000_DJI_4231.TIF
-19.8502368055556,-43.97710375,835.439,89.9,2022:03:10 06:45:18, _Campo20220310-Pampulha_0000SET_000_DJI_4241.TIF
-19.8500822222222,-43.976751,835.589,90.0,2022:03:10 06:45:25, _Campo20220310-Pampulha_0000SET_000_DJI_4251.TIF
-19.84994075,-43.9764225,836.197,90.0,2022:03:10 06:45:32, _Campo20220310-Pampulha_0000SET_000_DJI_4261.TIF
-19.8498380555556,-43.9761909444444,836.275,89.9,2022:03:10 06:45:37, _Campo20220310-Pampulha_0000SET_000_DJI_4271.TIF
-19.8497429722222,-43.9759668888889,835.981,89.9,2022:03:10 06:45:41, _Campo20220310-Pampulha_0000SET_000_DJI_4281.TIF
-19.8496510555556,-43.9757572222222,835.664,90.0,2022:03:10 06:45:45, _Campo20220310-Pampulha_0000SET_000_DJI_4291.TIF
-19.8496036111111,-43.9756431111111,835.586,89.9,2022:03:10 06:45:49, _Campo20220310-Pampulha_0000SET_000_DJI_4301.TIF
-19.8501514444444,-43.9754741111111,835.86,89.9,2022:03:10 06:46:46, _Campo20220310-Pampulha_0000SET_000_DJI_4361.TIF
-19.85057475,-43.9755561666667,835.233,90.0,2022:03:10 06:46:56, _Campo20220310-Pampulha_0000SET_000_DJI_4371.TIF
-19.8509916388889,-43.9756435,835.411,89.9,2022:03:10 06:47:01, _Campo20220310-Pampulha_0000SET_000_DJI_4381.TIF
-19.85160325,-43.9757651111111,834.9,89.9,2022:03:10 06:47:09, _Campo20220310-Pampulha_0000SET_000_DJI_4391.TIF
-19.8520875555556,-43.9758638333333,834.7,90.0,2022:03:10 06:47:16, _Campo20220310-Pampulha_0000SET_000_DJI_4401.TIF
-19.8524679722222,-43.9759422777778,835.054,89.9,2022:03:10 06:47:20, _Campo20220310-Pampulha_0000SET_000_DJI_4411.TIF
-19.8526456388889,-43.9759807777778,835.038,90.0,2022:03:10 06:47:24, _Campo20220310-Pampulha_0000SET_000_DJI_4421.TIF
-19.8528568888889,-43.9762941666667,834.723,89.9,2022:03:10 06:47:30, _Campo20220310-Pampulha_0000SET_000_DJI_4431.TIF
-19.8531236111111,-43.9766935,834.92,89.9,2022:03:10 06:47:34, _Campo20220310-Pampulha_0000SET_000_DJI_4441.TIF
-19.8534692777778,-43.9772053888889,834.529,89.9,2022:03:10 06:47:41, _Campo20220310-Pampulha_0000SET_000_DJI_4451.TIF
-19.8536557222222,-43.9774821944444,834.519,90.0,2022:03:10 06:47:44, _Campo20220310-Pampulha_0000SET_000_DJI_4461.TIF
-19.8540198611111,-43.9780250555556,834.677,89.9,2022:03:10 06:47:51, _Campo20220310-Pampulha_0000SET_000_DJI_4471.TIF
-19.8542176666667,-43.9783213333333,834.615,89.9,2022:03:10 06:47:55, _Campo20220310-Pampulha_0000SET_000_DJI_4481.TIF
-19.8542858611111,-43.9784027777778,835.139,90.0,2022:03:10 06:47:59, _Campo20220310-Pampulha_0000SET_000_DJI_4491.TIF
-19.854763,-43.9785194166667,835.57,89.9,2022:03:10 06:48:09, _Campo20220310-Pampulha_0000SET_000_DJI_4501.TIF
-19.8552028888889,-43.9786225833333,836.052,89.9,2022:03:10 06:48:13, _Campo20220310-Pampulha_0000SET_000_DJI_4511.TIF
-19.8555085833333,-43.9786948333333,836.135,90.0,2022:03:10 06:48:16, _Campo20220310-Pampulha_0000SET_000_DJI_4521.TIF
-19.8559905833333,-43.9788109166667,836.272,89.9,2022:03:10 06:48:22, _Campo20220310-Pampulha_0000SET_000_DJI_4531.TIF
-19.8563879166667,-43.9789084166667,835.876,89.9,2022:03:10 06:48:26, _Campo20220310-Pampulha_0000SET_000_DJI_4541.TIF
-19.8567441111111,-43.9789918611111,835.935,90.0,2022:03:10 06:48:30, _Campo20220310-Pampulha_0000SET_000_DJI_4551.TIF
-19.8568291944444,-43.97901125,836.066,90.0,2022:03:10 06:48:32, _Campo20220310-Pampulha_0000SET_000_DJI_4561.TIF
-19.8570051666667,-43.9791747222222,836.829,89.9,2022:03:10 06:48:40, _Campo20220310-Pampulha_0000SET_000_DJI_4571.TIF
-19.8571867222222,-43.979363,836.003,90.0,2022:03:10 06:48:44, _Campo20220310-Pampulha_0000SET_000_DJI_4581.TIF
-19.8573335,-43.9795055277778,835.925,89.9,2022:03:10 06:48:49, _Campo20220310-Pampulha_0000SET_000_DJI_4591.TIF
-19.8575165555556,-43.9796867222222,836.033,89.9,2022:03:10 06:48:54, _Campo20220310-Pampulha_0000SET_000_DJI_4601.TIF
-19.8576810555556,-43.9798513055556,836.205,90.0,2022:03:10 06:48:59, _Campo20220310-Pampulha_0000SET_000_DJI_4611.TIF
-19.8577265555556,-43.9798985833333,836.108,89.9,2022:03:10 06:49:00, _Campo20220310-Pampulha_0000SET_000_DJI_4621.TIF
-19.8566404722222,-43.9787474166667,839.393,89.9,2022:03:10 06:59:27, _Campo20220310-Pampulha_0000SET_000_DJI_4661.TIF
-19.8570300277778,-43.9792239722222,838.67,89.9,2022:03:10 06:59:45, _Campo20220310-Pampulha_0000SET_000_DJI_4671.TIF
-19.8573356944444,-43.9795313888889,839.079,89.9,2022:03:10 06:59:55, _Campo20220310-Pampulha_0000SET_000_DJI_4681.TIF
-19.8577790833333,-43.9799765,838.645,89.9,2022:03:10 07:00:02, _Campo20220310-Pampulha_0000SET_000_DJI_4691.TIF
-19.8579670555556,-43.9801673611111,838.538,89.9,2022:03:10 07:00:05, _Campo20220310-Pampulha_0000SET_000_DJI_4701.TIF
-19.8581735555556,-43.9803723611111,839.048,89.9,2022:03:10 07:00:15, _Campo20220310-Pampulha_0000SET_000_DJI_4711.TIF
-19.8582482777778,-43.9804503611111,838.93,90.0,2022:03:10 07:00:20, _Campo20220310-Pampulha_0000SET_000_DJI_4721.TIF
-19.8584291388889,-43.9806290833333,838.542,89.9,2022:03:10 07:00:27, _Campo20220310-Pampulha_0000SET_000_DJI_4731.TIF
-19.8584500833333,-43.9806351388889,838.618,89.9,2022:03:10 07:00:30, _Campo20220310-Pampulha_0000SET_000_DJI_4741.TIF
-19.8587215277778,-43.9783310833333,839.211,89.9,2022:03:10 07:01:39, _Campo20220310-Pampulha_0000SET_000_DJI_4751.TIF
-19.8587378055556,-43.9781869166667,839.285,89.9,2022:03:10 07:01:46, _Campo20220310-Pampulha_0000SET_000_DJI_4761.TIF
-19.8587493055556,-43.9780921111111,839.278,89.9,2022:03:10 07:01:51, _Campo20220310-Pampulha_0000SET_000_DJI_4771.TIF
-19.8587579444444,-43.9779969166667,839.292,89.9,2022:03:10 07:01:55, _Campo20220310-Pampulha_0000SET_000_DJI_4781.TIF
-19.8587765,-43.9778561388889,839.198,89.9,2022:03:10 07:02:01, _Campo20220310-Pampulha_0000SET_000_DJI_4791.TIF
-19.8587931944444,-43.9777068611111,838.957,90.0,2022:03:10 07:02:07, _Campo20220310-Pampulha_0000SET_000_DJI_4801.TIF
-19.8587985555556,-43.9776619444444,838.782,90.0,2022:03:10 07:02:09, _Campo20220310-Pampulha_0000SET_000_DJI_4811.TIF
-19.8588448055556,-43.9776166944444,839.021,90.0,2022:03:10 07:02:13, _Campo20220310-Pampulha_0000SET_000_DJI_4821.TIF
-19.8589566666667,-43.9775427222222,838.987,90.0,2022:03:10 07:02:20, _Campo20220310-Pampulha_0000SET_000_DJI_4831.TIF
-19.8591925,-43.9773935277778,838.381,90.0,2022:03:10 07:02:28, _Campo20220310-Pampulha_0000SET_000_DJI_4841.TIF
-19.8593535,-43.9772876944444,838.599,89.9,2022:03:10 07:02:34, _Campo20220310-Pampulha_0000SET_000_DJI_4851.TIF
-19.8595479444444,-43.9771628888889,838.673,89.9,2022:03:10 07:02:39, _Campo20220310-Pampulha_0000SET_000_DJI_4861.TIF
-19.8597226944444,-43.9770491111111,838.606,90.0,2022:03:10 07:02:45, _Campo20220310-Pampulha_0000SET_000_DJI_4871.TIF
-19.85989,-43.9769391111111,839.001,89.9,2022:03:10 07:02:52, _Campo20220310-Pampulha_0000SET_000_DJI_4881.TIF
-19.8600410277778,-43.9768414166667,838.419,89.9,2022:03:10 07:02:58, _Campo20220310-Pampulha_0000SET_000_DJI_4891.TIF
-19.8602495277778,-43.9767103333333,838.053,90.0,2022:03:10 07:03:05, _Campo20220310-Pampulha_0000SET_000_DJI_4901.TIF
-19.8603924444444,-43.9766172222222,838.109,90.0,2022:03:10 07:03:11, _Campo20220310-Pampulha_0000SET_000_DJI_4911.TIF
-19.86064775,-43.9764475,839.163,90.0,2022:03:10 07:03:20, _Campo20220310-Pampulha_0000SET_000_DJI_4921.TIF
-19.8607145277778,-43.9764069166667,839.623,89.9,2022:03:10 07:03:22, _Campo20220310-Pampulha_0000SET_000_DJI_4931.TIF
-19.8608106111111,-43.9763448055556,839.371,90.0,2022:03:10 07:03:25, _Campo20220310-Pampulha_0000SET_000_DJI_4941.TIF
-19.8609163333333,-43.9762772222222,839.362,89.9,2022:03:10 07:03:28, _Campo20220310-Pampulha_0000SET_000_DJI_4951.TIF
-19.8610614722222,-43.9761834444444,838.96,89.9,2022:03:10 07:03:32, _Campo20220310-Pampulha_0000SET_000_DJI_4961.TIF
-19.8611511111111,-43.9761253055556,838.919,89.9,2022:03:10 07:03:36, _Campo20220310-Pampulha_0000SET_000_DJI_4971.TIF
-19.8613720555556,-43.9759839722222,839.392,89.9,2022:03:10 07:03:44, _Campo20220310-Pampulha_0000SET_000_DJI_4981.TIF
-19.8614115,-43.9759572777778,839.345,89.9,2022:03:10 07:03:47, _Campo20220310-Pampulha_0000SET_000_DJI_4991.TIF
-19.861479,-43.9759111388889,839.231,90.0,2022:03:10 07:03:51, _Campo20220310-Pampulha_0000SET_000_DJI_5001.TIF
-19.8615995,-43.9758337777778,839.07,89.9,2022:03:10 07:03:58, _Campo20220310-Pampulha_0000SET_000_DJI_5011.TIF
-19.8616079166667,-43.9758207222222,839.378,89.9,2022:03:10 07:04:03, _Campo20220310-Pampulha_0000SET_000_DJI_5021.TIF
-19.8614069444444,-43.9758983888889,839.277,89.9,2022:03:10 07:04:12, _Campo20220310-Pampulha_0000SET_000_DJI_5031.TIF
-19.8608686666667,-43.9761069444444,838.544,89.9,2022:03:10 07:04:22, _Campo20220310-Pampulha_0000SET_000_DJI_5041.TIF
-19.8519251666667,-43.9762999722222,839.687,90.0,2022:03:10 07:07:12, _Campo20220310-Pampulha_0000SET_000_DJI_5121.TIF
-19.8519334166667,-43.9760554444444,839.485,89.9,2022:03:10 07:07:24, _Campo20220310-Pampulha_0000SET_000_DJI_5131.TIF
-19.8522057777778,-43.9757533333333,839.963,90.0,2022:03:10 07:07:28, _Campo20220310-Pampulha_0000SET_000_DJI_5141.TIF
