,lat_d,long_d,Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
338,-19.8547245277778,-43.9777048888889,90.0,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0101.TIF,0.0288785321069234,0.0695959070022343,0.0709214672445551,0.0176165717805041,0.0602752637432519,0000SET_000_DJI_0101.T,5916082.136544939,211.38253162645867,125579.17293949611,inf,8636068009.162764,-0.6041006856377626,5.56206057801076,-0.1081113393243298,-0.6020564273957315,-0.0811468656356432,0.849887433030786,0.2483954783360265,-1.3343095684534578,-22.136934549752844,0.4134816635023043,2.4099530663315547,0.9813094639208472,2022-07-28,10:39:29,-19.85555,-43.97748,EX4,,,,ponto extra em região com floração,,,0,6.26,3.52,311.2,0.223,29.08,9.4,7.33,116.4,0.316,0.16,337.2,219.0,9.72,7.84,20.953,0.389,4674,696.3,182,94.754
372,-19.8549655555556,-43.9777667222222,90.0,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0111.TIF,0.0284426612245163,0.067900708144163,0.0694054699577302,0.0162690975158956,0.0307477017446873,0000SET_000_DJI_0111.T,10538524.813528037,23179.337076430995,90801.94213598852,inf,105882.99325039738,-0.6032751329521326,5.528769192565418,-0.4012499092190803,-0.620211738544139,-0.3859864600983952,0.443015539890638,0.2344065608345267,-0.8089034762883907,-26.30777034996301,0.4095564352607569,2.387283932687552,0.978319261947457,2022-07-28,10:39:29,-19.85555,-43.97748,EX4,,,,ponto extra em região com floração,,,0,6.26,3.52,311.2,0.223,29.08,9.4,7.33,116.4,0.316,0.16,337.2,219.0,9.72,7.84,20.953,0.389,4674,696.3,182,71.572
373,-19.8549655555556,-43.9777667222222,90.0,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0111.TIF,0.0284426612245163,0.067900708144163,0.0694054699577302,0.0162690975158956,0.0307477017446873,0000SET_000_DJI_0111.T,10538524.813528037,23179.337076430995,90801.94213598852,inf,105882.99325039738,-0.6032751329521326,5.528769192565418,-0.4012499092190803,-0.620211738544139,-0.3859864600983952,0.443015539890638,0.2344065608345267,-0.8089034762883907,-26.30777034996301,0.4095564352607569,2.387283932687552,0.978319261947457,2022-07-28,10:40:27,-19.85561,-43.97738,EX5,,,,ponto extra em região com floração,,,0,2.0,3.17,313.4,0.091,28.72,9.28,7.11,114.2,0.13,0.16,337.3,219.0,15.08,7.81,21.295,0.15,4674,696.4,183,82.285
406,-19.8551516944444,-43.9778140277778,90.0,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0121.TIF,0.0296088738277444,0.0685280453812654,0.0696234656342784,0.0162421915751328,0.030714238815175,0000SET_000_DJI_0121.T,11985925.204042958,24966.084487840373,62054.79284140768,inf,104273.87552146916,-0.5839155572569916,5.405207713719186,-0.3964789921337902,-0.6216836369045438,-0.3877827087294437,0.4411478017556936,0.2332861690690691,-0.8536834520805814,-27.79438739203921,0.396580327436526,2.3144428180531667,0.9842665078069068,2022-07-28,10:39:29,-19.85555,-43.97748,EX4,,,,ponto extra em região com floração,,,0,6.26,3.52,311.2,0.223,29.08,9.4,7.33,116.4,0.316,0.16,337.2,219.0,9.72,7.84,20.953,0.389,4674,696.3,182,56.409
407,-19.8551516944444,-43.9778140277778,90.0,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0121.TIF,0.0296088738277444,0.0685280453812654,0.0696234656342784,0.0162421915751328,0.030714238815175,0000SET_000_DJI_0121.T,11985925.204042958,24966.084487840373,62054.79284140768,inf,104273.87552146916,-0.5839155572569916,5.405207713719186,-0.3964789921337902,-0.6216836369045438,-0.3877827087294437,0.4411478017556936,0.2332861690690691,-0.8536834520805814,-27.79438739203921,0.396580327436526,2.3144428180531667,0.9842665078069068,2022-07-28,10:40:27,-19.85561,-43.97738,EX5,,,,ponto extra em região com floração,,,0,2.0,3.17,313.4,0.091,28.72,9.28,7.11,114.2,0.13,0.16,337.3,219.0,15.08,7.81,21.295,0.15,4674,696.4,183,68.246
440,-19.8555933888889,-43.9779274444444,89.9,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0131.TIF,0.0300187468387352,0.0702578514734219,0.0706229750123049,0.0168693786411721,0.0314228067542697,0000SET_000_DJI_0131.T,10293984.810498947,26453.757682795796,73120.65530851836,inf,112507.72094153358,-0.5779315382129216,5.445272257201324,-0.390920403342828,-0.6143805044270472,-0.3841429560283435,0.4449374548267726,0.2388653074758304,-0.8159399853004498,-25.96648961632241,0.4012811095707889,2.340465837926435,0.9948299609465704,2022-07-28,10:39:29,-19.85555,-43.97748,EX4,,,,ponto extra em região com floração,,,0,6.26,3.52,311.2,0.223,29.08,9.4,7.33,116.4,0.316,0.16,337.2,219.0,9.72,7.84,20.953,0.389,4674,696.3,182,47.044
441,-19.8555933888889,-43.9779274444444,89.9,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0131.TIF,0.0300187468387352,0.0702578514734219,0.0706229750123049,0.0168693786411721,0.0314228067542697,0000SET_000_DJI_0131.T,10293984.810498947,26453.757682795796,73120.65530851836,inf,112507.72094153358,-0.5779315382129216,5.445272257201324,-0.390920403342828,-0.6143805044270472,-0.3841429560283435,0.4449374548267726,0.2388653074758304,-0.8159399853004498,-25.96648961632241,0.4012811095707889,2.340465837926435,0.9948299609465704,2022-07-28,10:40:27,-19.85561,-43.97738,EX5,,,,ponto extra em região com floração,,,0,2.0,3.17,313.4,0.091,28.72,9.28,7.11,114.2,0.13,0.16,337.3,219.0,15.08,7.81,21.295,0.15,4674,696.4,183,57.284
452,-19.8557576111111,-43.9779723888889,89.9,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0141.TIF,0.0298044007890101,0.0692650741387129,0.0698943201881855,0.0164729151388507,0.030867770802467,0000SET_000_DJI_0141.T,10812751.287821122,25679.61413832984,62871.08681788022,inf,101458.62623197056,-0.5787898143137736,5.419712186102204,-0.3939311217122193,-0.6185378615750583,-0.3873138102040669,0.4416348956447063,0.2356831727456328,-0.838171636684871,-27.15361734569712,0.3983131371039533,2.323988146215417,0.9909971790586358,2022-07-28,09:31:26,-19.8561,-43.97881,P6,,,,"sem nuvens, sem vento",,0.65,65,4.92,4.51,309.2,0.295,29.16,9.42,6.97,73.7,0.419,0.16,336.4,219.0,13.59,7.78,20.76,0.475,4674,696.4,160,95.517
474,-19.8557576111111,-43.9779723888889,89.9,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0141.TIF,0.0298044007890101,0.0692650741387129,0.0698943201881855,0.0164729151388507,0.030867770802467,0000SET_000_DJI_0141.T,10812751.287821122,25679.61413832984,62871.08681788022,inf,101458.62623197056,-0.5787898143137736,5.419712186102204,-0.3939311217122193,-0.6185378615750583,-0.3873138102040669,0.4416348956447063,0.2356831727456328,-0.838171636684871,-27.15361734569712,0.3983131371039533,2.323988146215417,0.9909971790586358,2022-07-28,10:39:29,-19.85555,-43.97748,EX4,,,,ponto extra em região com floração,,,0,6.26,3.52,311.2,0.223,29.08,9.4,7.33,116.4,0.316,0.16,337.2,219.0,9.72,7.84,20.953,0.389,4674,696.3,182,56.434
475,-19.8557576111111,-43.9779723888889,89.9,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0141.TIF,0.0298044007890101,0.0692650741387129,0.0698943201881855,0.0164729151388507,0.030867770802467,0000SET_000_DJI_0141.T,10812751.287821122,25679.61413832984,62871.08681788022,inf,101458.62623197056,-0.5787898143137736,5.419712186102204,-0.3939311217122193,-0.6185378615750583,-0.3873138102040669,0.4416348956447063,0.2356831727456328,-0.838171636684871,-27.15361734569712,0.3983131371039533,2.323988146215417,0.9909971790586358,2022-07-28,10:40:27,-19.85561,-43.97738,EX5,,,,ponto extra em região com floração,,,0,2.0,3.17,313.4,0.091,28.72,9.28,7.11,114.2,0.13,0.16,337.3,219.0,15.08,7.81,21.295,0.15,4674,696.4,183,64.092
