Latitude,Longitude,Degree,DateTime,Image Index
-19.8542651944444,-43.9771371666667,89.9,2022:07:28 09:04:06, _Pampulha_2022-07-28_0000SET_000_DJI_0011.TIF
-19.853631,-43.9772135,90.0,2022:07:28 09:04:30, _Pampulha_2022-07-28_0000SET_000_DJI_0021.TIF
-19.85336725,-43.9770663888889,89.9,2022:07:28 09:05:20, _Pampulha_2022-07-28_0000SET_000_DJI_0031.TIF
-19.8535824722222,-43.9771885555556,89.9,2022:07:28 09:05:25, _Pampulha_2022-07-28_0000SET_000_DJI_0041.TIF
-19.8537038333333,-43.9772576666667,90.0,2022:07:28 09:05:28, _Pampulha_2022-07-28_0000SET_000_DJI_0051.TIF
-19.8538205,-43.9773237777778,89.9,2022:07:28 09:05:31, _Pampulha_2022-07-28_0000SET_000_DJI_0061.TIF
-19.8539544444444,-43.9773999166667,90.0,2022:07:28 09:05:34, _Pampulha_2022-07-28_0000SET_000_DJI_0071.TIF
-19.8541430277778,-43.9775045,90.0,2022:07:28 09:05:38, _Pampulha_2022-07-28_0000SET_000_DJI_0081.TIF
-19.8545514722222,-43.9776598611111,90.0,2022:07:28 09:05:48, _Pampulha_2022-07-28_0000SET_000_DJI_0091.TIF
-19.8547245277778,-43.9777048888889,90.0,2022:07:28 09:05:51, _Pampulha_2022-07-28_0000SET_000_DJI_0101.TIF
-19.8549655555556,-43.9777667222222,90.0,2022:07:28 09:05:56, _Pampulha_2022-07-28_0000SET_000_DJI_0111.TIF
-19.8551516944444,-43.9778140277778,90.0,2022:07:28 09:06:00, _Pampulha_2022-07-28_0000SET_000_DJI_0121.TIF
-19.8555933888889,-43.9779274444444,89.9,2022:07:28 09:06:09, _Pampulha_2022-07-28_0000SET_000_DJI_0131.TIF
-19.8557576111111,-43.9779723888889,89.9,2022:07:28 09:06:13, _Pampulha_2022-07-28_0000SET_000_DJI_0141.TIF
-19.8562389444444,-43.9780962222222,89.9,2022:07:28 09:06:23, _Pampulha_2022-07-28_0000SET_000_DJI_0151.TIF
-19.8565594166667,-43.9779568055556,90.0,2022:07:28 09:06:31, _Pampulha_2022-07-28_0000SET_000_DJI_0161.TIF
-19.8567691666667,-43.9778670555556,89.9,2022:07:28 09:06:35, _Pampulha_2022-07-28_0000SET_000_DJI_0171.TIF
-19.8569633611111,-43.9777836666667,90.0,2022:07:28 09:06:40, _Pampulha_2022-07-28_0000SET_000_DJI_0181.TIF
-19.8571723055556,-43.9776936388889,90.0,2022:07:28 09:06:44, _Pampulha_2022-07-28_0000SET_000_DJI_0191.TIF
-19.8573943333333,-43.9775981111111,89.9,2022:07:28 09:06:49, _Pampulha_2022-07-28_0000SET_000_DJI_0201.TIF
-19.8576343055556,-43.9774975833333,90.0,2022:07:28 09:06:54, _Pampulha_2022-07-28_0000SET_000_DJI_0211.TIF
-19.8585586944444,-43.97710375,90.0,2022:07:28 09:07:14, _Pampulha_2022-07-28_0000SET_000_DJI_0241.TIF
-19.8587585277778,-43.9770160833333,90.0,2022:07:28 09:07:18, _Pampulha_2022-07-28_0000SET_000_DJI_0251.TIF
-19.8589394444444,-43.9769385,89.9,2022:07:28 09:07:22, _Pampulha_2022-07-28_0000SET_000_DJI_0261.TIF
-19.8605361944444,-43.9762515277778,90.0,2022:07:28 09:07:57, _Pampulha_2022-07-28_0000SET_000_DJI_0291.TIF
-19.8608191111111,-43.9761291666667,89.9,2022:07:28 09:08:03, _Pampulha_2022-07-28_0000SET_000_DJI_0301.TIF
-19.8611465277778,-43.9759903055556,89.9,2022:07:28 09:08:10, _Pampulha_2022-07-28_0000SET_000_DJI_0311.TIF
-19.8613613333333,-43.9758980833333,90.0,2022:07:28 09:08:15, _Pampulha_2022-07-28_0000SET_000_DJI_0321.TIF
-19.8615940277778,-43.9757984444444,89.9,2022:07:28 09:08:20, _Pampulha_2022-07-28_0000SET_000_DJI_0331.TIF
-19.8619589722222,-43.97564325,89.9,2022:07:28 09:08:28, _Pampulha_2022-07-28_0000SET_000_DJI_0341.TIF
-19.8615253055556,-43.9759563055556,90.0,2022:07:28 09:08:48, _Pampulha_2022-07-28_0000SET_000_DJI_0351.TIF
-19.8613598055556,-43.9760636388889,90.0,2022:07:28 09:08:52, _Pampulha_2022-07-28_0000SET_000_DJI_0361.TIF
-19.8611987777778,-43.9761675555556,89.9,2022:07:28 09:08:55, _Pampulha_2022-07-28_0000SET_000_DJI_0371.TIF
-19.8607284722222,-43.9764682777778,90.0,2022:07:28 09:09:04, _Pampulha_2022-07-28_0000SET_000_DJI_0381.TIF
-19.86046575,-43.9766344166667,90.0,2022:07:28 09:09:09, _Pampulha_2022-07-28_0000SET_000_DJI_0391.TIF
-19.8601915,-43.9768087777778,90.0,2022:07:28 09:09:13, _Pampulha_2022-07-28_0000SET_000_DJI_0401.TIF
