Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR
0.0231677084925584,0.1192802263976544,0.0561577231864665,0.0180196367243816,0.0457226789278488,0000SET_000_DJI_2741.T,-0.27657572164498206,8.466746324383882,-0.07325514593567242,-0.5141472614814292,-0.10242445104318512,0.8141832740624276,0.32087548607604816,-0.563828662156988,-12.331487904431839,0.674720331882464,5.148555215806859,2.1240217663667647
0.0233190635148073,0.1188085602551581,0.1154847497471578,0.0226950712365425,0.0472622546407214,0000SET_000_DJI_2751.T,-0.7757495422418362,8.426113186333238,-0.4800086942764555,-0.6715139580442847,-0.4191935535958619,0.40925104608355073,0.1965200711455934,-0.055725117848241454,-1.1790617750222268,0.6718574067972968,5.094911302064777,1.0287813803578172
0.0459170770258582,0.1142686643391924,0.109721816356999,0.0439334051365147,0.0899168292745336,0000SET_000_DJI_2761.T,-0.5583747714224114,5.609230683055117,-0.12363764036482755,-0.4281560403937295,-0.09920417472185676,0.8194981842259479,0.400407198816047,-0.08841821103207828,-0.9833332841633045,0.42670206930319954,2.488587509062086,1.0414397804662607
0.0460719608257176,0.1206597107896553,0.1088285273708553,0.0507237155226434,0.0909124208195409,0000SET_000_DJI_2771.T,-0.5201120252520786,5.801677721034716,-0.10745472877309357,-0.36417420898932096,-0.08969671323596845,0.8353730682189456,0.46608841218435354,0.1809640355978212,1.9905314803686807,0.44735201921325074,2.618940210643313,1.1087139898391056
0.0246488729902294,0.1078399439264881,0.105766693957405,0.0491047478433108,0.0888819056705122,0000SET_000_DJI_2801.T,-0.7522057042469501,7.841449920305841,-0.12744312070887145,-0.3658643934302955,-0.08674497694393442,0.8403581727373199,0.464274205858099,1.795874602261546,20.20517661849989,0.6279101351516531,4.375045624570134,1.0196021062161407
0.0496225252653789,0.133120728379164,0.1201028700850048,0.0509370259198211,0.0938049512250359,0000SET_000_DJI_2811.T,-0.5294468087560242,5.880677436476454,-0.1439063732066489,-0.4043842739663043,-0.122940426857288,0.7810383811697746,0.42411164598955525,0.04878363111648155,0.5200539041851933,0.4569153796298216,2.68266735050747,1.108389235702241
0.0764083685127108,0.1441072925879346,0.1150277856405519,0.0487789458492834,0.0967432615202094,0000SET_000_DJI_2821.T,-0.2679907202078302,4.47974712956366,-0.08291712266185607,-0.40443295088504616,-0.08634100064898015,0.8410425444728681,0.4240622870174323,-0.7171651835635532,-7.413076345516213,0.30700279398443897,1.8860145216156767,1.2528041967029835
0.0502541597135043,0.1238126052679476,0.1166376188184322,0.0341792376041381,0.0836441767708374,0000SET_000_DJI_2831.T,-0.5361607484251294,5.556840628831667,-0.18954475342326546,-0.5467451263090635,-0.16473510211210868,0.7171286384116334,0.2930378547708895,-0.7827988907066717,-9.358677685971262,0.42258753738705657,2.463728494791182,1.0615152000032217
0.0249944282311776,0.1178601253225142,0.10774790562087,0.0489460900039611,0.0896369801106463,0000SET_000_DJI_2841.T,-0.702132949233208,8.122452794794151,-0.12677877645262958,-0.37526527664593323,-0.09175436834033103,0.8319138974826092,0.45426488544646565,1.7549375076382199,19.57827567898825,0.650071662268946,4.715455950118419,1.0938507309573686
0.0249967303018554,0.118289576203269,0.1125902764718704,0.0483110614472733,0.0891879408772184,0000SET_000_DJI_2851.T,-0.7405009721185755,8.135838204369621,-0.16332569500502167,-0.3994945962282722,-0.11598048541664197,0.7921460331390264,0.4290873329487147,1.721865855045014,19.30603888944404,0.6510939403555436,4.732201963009893,1.0506198217998204
0.0265941814710523,0.1229495781641335,0.119357838209111,0.0566610890967364,0.0989321771588482,0000SET_000_DJI_2861.T,-0.7544853599596931,8.037819587478154,-0.13658651554629567,-0.3561932234903002,-0.09357121083084088,0.8288703837407165,0.4747161137207264,1.9740347065187298,19.95341417938439,0.6443291042577879,4.623175873939336,1.030092200134606
0.049838797805048,0.1230898544086352,0.1157778582767932,0.0349707286304672,0.0882652049517442,0000SET_000_DJI_2871.T,-0.535698582052424,5.567410691975738,-0.15909829269386988,-0.5360390522004564,-0.13483748425318234,0.762366883145534,0.302050229214482,-0.7529599349889471,-8.530654128097257,0.4235912075060463,2.469759701871618,1.0631553929280761
0.0261983731569913,0.1229530602456063,0.1156608820783438,0.0349325967891013,0.0882648689671526,0000SET_000_DJI_2881.T,-0.7276151463220649,8.097007470384902,-0.18367918085803706,-0.5360676033010758,-0.1343430781582806,0.7631350148909094,0.30202602782710436,0.8423779562513749,9.543751280759984,0.6487010207099354,4.693156308173092,1.063047921096807
0.0500782776048346,0.122535393610382,0.1161454625138954,0.065334446654252,0.0832910540359883,0000SET_000_DJI_2891.T,-0.5391681779644045,5.531458432623161,-0.1903349152277972,-0.2799814926762237,-0.16473617292492898,0.7171270597508149,0.5625225922746274,0.38837587961759207,4.662876273000256,0.4197646426001048,2.4468771585417373,1.0550166227606361
0.0471773228287631,0.1194388810980223,0.1096118962327364,0.0581069368967354,0.0933875441591329,0000SET_000_DJI_2901.T,-0.5227324036360812,5.669824418354027,-0.09737559547769323,-0.3070910903383245,-0.07992313694207272,0.8519836565991459,0.5301152419930615,0.37233383812130866,3.986975366723957,0.4337006639583052,2.5317011211412512,1.0896525395785552
