,lat_d,long_d,Altitude,DateTime,Image Index,Degree,Image Index.1,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
11,-18.2802163333333,-45.3723911666667,696.846,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0101.TIF,89.9, _Campo2022-03-TM_0000SET_000_DJI_0101.TIF,0.0560196850497785,0.0990010588809079,0.0960636933017478,0.0124121251738192,0.0215987441236635,0000SET_000_DJI_0101.T,-0.4044806056078626,4.283563905938941,-0.4803547402106354,-0.7711540627533517,-0.6328693405258513,0.2248377444308663,0.1292072451850378,-1.354576309067931,-62.715512592413305,0.2772620795210958,1.7672548282436185,1.0305772709564005,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,13.879
73,-18.2797463055556,-45.3726481944444,696.566,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0111.TIF,89.7, _Campo2022-03-TM_0000SET_000_DJI_0111.TIF,0.0561109617765524,0.0994093499664324,0.0991466931773689,0.0123734316116314,0.021331560991757,0000SET_000_DJI_0111.T,-0.4329143225999204,4.292706488984679,-0.5003534992535917,-0.7780950902800309,-0.6458852904390197,0.2151515124523196,0.1247992365160973,-1.3438135537738674,-62.9964939880934,0.2784098598094091,1.7716564966807162,1.0026491734685856,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,45.059
135,-18.2797411944444,-45.3726581111111,696.156,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0121.TIF,89.7, _Campo2022-03-TM_0000SET_000_DJI_0121.TIF,0.056243890308662,0.0998171852467658,0.0950882461194086,0.0123503529526252,0.0213857180021787,0000SET_000_DJI_0121.T,-0.3891549908436753,4.2988595969830055,-0.4722672059955985,-0.7700946762281455,-0.6327811427478484,0.2249039063705438,0.1298830660638755,-1.3513557560756388,-63.18963693143096,0.2792066809934805,1.7747205020665715,1.0497321101224095,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,46.036
197,-18.2796795555556,-45.37283025,695.869,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0131.TIF,90.0, _Campo2022-03-TM_0000SET_000_DJI_0131.TIF,0.0568134843810049,0.0979067294043073,0.0972092929072201,0.0125605511820711,0.0218103233773288,0000SET_000_DJI_0131.T,-0.4125948111227381,4.186110248237187,-0.4873246209090296,-0.7711475080195278,-0.6335003580387074,0.2243645923661364,0.1292114242005579,-1.3525210842851696,-62.012885406874624,0.2655971318674808,1.7233009112365156,1.007174586669948,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,61.799
259,-18.2796683611111,-45.3728345,695.915,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0141.TIF,89.9, _Campo2022-03-TM_0000SET_000_DJI_0141.TIF,0.0571798823123022,0.0987478257083038,0.0979219768316653,0.0126519008511397,0.0219287134264348,0000SET_000_DJI_0141.T,-0.4125872567535131,4.193116734371557,-0.4873621524353317,-0.7711593168970116,-0.6340661304626445,0.2239406733396711,0.1292038953920344,-1.3497306909619795,-61.550838150627456,0.2665847136706989,1.7269679774604625,1.0084337439189794,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,63.048
880,-18.2786781111111,-45.3750527777778,695.378,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0261.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0261.TIF,0.0595385348018074,0.1007244209940629,0.0982971499091373,0.0143815683619951,0.0247210033794463,0000SET_000_DJI_0261.T,-0.3847985893074975,4.108770991361272,-0.4590964029354744,-0.7447331921651869,-0.5980917820891972,0.2514925753421904,0.1463070737583842,-1.3037264012052034,-52.73760054129342,0.2569894333205402,1.6917517592489566,1.0246931990110526,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,90.258
942,-18.2786723611111,-45.3751026666667,695.279,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0271.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0271.TIF,0.0598549244957086,0.1012410167070696,0.0991225362195545,0.0145891198836062,0.0248858103808038,0000SET_000_DJI_0271.T,-0.3878626766211037,4.107226467676727,-0.4608230678220864,-0.7434015054644748,-0.5986429774601656,0.2510610737974078,0.1471826734870018,-1.290009925421547,-51.83716767433957,0.2569033825580161,1.691440053764135,1.0213723394125298,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,84.952
1004,-18.2784811944444,-45.3757551944444,695.311,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0281.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0281.TIF,0.0605106150181503,0.0986331873114996,0.0957962676184847,0.0144648956526245,0.0249663707093477,0000SET_000_DJI_0281.T,-0.3577462471013594,3.9656562022195168,-0.4450685221308223,-0.7376248313822277,-0.5865216087516754,0.2606194513629488,0.1509964428909898,-1.3134023982049703,-52.6068611852029,0.2395479543361817,1.6300146227552694,1.0296140941974183,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,18.201
1066,-18.2784714722222,-45.3757888333333,695.388,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0291.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0291.TIF,0.0601625667319219,0.098303107243941,0.095495984701403,0.0142441042763619,0.0245575510216863,0000SET_000_DJI_0291.T,-0.3594333786601533,3.9757127957910665,-0.4476580441674824,-0.7404029027305057,-0.5908899996359995,0.2571579433258151,0.1491591957599096,-1.315863655921291,-53.58285338628747,0.240686449974198,1.6339580005282912,1.0293951892460746,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,16.056
1128,-18.2785198055556,-45.3763378333333,695.082,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0301.TIF,87.6, _Campo2022-03-TM_0000SET_000_DJI_0301.TIF,0.060816251418059,0.0990115794544317,0.0976325645935115,0.0148021874071,0.025445974083909,0000SET_000_DJI_0301.T,-0.3718384594843933,3.960279214430736,-0.4516521942113595,-0.7366972907625661,-0.5865083489396804,0.2606299874417116,0.1516111706040725,-1.300661025557724,-51.11460937862894,0.2389779541389422,1.628044760171306,1.0141245379209454,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,46.564
