,lat_d,long_d,Altitude,DateTime,Image Index,Degree,Image Index.1,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
11,-18.2802163333333,-45.3723911666667,696.846,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0101.TIF,89.9, _Campo2022-03-TM_0000SET_000_DJI_0101.TIF,0.0495486797204485,0.0875490177085809,0.0846112674420323,0.0113263954913461,0.0194474804584339,0000SET_000_DJI_0101.T,-0.4004909322717305,4.302507332466849,-0.4753091277651208,-0.763880104121122,-0.6262211327578971,0.2298450436492691,0.1338639147452304,-1.3245128395627264,-68.10716906972478,0.2771770693508826,1.766929375364362,1.0347205562020598,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,13.879
73,-18.2797463055556,-45.3726481944444,696.566,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0111.TIF,89.7, _Campo2022-03-TM_0000SET_000_DJI_0111.TIF,0.0495677008290665,0.0876789356797106,0.0872379562333405,0.0112837781681225,0.0192566029829023,0000SET_000_DJI_0111.T,-0.4296386026158288,4.306600262925366,-0.4953225447247351,-0.770938296271915,-0.6383551774921993,0.2207365212843309,0.1293448248368074,-1.318083101869725,-68.4483708284392,0.2776842902682488,1.7688723546421925,1.0050549034549892,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,45.059
135,-18.2797411944444,-45.3726581111111,696.156,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0121.TIF,89.7, _Campo2022-03-TM_0000SET_000_DJI_0121.TIF,0.0497166434313993,0.0881750597155837,0.0838525903526127,0.0112767263254004,0.0193248003686416,0000SET_000_DJI_0121.T,-0.3871383476384574,4.316107509883704,-0.4679599171763724,-0.762917958013531,-0.6254062981520867,0.2304615789133993,0.1344827426079513,-1.3249900531429506,-68.56422979111417,0.2789030478736664,1.773552147325686,1.051548429747899,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,46.036
197,-18.2796795555556,-45.37283025,695.869,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0131.TIF,90.0, _Campo2022-03-TM_0000SET_000_DJI_0131.TIF,0.0501580318617562,0.0864069990477541,0.0854592957961519,0.0113557319468015,0.0195041983574561,0000SET_000_DJI_0131.T,-0.4085463483679827,4.204716541241055,-0.4829574379285899,-0.7654138575066821,-0.6283622508047828,0.2282279320903829,0.1328788382938305,-1.3287092359012307,-68.12426799347482,0.265433742039109,1.7226951664671777,1.0110895279767198,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,61.799
259,-18.2796683611111,-45.3728345,695.915,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0141.TIF,89.9, _Campo2022-03-TM_0000SET_000_DJI_0141.TIF,0.0504605900992022,0.0871104570935661,0.0860846521661665,0.0114502879750386,0.0195441861282975,0000SET_000_DJI_0141.T,-0.4089527624530792,4.211670667526198,-0.4836807409383943,-0.7652064386677928,-0.6299460176999445,0.2270345019292402,0.1330119561026566,-1.3195570443981353,-67.51660241751301,0.2664068329945116,1.7263067459637842,1.0119162347943222,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,63.048
880,-18.2786781111111,-45.3750527777778,695.378,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0261.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0261.TIF,0.0525334715003839,0.0889972135167364,0.0863947717651202,0.0127158370256584,0.0219217344469688,0000SET_000_DJI_0261.T,-0.3804759601643989,4.134052928892736,-0.4555410532376948,-0.7434010913503439,-0.5952281842613171,0.2537391325781495,0.1471829459799801,-1.3066802118227088,-59.6066070859365,0.2576384196256921,1.6941049387167575,1.0301226763893931,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,90.258
942,-18.2786723611111,-45.3751026666667,695.279,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0271.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0271.TIF,0.052779297819566,0.0894009756002417,0.0870462080831551,0.0128993437662785,0.0219844525061943,0000SET_000_DJI_0271.T,-0.3832945897236545,4.132769306584692,-0.4576004393018474,-0.7418725790676275,-0.5967289863720804,0.2525607144792866,0.1481896115906137,-1.2877722994496024,-58.57650078330411,0.2575721434473889,1.6938644372623606,1.0270519252813068,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,84.952
1004,-18.2784811944444,-45.3757551944444,695.311,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0281.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0281.TIF,0.0532735408960923,0.0865274469790031,0.0843705036851769,0.0131918583023476,0.0224665809921638,0000SET_000_DJI_0281.T,-0.3593884238446402,3.972553185733444,-0.442800323759664,-0.729570747702183,-0.5794235482928939,0.2662847797613772,0.1563562824227311,-1.2813429647682324,-57.033287139469806,0.2378660307652572,1.6242105466158347,1.0255651347285384,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,18.201
1066,-18.2784714722222,-45.3757888333333,695.388,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0291.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0291.TIF,0.0529524663034906,0.0862477924277075,0.0838826993834836,0.0129859643771314,0.0220640095442803,0000SET_000_DJI_0291.T,-0.3586205769373005,3.984134388695805,-0.4440989578803725,-0.731885134511141,-0.583488533667924,0.2630340905388731,0.1548109976499912,-1.282390154904768,-58.12135606319137,0.2391901166542488,1.6287776273420165,1.0281952424231304,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,16.056
1128,-18.2785198055556,-45.3763378333333,695.082,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0301.TIF,87.6, _Campo2022-03-TM_0000SET_000_DJI_0301.TIF,0.0535461272175635,0.0870002023048477,0.0855346961287251,0.0134300814347809,0.0226680883817285,0000SET_000_DJI_0301.T,-0.3676838451372103,3.973041037697493,-0.4473016688562616,-0.7285886602197882,-0.5810073006108543,0.265016296399934,0.1570132594446744,-1.2645217509103173,-55.784225366333885,0.2380288065932713,1.624771142670259,1.017133470304461,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,46.564
