Degree,Image Index
90.0, _Campo2022-03-TM_0000SET_000_DJI_1141.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_1151.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_1161.TIF
21.0, _Campo2022-03-TM_0000SET_not90_DJI_0241.TIF
19.0, _Campo2022-03-TM_0000SET_not90_DJI_0251.TIF
22.9, _Campo2022-03-TM_0000SET_not90_DJI_0321.TIF
22.9, _Campo2022-03-TM_0000SET_not90_DJI_0331.TIF
4.5, _Campo2022-03-TM_0000SET_not90_DJI_0471.TIF
14.0, _Campo2022-03-TM_0000SET_not90_DJI_0481.TIF
7.1, _Campo2022-03-TM_0000SET_not90_DJI_0621.TIF
18.1, _Campo2022-03-TM_0000SET_not90_DJI_0631.TIF
13.9, _Campo2022-03-TM_0000SET_not90_DJI_0741.TIF
17.6, _Campo2022-03-TM_0000SET_not90_DJI_0801.TIF
30.9, _Campo2022-03-TM_0000SET_not90_DJI_0961.TIF
56.5, _Campo2022-03-TM_0000SET_not90_DJI_1171.TIF
71.7, _Campo2022-03-TM_0000SET_not90_DJI_1181.TIF
59.0, _Campo2022-03-TM_0000SET_not90_DJI_1191.TIF
59.0, _Campo2022-03-TM_0000SET_not90_DJI_1201.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1261.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1271.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1281.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1291.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1301.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1311.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1321.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1331.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1341.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1351.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1361.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1371.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1381.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1391.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1401.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1411.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1421.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1431.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1441.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1451.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1461.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1471.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1481.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1491.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1501.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1511.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1521.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1531.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1541.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1551.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1561.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1571.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1581.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1591.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1601.TIF
57.9, _Campo2022-03-TM_0001SET_000_DJI_1611.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1641.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1651.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1661.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1671.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1681.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1691.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1701.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1711.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1721.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1731.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1741.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1751.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1761.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1771.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1781.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1791.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1811.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1821.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1831.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1841.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1851.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1861.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1871.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1881.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1891.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1901.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1911.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1921.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1931.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1941.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1951.TIF
73.3, _Campo2022-03-TM_0001SET_000_DJI_1961.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1971.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_1981.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_1991.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2001.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2011.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2021.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2041.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2051.TIF
44.9, _Campo2022-03-TM_0001SET_000_DJI_2111.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2151.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2161.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2171.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2181.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2191.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2201.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2211.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2221.TIF
77.9, _Campo2022-03-TM_0001SET_000_DJI_2231.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2241.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2251.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2261.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2271.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2281.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2291.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2301.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2311.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2321.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2331.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2341.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2351.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2361.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2371.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2381.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2391.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2401.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2411.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2421.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2431.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2441.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2451.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2461.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2471.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2481.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2491.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2501.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2511.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2521.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2531.TIF
89.9, _Campo2022-03-TM_0001SET_000_DJI_2541.TIF
90.0, _Campo2022-03-TM_0001SET_000_DJI_2551.TIF
