,lat_d,long_d,Altitude,DateTime,Image Index,Degree,Image Index.1,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
11,-18.2802163333333,-45.3723911666667,696.846,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0101.TIF,89.9, _Campo2022-03-TM_0000SET_000_DJI_0101.TIF,0.0527935310037386,0.0932611171304223,0.0903682562579292,0.011865499808915,0.0205412062216619,0000SET_000_DJI_0101.T,-0.4028980823985167,4.291493867651695,-0.478088516375915,-0.7678751076864103,-0.6295860468092743,0.2273055503365381,0.1313016351123172,-1.3420850845873766,-65.33623537511977,0.2770715389318629,1.766525469262853,1.0320119142748123,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,13.879
73,-18.2797463055556,-45.3726481944444,696.566,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0111.TIF,89.7, _Campo2022-03-TM_0000SET_000_DJI_0111.TIF,0.0528353959475003,0.0934733443833722,0.0931133743630387,0.0118078498883015,0.0202283464835691,0000SET_000_DJI_0111.T,-0.4309033626778349,4.296962797077763,-0.4981590827358807,-0.7749197081418792,-0.6430555962539983,0.2172442640162628,0.126811534530625,-1.3302710377109734,-65.76271761962917,0.2777547557580667,1.7691424982648307,1.0038659325021346,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,45.059
135,-18.2797411944444,-45.3726581111111,696.156,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0121.TIF,89.7, _Campo2022-03-TM_0000SET_000_DJI_0121.TIF,0.0529951676326687,0.0939795636088767,0.0894207427792603,0.0117970728043795,0.0203101631318891,0000SET_000_DJI_0121.T,-0.3875903839922819,4.305482341804529,-0.4702208268290114,-0.7668973048597129,-0.6298187285843696,0.2271303335292772,0.1319276986269414,-1.3383817768651192,-65.89714559031377,0.2788533486674812,1.7733610026538211,1.050981692702666,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,46.036
197,-18.2796795555556,-45.37283025,695.869,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0131.TIF,90.0, _Campo2022-03-TM_0000SET_000_DJI_0131.TIF,0.0534937772170632,0.0920768715841552,0.0913213574880462,0.0119738847476032,0.0206725184277533,0000SET_000_DJI_0131.T,-0.4108260806451255,4.1912713527847085,-0.4853233783189787,-0.7681619310154295,-0.6308276991271282,0.2263711249633941,0.131118120415266,-1.34001996668054,-64.82132166739466,0.2650472103052759,1.7212632267587369,1.0082731369406974,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,61.799
259,-18.2796683611111,-45.3728345,695.915,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0141.TIF,89.9, _Campo2022-03-TM_0000SET_000_DJI_0141.TIF,0.0538102607252474,0.0928984811388946,0.0920157828009676,0.0120450213781252,0.0207168927872577,0000SET_000_DJI_0141.T,-0.4112609981060752,4.201609599517983,-0.4859893766912365,-0.768500321073913,-0.6324598404294143,0.2251449931374148,0.1309016889437204,-1.334955907791764,-64.43803718542449,0.2664341600710093,1.7264083073901046,1.0095929014681784,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,63.048
880,-18.2786781111111,-45.3750527777778,695.378,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0261.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0261.TIF,0.0560511747618837,0.0948655691361975,0.0923668188904849,0.0135025105916984,0.0233340160257858,0000SET_000_DJI_0261.T,-0.3828116402955767,4.120058246065659,-0.4574230869393731,-0.7449212031899999,-0.5966491332120127,0.2526233587566967,0.1461835619532129,-1.3118258231810709,-56.21946182480576,0.2571907753358791,1.692481371518169,1.0270524661964948,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,90.258
942,-18.2786723611111,-45.3751026666667,695.279,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0271.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0271.TIF,0.0563183849345181,0.0953161531437806,0.0930604121791344,0.0137024927021373,0.0234505639224491,0000SET_000_DJI_0271.T,-0.3854753473862129,4.119231299152165,-0.4590632789789701,-0.7433098562206509,-0.5974531377712767,0.2519929084056548,0.1472429831469155,-1.295015912964498,-55.22323118740808,0.2571826227948506,1.692451821099017,1.024239533350702,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,84.952
1004,-18.2784811944444,-45.3757551944444,695.311,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0281.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0281.TIF,0.0568625836614668,0.092533720724669,0.0901432028848794,0.0138768859133569,0.0237362928310425,0000SET_000_DJI_0281.T,-0.3596593648540078,3.969355338556229,-0.4445016918370275,-0.7331883471033495,-0.5831331587513546,0.2633176109945392,0.15394267642208,-1.2930587729851748,-54.47602042110396,0.2387685372123069,1.6273217776309894,1.0265191136246012,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,18.201
1066,-18.2784714722222,-45.3757888333333,695.388,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0291.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0291.TIF,0.0565069005984169,0.0922177576587424,0.0897245096037938,0.0136487914786348,0.0233122186436264,0000SET_000_DJI_0291.T,-0.36020837904453,3.981148798743959,-0.446545258455623,-0.7359319798106975,-0.5875284254052453,0.2598199616422389,0.1521188751981509,-1.295450813846493,-55.56960637895662,0.2401138955624829,1.6319733816957214,1.0277878147894963,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,16.056
1128,-18.2785198055556,-45.3763378333333,695.082,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0301.TIF,87.6, _Campo2022-03-TM_0000SET_000_DJI_0301.TIF,0.0571961694865888,0.092946872430141,0.0916038191964831,0.014123444424756,0.0240836800508334,0000SET_000_DJI_0301.T,-0.3701862021850722,3.963148432332528,-0.4497054161397419,-0.7328324986192339,-0.5836424815554642,0.2629113093983098,0.1541796460960029,-1.284155535526713,-53.32056948175059,0.2381109539753413,1.6250541472350684,1.014661541903369,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,46.564
