,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
1190,-18.2785562222222,-45.3763282222222,695.389,87.6,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0311.TIF,0.060754141038756,0.0985347047700221,0.0972440252687716,0.0149719166586384,0.025617700142096,0000SET_000_DJI_0311.T,956644286873100.6,19276279536.122555,36030.544204318416,198731.52226712368,-0.3703251997880565,3.94605531388477,-0.4496631560295254,-0.7331588292807203,-0.5829832267709629,0.263437265901854,0.1539623294825332,-1.2893883485188071,-50.33193227209472,0.2371827326605193,1.6218598944089309,1.0132725840758154,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,45.24
1560,-18.2830395,-45.3703028333333,696.297,90.0,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0391.TIF,0.0577794009177498,0.0985351137048883,0.0953812484528038,0.0116846230167201,0.0197017875925915,0000SET_000_DJI_0391.T,2.930912568232251e+18,7343327575321.918,40688.00837492838,83325.90627545248,-0.38160860754341,4.143870500321002,-0.4841486476346202,-0.7817302029798336,-0.6576074412075817,0.2065582901479871,0.1225044042331008,-1.3451466039751547,-68.27535814470829,0.2607289085439548,1.7053675209466972,1.0330658835278832,,Chuvoso,,Campanha 11,,400,2022-03-24,13:21:21,,,-18.28354,-45.37003,0.484,140,29.587,8.06,116.3,67.3,7.31,0.47,,-0.14,,3.29,10.26,3.73,-94,40,574.4,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1327,62.666
1622,-18.28342475,-45.3701848055556,696.187,89.9,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0401.TIF,0.0572580817550465,0.1003876487960553,0.0960209705297353,0.0112612693820177,0.0191573827401545,0000SET_000_DJI_0401.T,2.6250535085113352e+19,25679824322835.016,51765.20600887014,90197.7418295644,-0.386132051498072,4.24998787793462,-0.4875716425740118,-0.7900627468016912,-0.6673440417182511,0.1995124880998983,0.1172792705581992,-1.3665948190802706,-71.33515249010728,0.2735853796372118,1.7532485497072652,1.045476297961056,,Chuvoso,,Campanha 11,,400,2022-03-24,13:21:21,,,-18.28354,-45.37003,0.484,140,29.587,8.06,116.3,67.3,7.31,0.47,,-0.14,,3.29,10.26,3.73,-94,40,574.4,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1327,20.77
1684,-18.2837889166667,-45.37013425,696.215,90.0,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0411.TIF,0.0568460659074993,0.0992778259165916,0.0938916533519229,0.0110282176446094,0.018797492313052,0000SET_000_DJI_0411.T,9.115918169074346e+18,11666257752797.367,34669.83950295408,69766.37861242829,-0.3731506718886804,4.236419674861185,-0.4809908346602169,-0.7897782843256852,-0.6663832669574585,0.2002040824927813,0.1174568478762818,-1.3738169262498765,-73.08511706617215,0.2717826177232459,1.7464326568902382,1.0573658293616404,,Chuvoso,,Campanha 11,,400,2022-03-24,13:21:21,,,-18.28354,-45.37003,0.484,140,29.587,8.06,116.3,67.3,7.31,0.47,,-0.14,,3.29,10.26,3.73,-94,40,574.4,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1327,29.787
1746,-18.2841082222222,-45.3701066388889,696.186,90.0,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0421.TIF,0.0565135126777564,0.0977550783738095,0.0963502440992161,0.0110307378676548,0.0188087073655408,0000SET_000_DJI_0421.T,9.144902363326266e+19,56495281272505.64,64410.75960468508,93485.21561257773,-0.4075157228059952,4.20110881068902,-0.5026398193249605,-0.7945495065214063,-0.6733435460065474,0.1952118288997031,0.1144858320887694,-1.3722999111845156,-72.96088372870797,0.2673361143375431,1.7297646835583391,1.0145804952309907,,Chuvoso,,Campanha 11,,400,2022-03-24,13:21:21,,,-18.28354,-45.37003,0.484,140,29.587,8.06,116.3,67.3,7.31,0.47,,-0.14,,3.29,10.26,3.73,-94,40,574.4,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1327,63.699
1808,-18.2844092222222,-45.3701036666667,696.169,89.9,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0431.TIF,0.0565252621235843,0.0969379644627171,0.0958369436693504,0.0111982159934514,0.0190426651010436,0000SET_000_DJI_0431.T,2.842488875940241e+19,27460907300716.76,57130.3687027775,89218.21777589852,-0.405534423624973,4.168560740185528,-0.5004083406595186,-0.7907563079509631,-0.6684761498604416,0.1986985850335879,0.1168465475285466,-1.3636211311269402,-71.60873354077992,0.2633380206977882,1.7149494017520217,1.0114884798201136,,Chuvoso,,Campanha 11,,400,2022-03-24,13:21:21,,,-18.28354,-45.37003,0.484,140,29.587,8.06,116.3,67.3,7.31,0.47,,-0.14,,3.29,10.26,3.73,-94,40,574.4,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1327,96.966
1931,-18.2852839166667,-45.3702183888889,696.095,89.9,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0451.TIF,0.0551908906792452,0.0985688138658323,0.0917273371949638,0.0111053189696685,0.0183310858235153,0000SET_000_DJI_0451.T,9.335722291809388e+17,6148580120789.286,29040.892311674244,46178.6634468023,-0.3706694347103584,4.325750662488593,-0.4773438631961668,-0.7840118230168209,-0.6668844542604893,0.1998432134201509,0.1210688035788552,-1.3185185011310765,-71.92800872928474,0.2821150269176672,1.7859616442627837,1.0745849261526816,,Chuvoso,,Campanha 11,,470,2022-03-24,13:19:01,,,-18.28584,-45.37033,0.49,150,29.802,8.07,116,67.9,7.3,0.47,,-0.14,,3.15,9.85,3.41,-102,40,572.0,,,,,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1326,62.946
1993,-18.2856711111111,-45.3703573055556,696.206,90.0,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0461.TIF,0.0547700309891943,0.0975470386191102,0.0900265350370115,0.0109296303339283,0.0179799364136198,0000SET_000_DJI_0461.T,3.8741139089327296e+17,3626633750502.907,21481.91697879527,36594.39545947186,-0.3614307983811021,4.316521976274691,-0.473004101304373,-0.7834777045310719,-0.667058164716764,0.1997181876013325,0.1214045428876601,-1.316782984732887,-73.2362425784456,0.2808418500954646,1.7810294582151225,1.0835365215267576,,Chuvoso,,Campanha 11,,470,2022-03-24,13:19:01,,,-18.28584,-45.37033,0.49,150,29.802,8.07,116,67.9,7.3,0.47,,-0.14,,3.15,9.85,3.41,-102,40,572.0,,,,,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1326,19.0
2055,-18.2858961111111,-45.3704516388889,696.108,45.7,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0491.TIF,0.0756659626449816,0.1924606620609112,0.0938821529900306,0.0148286893548399,0.0235089820036794,0000SET_000_DJI_0491.T,125229137330763.08,27928215545.36787,2570.806003864844,37719.95220396379,-0.0946489020145,5.611897780110804,-0.2624624505811136,-0.7271902409182355,-0.5994760250858968,0.2504094895030351,0.157950035044622,-1.2746772520464558,-54.22086127961455,0.4355953070458457,2.543556644668893,2.050023949507727,,Chuvoso,,Campanha 11,,470,2022-03-24,13:19:01,,,-18.28584,-45.37033,0.49,150,29.802,8.07,116,67.9,7.3,0.47,,-0.14,,3.15,9.85,3.41,-102,40,572.0,,,,,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1326,14.278
2117,-18.2858964166667,-45.3704521111111,695.978,89.9,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0501.TIF,0.0559877003662311,0.0993904499689434,0.0929351147701728,0.0114221880552193,0.0187954233971996,0000SET_000_DJI_0501.T,8.60511546883583e+17,6359945560389.139,32818.01639379684,53135.82155402631,-0.3717400858481542,4.300652447279781,-0.477156480580072,-0.7810946096540918,-0.6635579904028737,0.2022424295023513,0.1229049760520144,-1.3098123497844152,-69.68783421923706,0.2793362484305928,1.7752193663751656,1.0694606684968817,,Chuvoso,,Campanha 11,,470,2022-03-24,13:19:01,,,-18.28584,-45.37033,0.49,150,29.802,8.07,116,67.9,7.3,0.47,,-0.14,,3.15,9.85,3.41,-102,40,572.0,,,,,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1326,14.338
