,lat_d,long_d,Altitude,DateTime,Image Index,Degree,Image Index.1,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
11,-18.2802163333333,-45.3723911666667,696.846,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0101.TIF,89.9, _Campo2022-03-TM_0000SET_000_DJI_0101.TIF,0.0621087679521885,0.1097099559904257,0.1071130372594366,0.0136390303839889,0.0236737156353572,0000SET_000_DJI_0101.T,-0.4102113513852434,4.265261047917379,-0.4856241491581985,-0.774098603027416,-0.6379799159873543,0.2210161922494785,0.1273330561148597,-1.3545676010698144,-57.218208663735865,0.2770430774130038,1.7664165561113807,1.024244655902149,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,13.879
73,-18.2797463055556,-45.3726481944444,696.566,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0111.TIF,89.7, _Campo2022-03-TM_0000SET_000_DJI_0111.TIF,0.0622211161541868,0.1101532281311304,0.1099739846652011,0.0135792779556829,0.0232135986072819,0000SET_000_DJI_0111.T,-0.4335131100667113,4.273382384396612,-0.5033254015708498,-0.780187464618395,-0.651414973724838,0.2110826362975947,0.1234771841451678,-1.3364046373165015,-57.569903741563074,0.2780698727277273,1.770351207750205,1.0016298715234788,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,45.059
135,-18.2797411944444,-45.3726581111111,696.156,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0121.TIF,89.7, _Campo2022-03-TM_0000SET_000_DJI_0121.TIF,0.0623378561638488,0.1104993985559905,0.1055825588855763,0.0135228579448241,0.0232700089857448,0000SET_000_DJI_0121.T,-0.3913569058913495,4.277857535247696,-0.4762430995172661,-0.7729262311540387,-0.6388118704939828,0.2203963346916356,0.1280785206151266,-1.3475021921123065,-57.907248464656185,0.278652553641917,1.7725890070000792,1.0465686731057804,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,46.036
197,-18.2796795555556,-45.37283025,695.869,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0131.TIF,90.0, _Campo2022-03-TM_0000SET_000_DJI_0131.TIF,0.0631184337566629,0.1084540711665835,0.107956649233559,0.01379977301357,0.0238689645846996,0000SET_000_DJI_0131.T,-0.4134304502781219,4.158205380242082,-0.490099999918264,-0.7733216407170606,-0.6378706096129915,0.2210976790606037,0.1278269852903164,-1.3515020173525931,-56.621727874150366,0.2642360291364963,1.718263028906906,1.004607608114516,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,61.799
259,-18.2796683611111,-45.3728345,695.915,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0141.TIF,89.9, _Campo2022-03-TM_0000SET_000_DJI_0141.TIF,0.063506216018579,0.1095382990977526,0.1089655896815608,0.0139434360205063,0.0240476913899132,0000SET_000_DJI_0141.T,-0.4150089424194325,4.171674618322385,-0.4907286326559402,-0.773109648524831,-0.638416687473617,0.2206906919899187,0.1279618277775063,-1.3459936265178505,-55.971843812101945,0.2660129565402745,1.7248437391657334,1.0052558740595583,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,63.048
880,-18.2786781111111,-45.3750527777778,695.378,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0261.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0261.TIF,0.0658765064439976,0.111259338168942,0.1085131554777755,0.0158010685225523,0.0270686382105228,0000SET_000_DJI_0261.T,-0.3832186109990712,4.086225633982959,-0.4597856376568927,-0.7457882450762733,-0.6007039370971381,0.2494502909932124,0.145614312411996,-1.3021893748270723,-48.1069407592456,0.2562035471934584,1.6889076876522722,1.0253073710655198,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,90.258
942,-18.2786723611111,-45.3751026666667,695.279,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0271.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0271.TIF,0.0661827521509821,0.1118387117525862,0.1095345802551739,0.0159669524412174,0.027090325628332,0000SET_000_DJI_0271.T,-0.3876281068052388,4.087584819878083,-0.4631141257859827,-0.7455496821725027,-0.6034350332664714,0.2473221293697556,0.1457708826200865,-1.287323668205845,-47.51968233484494,0.2564632297728732,1.6898467972055555,1.0210356536907754,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,84.952
1004,-18.2784811944444,-45.3757551944444,695.311,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0281.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0281.TIF,0.0673664778488377,0.1099268632121883,0.1063964025570031,0.0157773692627538,0.0273107654953711,0000SET_000_DJI_0281.T,-0.3550535653221286,3.952561265851831,-0.4460722359245854,-0.7417224822029694,-0.5914838988337072,0.2566888056270421,0.1482885594209907,-1.3256029601760608,-48.537744590159406,0.2400563106806189,1.6317739433973526,1.0331821431020067,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,18.201
1066,-18.2784714722222,-45.3757888333333,695.388,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0291.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0291.TIF,0.0671113369058525,0.1097417902689638,0.1064718083881132,0.0156196299533396,0.0270296380692965,0000SET_000_DJI_0291.T,-0.3586643828735886,3.9611424103747135,-0.449198561472365,-0.7441322640551384,-0.595065989372338,0.2538666195164781,0.1467020255390291,-1.3277334243690204,-49.12139115459408,0.2410500399066838,1.6352198500070958,1.030712185040859,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,16.056
1128,-18.2785198055556,-45.3763378333333,695.082,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0301.TIF,87.6, _Campo2022-03-TM_0000SET_000_DJI_0301.TIF,0.0677371563273251,0.1102160812316014,0.1087431243456042,0.0160632748810294,0.0277676340401965,0000SET_000_DJI_0301.T,-0.3720506804457294,3.940873303566205,-0.45503802805832,-0.7425889220333902,-0.5931802830994342,0.2553507102844151,0.1477176141268258,-1.3187088161339655,-47.49085983433084,0.2387083566839296,1.627114086381278,1.0135452875283948,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,46.564
