Latitude,Longitude,Altitude,Gimbal Degree,DateTime,Image Index
-18.2899596666667,-45.3742350833333,696.364,89.9,2022:03:24 07:13:58, _Campo2022-03-TM_0000SET_000_DJI_0641.TIF
-18.2899992222222,-45.3744417222222,696.133,90.0,2022:03:24 07:14:01, _Campo2022-03-TM_0000SET_000_DJI_0651.TIF
-18.2900472222222,-45.3747079444444,696.299,90.0,2022:03:24 07:14:05, _Campo2022-03-TM_0000SET_000_DJI_0661.TIF
-18.2900846111111,-45.3750815277778,696.454,90.0,2022:03:24 07:14:10, _Campo2022-03-TM_0000SET_000_DJI_0671.TIF
-18.290106,-45.3753944722222,696.525,89.9,2022:03:24 07:14:13, _Campo2022-03-TM_0000SET_000_DJI_0681.TIF
-18.2901179166667,-45.3755683611111,696.53,89.9,2022:03:24 07:14:15, _Campo2022-03-TM_0000SET_000_DJI_0691.TIF
-18.2901346388889,-45.37581525,696.569,89.9,2022:03:24 07:14:18, _Campo2022-03-TM_0000SET_000_DJI_0701.TIF
-18.2901493333333,-45.3760385,696.693,90.0,2022:03:24 07:14:20, _Campo2022-03-TM_0000SET_000_DJI_0711.TIF
-18.2901729722222,-45.3764403333333,696.507,90.0,2022:03:24 07:14:29, _Campo2022-03-TM_0000SET_000_DJI_0721.TIF
-18.2901948333333,-45.3767736388889,696.457,89.9,2022:03:24 07:14:33, _Campo2022-03-TM_0000SET_000_DJI_0731.TIF
-18.2903650555556,-45.3775395555556,696.241,89.9,2022:03:24 07:14:59, _Campo2022-03-TM_0000SET_000_DJI_0751.TIF
-18.2904796666667,-45.3779740555556,696.812,89.9,2022:03:24 07:15:03, _Campo2022-03-TM_0000SET_000_DJI_0761.TIF
-18.2906124166667,-45.3784893333333,697.127,90.0,2022:03:24 07:15:08, _Campo2022-03-TM_0000SET_000_DJI_0771.TIF
-18.2907012222222,-45.3788805,697.3,89.9,2022:03:24 07:15:11, _Campo2022-03-TM_0000SET_000_DJI_0781.TIF
-18.2907764722222,-45.3792425555556,697.342,89.9,2022:03:24 07:15:15, _Campo2022-03-TM_0000SET_000_DJI_0791.TIF
-18.2914702777778,-45.3794907222222,697.129,89.9,2022:03:24 07:15:40, _Campo2022-03-TM_0000SET_000_DJI_0811.TIF
-18.2914753333333,-45.3793742222222,697.008,90.0,2022:03:24 07:15:47, _Campo2022-03-TM_0000SET_000_DJI_0821.TIF
-18.2914775555556,-45.3788484722222,697.095,90.0,2022:03:24 07:15:52, _Campo2022-03-TM_0000SET_000_DJI_0831.TIF
-18.2914580833333,-45.3782100833333,697.294,89.9,2022:03:24 07:15:58, _Campo2022-03-TM_0000SET_000_DJI_0841.TIF
-18.2914340833333,-45.3775629722222,697.365,89.9,2022:03:24 07:16:04, _Campo2022-03-TM_0000SET_000_DJI_0851.TIF
-18.2914066388889,-45.3769985277778,697.41,90.0,2022:03:24 07:16:09, _Campo2022-03-TM_0000SET_000_DJI_0861.TIF
-18.2913860833333,-45.3767284722222,697.403,89.9,2022:03:24 07:16:11, _Campo2022-03-TM_0000SET_000_DJI_0871.TIF
-18.2913488888889,-45.3763115277778,697.444,89.9,2022:03:24 07:16:15, _Campo2022-03-TM_0000SET_000_DJI_0881.TIF
-18.29128175,-45.3755965833333,697.548,89.9,2022:03:24 07:16:21, _Campo2022-03-TM_0000SET_000_DJI_0891.TIF
-18.29156675,-45.3750839166667,696.695,90.0,2022:03:24 07:16:37, _Campo2022-03-TM_0000SET_000_DJI_0901.TIF
-18.2917861388889,-45.3750309444444,696.857,89.9,2022:03:24 07:16:40, _Campo2022-03-TM_0000SET_000_DJI_0911.TIF
-18.292061,-45.3749784722222,697.003,90.0,2022:03:24 07:16:42, _Campo2022-03-TM_0000SET_000_DJI_0921.TIF
-18.2924058333333,-45.3749091388889,697.058,89.9,2022:03:24 07:16:46, _Campo2022-03-TM_0000SET_000_DJI_0931.TIF
-18.2927624722222,-45.3748301944444,697.125,89.9,2022:03:24 07:16:49, _Campo2022-03-TM_0000SET_000_DJI_0941.TIF
-18.2930429722222,-45.3747455833333,697.262,90.0,2022:03:24 07:16:52, _Campo2022-03-TM_0000SET_000_DJI_0951.TIF
-18.2927324722222,-45.3743353611111,696.904,89.9,2022:03:24 07:17:10, _Campo2022-03-TM_0000SET_000_DJI_0971.TIF
-18.2924106666667,-45.3740413611111,697.21,90.0,2022:03:24 07:17:14, _Campo2022-03-TM_0000SET_000_DJI_0981.TIF
-18.2921753333333,-45.3738207222222,696.857,90.0,2022:03:24 07:17:27, _Campo2022-03-TM_0000SET_000_DJI_0991.TIF
-18.2916139166667,-45.3733120555556,697.153,90.0,2022:03:24 07:17:38, _Campo2022-03-TM_0000SET_000_DJI_1001.TIF
-18.2911644722222,-45.3729721111111,697.405,89.9,2022:03:24 07:17:43, _Campo2022-03-TM_0000SET_000_DJI_1011.TIF
-18.2907110833333,-45.3726128888889,697.187,90.0,2022:03:24 07:17:49, _Campo2022-03-TM_0000SET_000_DJI_1021.TIF
-18.2903353055556,-45.3721941111111,696.725,89.9,2022:03:24 07:17:54, _Campo2022-03-TM_0000SET_000_DJI_1031.TIF
-18.2900911666667,-45.3717914444444,696.667,90.0,2022:03:24 07:17:58, _Campo2022-03-TM_0000SET_000_DJI_1041.TIF
-18.2898853611111,-45.3714043888889,696.716,90.0,2022:03:24 07:18:02, _Campo2022-03-TM_0000SET_000_DJI_1051.TIF
-18.2896213055556,-45.3708907777778,696.83,90.0,2022:03:24 07:18:07, _Campo2022-03-TM_0000SET_000_DJI_1061.TIF
-18.2895762222222,-45.3708297777778,695.876,89.9,2022:03:24 07:18:18, _Campo2022-03-TM_0000SET_000_DJI_1071.TIF
-18.2893777222222,-45.3706539444444,695.471,90.0,2022:03:24 07:18:22, _Campo2022-03-TM_0000SET_000_DJI_1081.TIF
-18.2886525555556,-45.3708083333333,695.555,89.9,2022:03:24 07:18:40, _Campo2022-03-TM_0000SET_000_DJI_1091.TIF
-18.2886539166667,-45.3708076666667,695.564,89.9,2022:03:24 07:18:45, _Campo2022-03-TM_0000SET_000_DJI_1101.TIF
-18.2882415833333,-45.3707243333333,695.355,90.0,2022:03:24 07:18:53, _Campo2022-03-TM_0000SET_000_DJI_1111.TIF
-18.2879468888889,-45.3705998055556,695.686,90.0,2022:03:24 07:18:56, _Campo2022-03-TM_0000SET_000_DJI_1121.TIF
-18.2870628055556,-45.3703024722222,696.509,89.9,2022:03:24 07:19:05, _Campo2022-03-TM_0000SET_000_DJI_1131.TIF
-18.2861601388889,-45.3704235833333,696.661,90.0,2022:03:24 07:19:14, _Campo2022-03-TM_0000SET_000_DJI_1141.TIF
-18.2856805277778,-45.3704853888889,696.685,89.9,2022:03:24 07:19:18, _Campo2022-03-TM_0000SET_000_DJI_1151.TIF
-18.2852524722222,-45.3704868611111,696.683,89.9,2022:03:24 07:19:22, _Campo2022-03-TM_0000SET_000_DJI_1161.TIF
-18.2786650277778,-45.3744648055556,695.336,21.0,2022:03:24 07:08:52, _Campo2022-03-TM_0000SET_not90_DJI_0241.TIF
-18.2786646666667,-45.3744648333333,695.414,19.0,2022:03:24 07:08:57, _Campo2022-03-TM_0000SET_not90_DJI_0251.TIF
-18.2785622777778,-45.3763273611111,695.527,22.9,2022:03:24 07:10:09, _Campo2022-03-TM_0000SET_not90_DJI_0321.TIF
-18.2805954444444,-45.3737336111111,695.549,22.9,2022:03:24 07:10:50, _Campo2022-03-TM_0000SET_not90_DJI_0331.TIF
-18.2858956111111,-45.3704491111111,696.46,4.5,2022:03:24 07:12:05, _Campo2022-03-TM_0000SET_not90_DJI_0471.TIF
-18.2858958611111,-45.37045025,696.068,14.0,2022:03:24 07:12:11, _Campo2022-03-TM_0000SET_not90_DJI_0481.TIF
-18.2899013888889,-45.3739378055556,696.169,7.1,2022:03:24 07:13:46, _Campo2022-03-TM_0000SET_not90_DJI_0621.TIF
-18.2899015277778,-45.3739365,696.383,18.1,2022:03:24 07:13:49, _Campo2022-03-TM_0000SET_not90_DJI_0631.TIF
-18.29020675,-45.3769316388889,696.708,13.9,2022:03:24 07:14:48, _Campo2022-03-TM_0000SET_not90_DJI_0741.TIF
-18.2908043611111,-45.3794330555556,697.182,17.6,2022:03:24 07:15:24, _Campo2022-03-TM_0000SET_not90_DJI_0801.TIF
-18.2931043611111,-45.3747233055556,697.212,30.9,2022:03:24 07:16:58, _Campo2022-03-TM_0000SET_not90_DJI_0961.TIF
-18.2847331944444,-45.3705611388889,696.606,56.5,2022:03:24 07:19:30, _Campo2022-03-TM_0000SET_not90_DJI_1171.TIF
-18.2845759166667,-45.3705940277778,695.7,71.7,2022:03:24 07:19:37, _Campo2022-03-TM_0000SET_not90_DJI_1181.TIF
-18.2845756111111,-45.3705943888889,695.8,59.0,2022:03:24 07:19:41, _Campo2022-03-TM_0000SET_not90_DJI_1191.TIF
-18.2845754444444,-45.3705946666667,695.848,59.0,2022:03:24 07:19:43, _Campo2022-03-TM_0000SET_not90_DJI_1201.TIF
-18.2825615277778,-45.3715376944444,569.736,89.9,2022:03:24 07:22:07, _Campo2022-03-TM_0001SET_000_DJI_1261.TIF
-18.2822176388889,-45.3710489444444,698.44,89.9,2022:03:24 07:28:20, _Campo2022-03-TM_0001SET_000_DJI_1271.TIF
-18.2815803888889,-45.3702898611111,698.122,90.0,2022:03:24 07:28:33, _Campo2022-03-TM_0001SET_000_DJI_1281.TIF
-18.2812113888889,-45.3698993333333,698.409,90.0,2022:03:24 07:28:37, _Campo2022-03-TM_0001SET_000_DJI_1291.TIF
-18.280714,-45.3693903888889,698.277,89.9,2022:03:24 07:28:44, _Campo2022-03-TM_0001SET_000_DJI_1301.TIF
-18.280545,-45.3692202222222,698.219,89.9,2022:03:24 07:28:48, _Campo2022-03-TM_0001SET_000_DJI_1311.TIF
-18.2805169444444,-45.3691985,697.522,90.0,2022:03:24 07:29:02, _Campo2022-03-TM_0001SET_000_DJI_1321.TIF
-18.2800115555556,-45.3687369444444,697.619,89.9,2022:03:24 07:29:09, _Campo2022-03-TM_0001SET_000_DJI_1331.TIF
