,lat_d,long_d,Altitude,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,Distance
62097,-18.4589329,-45.3398438,727.045,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0180,0.011929559589184,0.0146713672359998,0.0048626245534,0.0048881878114807,0.0014328861627557,0003SET_000_IMG_0180,0.4816821037949033,3.160598362927182,-0.1289330410622112,0.002621654188811,-0.5447911289933663,0.2946734108340341,1.0052570906513492,-0.1730201440918628,-120.7493997702607,0.1030718841051831,1.2298330987257633,3.017170475508216,,Chuvoso,,Campanha 8,,,2021-10-29,10:00:09,464164.0,7959043.0,-18.45859,-45.339401,0.169,320,27.611,8.2,125.5,79.5,7.89,0.03,12.33,3.08,2.92,2.13,4.03,1.17,,45.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.059
62102,-18.4589329,-45.3398438,727.045,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0180,0.011929559589184,0.0146713672359998,0.0048626245534,0.0048881878114807,0.0014328861627557,0003SET_000_IMG_0180,0.4816821037949033,3.160598362927182,-0.1289330410622112,0.002621654188811,-0.5447911289933663,0.2946734108340341,1.0052570906513492,-0.1730201440918628,-120.7493997702607,0.1030718841051831,1.2298330987257633,3.017170475508216,,Chuvoso,,Campanha 8,,,2021-10-29,10:13:07,464111.0,7958895.0,-18.459927,-45.339905,0.074,310,27.719,8.14,139.5,79.8,7.86,0.05,12.41,3.11,2.94,2.06,4.34,1.13,,45.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.995
62117,-18.458915,-45.3397008,727.273,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0181,0.0119992727622825,0.0146801285383585,0.0048559569700838,0.0048655999536404,0.0014160774570471,0003SET_000_IMG_0181,0.4865976325434442,3.1398976933432152,-0.1289339095084586,0.0009919176148696,-0.548447167023962,0.2916165579248661,1.0019858049846833,-0.1730250052489988,-122.1861165771272,0.1004841055414384,1.2234181878507484,3.0231175088244577,,Chuvoso,,Campanha 8,,,2021-10-29,10:00:09,464164.0,7959043.0,-18.45859,-45.339401,0.169,320,27.611,8.2,125.5,79.5,7.89,0.03,12.33,3.08,2.92,2.13,4.03,1.17,,45.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.911
62122,-18.458915,-45.3397008,727.273,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0181,0.0119992727622825,0.0146801285383585,0.0048559569700838,0.0048655999536404,0.0014160774570471,0003SET_000_IMG_0181,0.4865976325434442,3.1398976933432152,-0.1289339095084586,0.0009919176148696,-0.548447167023962,0.2916165579248661,1.0019858049846833,-0.1730250052489988,-122.1861165771272,0.1004841055414384,1.2234181878507484,3.0231175088244577,,Chuvoso,,Campanha 8,,,2021-10-29,10:13:07,464111.0,7958895.0,-18.459927,-45.339905,0.074,310,27.719,8.14,139.5,79.8,7.86,0.05,12.41,3.11,2.94,2.06,4.34,1.13,,45.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.291
62137,-18.4589008,-45.3395777,727.418,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0182,0.0121245586998938,0.0146873644380003,0.0049452706916897,0.0050159618178539,0.0014653960000384,0003SET_000_IMG_0182,0.4888070993614949,3.100835650719654,-0.1297883286385036,0.0070966244484779,-0.5428257089300089,0.2963227073698777,1.0142946929645311,-0.171284761028695,-116.88633040093372,0.0955845548611322,1.211373114811094,2.9699818986009685,,Chuvoso,,Campanha 8,,,2021-10-29,10:00:09,464164.0,7959043.0,-18.45859,-45.339401,0.169,320,27.611,8.2,125.5,79.5,7.89,0.03,12.33,3.08,2.92,2.13,4.03,1.17,,45.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.243
62142,-18.4589008,-45.3395777,727.418,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0182,0.0121245586998938,0.0146873644380003,0.0049452706916897,0.0050159618178539,0.0014653960000384,0003SET_000_IMG_0182,0.4888070993614949,3.100835650719654,-0.1297883286385036,0.0070966244484779,-0.5428257089300089,0.2963227073698777,1.0142946929645311,-0.171284761028695,-116.88633040093372,0.0955845548611322,1.211373114811094,2.9699818986009685,,Chuvoso,,Campanha 8,,,2021-10-29,10:13:07,464111.0,7958895.0,-18.459927,-45.339905,0.074,310,27.719,8.14,139.5,79.8,7.86,0.05,12.41,3.11,2.94,2.06,4.34,1.13,,45.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.078
62157,-18.4588892,-45.3394759,727.372,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0183,0.0116365574391816,0.0145122562736274,0.0047329441274107,0.0046871168791821,0.0013221507353802,0003SET_000_IMG_0183,0.4757091648330788,3.2173589887426868,-0.1304377869486187,-0.0048648568407919,-0.5632931389713035,0.2793505902009289,0.9903173908258937,-0.1684614423069766,-127.41470227185071,0.109974351648585,1.2471262527148277,3.0662217602739306,,Chuvoso,,Campanha 8,,,2021-10-29,10:00:09,464164.0,7959043.0,-18.45859,-45.339401,0.169,320,27.611,8.2,125.5,79.5,7.89,0.03,12.33,3.08,2.92,2.13,4.03,1.17,,45.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.824
62162,-18.4588892,-45.3394759,727.372,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0183,0.0116365574391816,0.0145122562736274,0.0047329441274107,0.0046871168791821,0.0013221507353802,0003SET_000_IMG_0183,0.4757091648330788,3.2173589887426868,-0.1304377869486187,-0.0048648568407919,-0.5632931389713035,0.2793505902009289,0.9903173908258937,-0.1684614423069766,-127.41470227185071,0.109974351648585,1.2471262527148277,3.0662217602739306,,Chuvoso,,Campanha 8,,,2021-10-29,10:13:07,464111.0,7958895.0,-18.459927,-45.339905,0.074,310,27.719,8.14,139.5,79.8,7.86,0.05,12.41,3.11,2.94,2.06,4.34,1.13,,45.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.106
62177,-18.4588751,-45.3393532,727.275,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0184,0.0119232736661392,0.0146270998195311,0.0048436282876455,0.0048162606583206,0.0013971730914205,0003SET_000_IMG_0184,0.4840088237478542,3.151252468462518,-0.1298081625136125,-0.0028331204921697,-0.5522456150881055,0.2884558864651583,0.9943497668071049,-0.1729146651270943,-123.76037456553986,0.1018375939175094,1.2267687741723543,3.0198642321170706,,Chuvoso,,Campanha 8,,,2021-10-29,10:00:09,464164.0,7959043.0,-18.45859,-45.339401,0.169,320,27.611,8.2,125.5,79.5,7.89,0.03,12.33,3.08,2.92,2.13,4.03,1.17,,45.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.908
62197,-18.4588583,-45.3392091,727.047,2021-10-29, _Campo2021-10-TM_0003SET_000_IMG_0185,0.0121270355194577,0.0147315368675442,0.0050781666934356,0.0053913959138482,0.0015108221428087,0003SET_000_IMG_0185,0.4784883538900699,3.111382200421822,-0.1328195891883405,0.0299180808369857,-0.5414100159046974,0.2975133023422993,1.061681555435646,-0.1556454066478845,-103.02033723078176,0.0969709525345784,1.2147681800640897,2.900955749756548,,Chuvoso,,Campanha 8,,,2021-10-29,10:00:09,464164.0,7959043.0,-18.45859,-45.339401,0.169,320,27.611,8.2,125.5,79.5,7.89,0.03,12.33,3.08,2.92,2.13,4.03,1.17,,45.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.918
