Latitude,Longitude,Altitude,DateTime,Image Index
-18.4745458,-45.3919622,675.095,2021:10:28 11:43:47, _Campo2021-10-TM_0000SET_000_IMG_0059
-18.4745528,-45.3921306,675.225,2021:10:28 11:43:49, _Campo2021-10-TM_0000SET_000_IMG_0060
-18.4745595,-45.3923068,674.869,2021:10:28 11:43:51, _Campo2021-10-TM_0000SET_000_IMG_0061
-18.4745699,-45.3925274,674.593,2021:10:28 11:43:53, _Campo2021-10-TM_0000SET_000_IMG_0062
-18.4745806,-45.392752,674.579,2021:10:28 11:43:55, _Campo2021-10-TM_0000SET_000_IMG_0063
-18.4745895,-45.3929794,674.416,2021:10:28 11:43:57, _Campo2021-10-TM_0000SET_000_IMG_0064
-18.4745987,-45.3932103,674.216,2021:10:28 11:43:59, _Campo2021-10-TM_0000SET_000_IMG_0065
-18.4746099,-45.3934632,674.046,2021:10:28 11:44:02, _Campo2021-10-TM_0000SET_000_IMG_0066
-18.4746182,-45.3936523,674.267,2021:10:28 11:44:04, _Campo2021-10-TM_0000SET_000_IMG_0067
-18.4746308,-45.393904,674.451,2021:10:28 11:44:06, _Campo2021-10-TM_0000SET_000_IMG_0068
-18.4746373,-45.3940921,674.631,2021:10:28 11:44:08, _Campo2021-10-TM_0000SET_000_IMG_0069
-18.4746422,-45.3943206,674.839,2021:10:28 11:44:10, _Campo2021-10-TM_0000SET_000_IMG_0070
-18.4746452,-45.3945284,674.994,2021:10:28 11:44:12, _Campo2021-10-TM_0000SET_000_IMG_0071
-18.4746497,-45.3947376,674.846,2021:10:28 11:44:14, _Campo2021-10-TM_0000SET_000_IMG_0072
-18.4746551,-45.3949676,674.963,2021:10:28 11:44:16, _Campo2021-10-TM_0000SET_000_IMG_0073
-18.474658,-45.3951992,675.087,2021:10:28 11:44:19, _Campo2021-10-TM_0000SET_000_IMG_0074
-18.4746606,-45.3954093,674.851,2021:10:28 11:44:21, _Campo2021-10-TM_0000SET_000_IMG_0075
-18.4746616,-45.3956601,674.575,2021:10:28 11:44:23, _Campo2021-10-TM_0000SET_000_IMG_0076
-18.4746641,-45.3958891,674.492,2021:10:28 11:44:25, _Campo2021-10-TM_0000SET_000_IMG_0077
-18.4746658,-45.3960972,674.548,2021:10:28 11:44:27, _Campo2021-10-TM_0000SET_000_IMG_0078
-18.4746679,-45.3963264,674.355,2021:10:28 11:44:29, _Campo2021-10-TM_0000SET_000_IMG_0079
-18.4746696,-45.3965562,674.257,2021:10:28 11:44:31, _Campo2021-10-TM_0000SET_000_IMG_0080
-18.4746718,-45.3967448,674.061,2021:10:28 11:44:33, _Campo2021-10-TM_0000SET_000_IMG_0081
-18.4746738,-45.3969947,674.068,2021:10:28 11:44:36, _Campo2021-10-TM_0000SET_000_IMG_0082
-18.4746744,-45.3972224,674.149,2021:10:28 11:44:38, _Campo2021-10-TM_0000SET_000_IMG_0083
-18.4746753,-45.3974296,674.248,2021:10:28 11:44:40, _Campo2021-10-TM_0000SET_000_IMG_0084
-18.4746766,-45.3976175,674.145,2021:10:28 11:44:42, _Campo2021-10-TM_0000SET_000_IMG_0085
-18.4746793,-45.3978484,674.098,2021:10:28 11:44:44, _Campo2021-10-TM_0000SET_000_IMG_0086
-18.4746812,-45.3981014,674.02,2021:10:28 11:44:46, _Campo2021-10-TM_0000SET_000_IMG_0087
-18.474681,-45.3983298,674.104,2021:10:28 11:44:48, _Campo2021-10-TM_0000SET_000_IMG_0088
-18.474681,-45.3985361,674.262,2021:10:28 11:44:50, _Campo2021-10-TM_0000SET_000_IMG_0089
-18.474681,-45.3987632,674.64,2021:10:28 11:44:53, _Campo2021-10-TM_0000SET_000_IMG_0090
-18.4746812,-45.3989898,674.78,2021:10:28 11:44:55, _Campo2021-10-TM_0000SET_000_IMG_0091
-18.4746816,-45.3991961,674.73,2021:10:28 11:44:57, _Campo2021-10-TM_0000SET_000_IMG_0092
-18.4746811,-45.3994015,674.848,2021:10:28 11:44:59, _Campo2021-10-TM_0000SET_000_IMG_0093
-18.4746668,-45.3996529,674.221,2021:10:28 11:45:01, _Campo2021-10-TM_0000SET_000_IMG_0094
-18.4747632,-45.3996849,674.927,2021:10:28 11:45:08, _Campo2021-10-TM_0000SET_000_IMG_0095
-18.4748983,-45.3996514,673.914,2021:10:28 11:45:10, _Campo2021-10-TM_0000SET_000_IMG_0096
-18.4750813,-45.3996005,673.1,2021:10:28 11:45:12, _Campo2021-10-TM_0000SET_000_IMG_0097
-18.4752335,-45.3995372,672.814,2021:10:28 11:45:15, _Campo2021-10-TM_0000SET_000_IMG_0098
-18.4753282,-45.3994002,672.382,2021:10:28 11:45:18, _Campo2021-10-TM_0000SET_000_IMG_0099
-18.4753603,-45.3992288,671.92,2021:10:28 11:45:20, _Campo2021-10-TM_0000SET_000_IMG_0100
-18.4753613,-45.399056,671.368,2021:10:28 11:45:22, _Campo2021-10-TM_0000SET_000_IMG_0101
-18.475349,-45.3988406,670.975,2021:10:28 11:45:25, _Campo2021-10-TM_0000SET_000_IMG_0102
-18.475336,-45.3986672,670.768,2021:10:28 11:45:26, _Campo2021-10-TM_0000SET_000_IMG_0103
-18.4753202,-45.3984451,670.811,2021:10:28 11:45:29, _Campo2021-10-TM_0000SET_000_IMG_0104
-18.4753063,-45.3982167,670.818,2021:10:28 11:45:31, _Campo2021-10-TM_0000SET_000_IMG_0105
-18.4752974,-45.398006,670.428,2021:10:28 11:45:33, _Campo2021-10-TM_0000SET_000_IMG_0106
-18.4752878,-45.3977945,670.256,2021:10:28 11:45:35, _Campo2021-10-TM_0000SET_000_IMG_0107
-18.4752757,-45.3975656,670.405,2021:10:28 11:45:37, _Campo2021-10-TM_0000SET_000_IMG_0108
-18.475267,-45.3973574,670.55,2021:10:28 11:45:39, _Campo2021-10-TM_0000SET_000_IMG_0109
-18.4752581,-45.3971273,670.373,2021:10:28 11:45:41, _Campo2021-10-TM_0000SET_000_IMG_0110
-18.4752498,-45.3968968,670.016,2021:10:28 11:45:44, _Campo2021-10-TM_0000SET_000_IMG_0111
-18.4752392,-45.3966454,670.099,2021:10:28 11:45:46, _Campo2021-10-TM_0000SET_000_IMG_0112
-18.4752327,-45.3964376,670.175,2021:10:28 11:45:48, _Campo2021-10-TM_0000SET_000_IMG_0113
-18.4752256,-45.3962083,670.212,2021:10:28 11:45:50, _Campo2021-10-TM_0000SET_000_IMG_0114
-18.4752209,-45.3959994,670.223,2021:10:28 11:45:52, _Campo2021-10-TM_0000SET_000_IMG_0115
-18.475216,-45.3957719,670.324,2021:10:28 11:45:54, _Campo2021-10-TM_0000SET_000_IMG_0116
-18.4752116,-45.3955456,670.112,2021:10:28 11:45:56, _Campo2021-10-TM_0000SET_000_IMG_0117
-18.4752087,-45.3953374,669.731,2021:10:28 11:45:59, _Campo2021-10-TM_0000SET_000_IMG_0118
-18.4752066,-45.3951082,669.73,2021:10:28 11:46:01, _Campo2021-10-TM_0000SET_000_IMG_0119
-18.4752025,-45.3948795,669.801,2021:10:28 11:46:03, _Campo2021-10-TM_0000SET_000_IMG_0120
-18.4751988,-45.3946719,669.978,2021:10:28 11:46:05, _Campo2021-10-TM_0000SET_000_IMG_0121
-18.4751952,-45.3944437,670.248,2021:10:28 11:46:07, _Campo2021-10-TM_0000SET_000_IMG_0122
-18.4751938,-45.3941949,669.967,2021:10:28 11:46:09, _Campo2021-10-TM_0000SET_000_IMG_0123
-18.4751934,-45.394008,669.84,2021:10:28 11:46:11, _Campo2021-10-TM_0000SET_000_IMG_0124
-18.4751932,-45.3937583,669.454,2021:10:28 11:46:14, _Campo2021-10-TM_0000SET_000_IMG_0125
-18.4751912,-45.393529,669.327,2021:10:28 11:46:16, _Campo2021-10-TM_0000SET_000_IMG_0126
-18.4751904,-45.3934458,669.25,2021:10:28 11:46:17, _Campo2021-10-TM_0000SET_000_IMG_0127
-18.4751894,-45.3933014,669.003,2021:10:28 11:46:18, _Campo2021-10-TM_0000SET_000_IMG_0128
-18.4751878,-45.3930959,669.025,2021:10:28 11:46:20, _Campo2021-10-TM_0000SET_000_IMG_0129
-18.4751868,-45.3930138,668.985,2021:10:28 11:46:21, _Campo2021-10-TM_0000SET_000_IMG_0130
-18.4751851,-45.3929114,669.033,2021:10:28 11:46:22, _Campo2021-10-TM_0000SET_000_IMG_0131
-18.4751835,-45.3928089,669.094,2021:10:28 11:46:23, _Campo2021-10-TM_0000SET_000_IMG_0132
-18.4751825,-45.3927068,669.178,2021:10:28 11:46:24, _Campo2021-10-TM_0000SET_000_IMG_0133
-18.4751811,-45.3925849,669.321,2021:10:28 11:46:25, _Campo2021-10-TM_0000SET_000_IMG_0134
-18.4751798,-45.3924632,669.522,2021:10:28 11:46:26, _Campo2021-10-TM_0000SET_000_IMG_0135
-18.475179,-45.3923409,669.655,2021:10:28 11:46:27, _Campo2021-10-TM_0000SET_000_IMG_0136
-18.4751791,-45.3921983,669.878,2021:10:28 11:46:29, _Campo2021-10-TM_0000SET_000_IMG_0137
-18.4751799,-45.3919335,670.248,2021:10:28 11:46:31, _Campo2021-10-TM_0000SET_000_IMG_0138
-18.4751795,-45.3917314,670.478,2021:10:28 11:46:33, _Campo2021-10-TM_0000SET_000_IMG_0139
-18.4751804,-45.3915694,670.531,2021:10:28 11:46:35, _Campo2021-10-TM_0000SET_000_IMG_0140
-18.4751987,-45.3914298,670.642,2021:10:28 11:46:37, _Campo2021-10-TM_0000SET_000_IMG_0141
-18.4752618,-45.3913356,671.181,2021:10:28 11:46:38, _Campo2021-10-TM_0000SET_000_IMG_0142
-18.4752963,-45.3913103,671.456,2021:10:28 11:46:39, _Campo2021-10-TM_0000SET_000_IMG_0143
-18.4753774,-45.3912685,671.994,2021:10:28 11:46:40, _Campo2021-10-TM_0000SET_000_IMG_0144
-18.4755025,-45.3912232,672.473,2021:10:28 11:46:41, _Campo2021-10-TM_0000SET_000_IMG_0145
-18.4756029,-45.3911937,672.672,2021:10:28 11:46:43, _Campo2021-10-TM_0000SET_000_IMG_0146
-18.4757406,-45.3911566,672.968,2021:10:28 11:46:45, _Campo2021-10-TM_0000SET_000_IMG_0147
-18.4757966,-45.3911412,673.25,2021:10:28 11:46:46, _Campo2021-10-TM_0000SET_000_IMG_0148
-18.4758368,-45.3911312,673.56,2021:10:28 11:46:47, _Campo2021-10-TM_0000SET_000_IMG_0149
-18.4758634,-45.3911327,673.91,2021:10:28 11:46:48, _Campo2021-10-TM_0000SET_000_IMG_0150
-18.4758699,-45.3911501,674.191,2021:10:28 11:46:49, _Campo2021-10-TM_0000SET_000_IMG_0151
-18.4758729,-45.3911887,674.613,2021:10:28 11:46:50, _Campo2021-10-TM_0000SET_000_IMG_0152
-18.4758764,-45.3912394,675.026,2021:10:28 11:46:51, _Campo2021-10-TM_0000SET_000_IMG_0153
-18.4758804,-45.3913304,675.561,2021:10:28 11:46:53, _Campo2021-10-TM_0000SET_000_IMG_0154
-18.4758828,-45.3914323,675.677,2021:10:28 11:46:54, _Campo2021-10-TM_0000SET_000_IMG_0155
-18.4758855,-45.3915969,675.614,2021:10:28 11:46:56, _Campo2021-10-TM_0000SET_000_IMG_0156
-18.4758887,-45.3917204,675.516,2021:10:28 11:46:58, _Campo2021-10-TM_0000SET_000_IMG_0157
-18.475894,-45.3919051,675.275,2021:10:28 11:47:00, _Campo2021-10-TM_0000SET_000_IMG_0158
-18.4758981,-45.3920389,675.05,2021:10:28 11:47:01, _Campo2021-10-TM_0000SET_000_IMG_0159
-18.4759016,-45.3921751,674.837,2021:10:28 11:47:02, _Campo2021-10-TM_0000SET_000_IMG_0160
-18.4759046,-45.3922932,674.631,2021:10:28 11:47:04, _Campo2021-10-TM_0000SET_000_IMG_0161
-18.4759083,-45.392433,674.39,2021:10:28 11:47:05, _Campo2021-10-TM_0000SET_000_IMG_0162
-18.4759126,-45.392576,674.047,2021:10:28 11:47:06, _Campo2021-10-TM_0000SET_000_IMG_0163
-18.4759154,-45.392659,673.837,2021:10:28 11:47:07, _Campo2021-10-TM_0000SET_000_IMG_0164
-18.4759204,-45.3928053,673.464,2021:10:28 11:47:09, _Campo2021-10-TM_0000SET_000_IMG_0165
-18.4759235,-45.3929099,673.308,2021:10:28 11:47:10, _Campo2021-10-TM_0000SET_000_IMG_0166
-18.4759267,-45.3930145,673.168,2021:10:28 11:47:11, _Campo2021-10-TM_0000SET_000_IMG_0167
-18.4759303,-45.3931196,672.984,2021:10:28 11:47:12, _Campo2021-10-TM_0000SET_000_IMG_0168
-18.4759331,-45.3932035,672.842,2021:10:28 11:47:12, _Campo2021-10-TM_0000SET_000_IMG_0169
-18.4759394,-45.3934128,672.911,2021:10:28 11:47:14, _Campo2021-10-TM_0000SET_000_IMG_0170
-18.4759488,-45.3936218,673.367,2021:10:28 11:47:16, _Campo2021-10-TM_0000SET_000_IMG_0171
-18.4759576,-45.3938326,673.627,2021:10:28 11:47:18, _Campo2021-10-TM_0000SET_000_IMG_0172
-18.4759598,-45.3938957,673.732,2021:10:28 11:47:19, _Campo2021-10-TM_0000SET_000_IMG_0173
-18.4759658,-45.3940844,673.827,2021:10:28 11:47:21, _Campo2021-10-TM_0000SET_000_IMG_0174
-18.4759694,-45.3941895,673.984,2021:10:28 11:47:22, _Campo2021-10-TM_0000SET_000_IMG_0175
-18.4759731,-45.3942942,674.089,2021:10:28 11:47:23, _Campo2021-10-TM_0000SET_000_IMG_0176
-18.4759766,-45.3943989,674.13,2021:10:28 11:47:24, _Campo2021-10-TM_0000SET_000_IMG_0177
-18.4759809,-45.3945456,674.089,2021:10:28 11:47:25, _Campo2021-10-TM_0000SET_000_IMG_0178
-18.475984,-45.3946501,673.97,2021:10:28 11:47:26, _Campo2021-10-TM_0000SET_000_IMG_0179
-18.4759879,-45.3947751,673.785,2021:10:28 11:47:27, _Campo2021-10-TM_0000SET_000_IMG_0180
-18.4759905,-45.3949002,673.557,2021:10:28 11:47:28, _Campo2021-10-TM_0000SET_000_IMG_0181
-18.4759924,-45.3950258,673.379,2021:10:28 11:47:30, _Campo2021-10-TM_0000SET_000_IMG_0182
-18.4759941,-45.3951306,673.246,2021:10:28 11:47:31, _Campo2021-10-TM_0000SET_000_IMG_0183
-18.4759971,-45.3952567,673.215,2021:10:28 11:47:32, _Campo2021-10-TM_0000SET_000_IMG_0184
-18.4760006,-45.3953621,673.357,2021:10:28 11:47:33, _Campo2021-10-TM_0000SET_000_IMG_0185
-18.4760065,-45.395572,673.809,2021:10:28 11:47:35, _Campo2021-10-TM_0000SET_000_IMG_0186
-18.4760087,-45.3956766,673.922,2021:10:28 11:47:36, _Campo2021-10-TM_0000SET_000_IMG_0187
-18.4760107,-45.3958231,673.997,2021:10:28 11:47:37, _Campo2021-10-TM_0000SET_000_IMG_0188
-18.4760121,-45.3959483,673.81,2021:10:28 11:47:38, _Campo2021-10-TM_0000SET_000_IMG_0189
-18.476013,-45.3960522,673.575,2021:10:28 11:47:40, _Campo2021-10-TM_0000SET_000_IMG_0190
-18.4760149,-45.3961975,673.192,2021:10:28 11:47:41, _Campo2021-10-TM_0000SET_000_IMG_0191
-18.4760168,-45.3963014,673.018,2021:10:28 11:47:42, _Campo2021-10-TM_0000SET_000_IMG_0192
-18.4760191,-45.3964887,673.262,2021:10:28 11:47:44, _Campo2021-10-TM_0000SET_000_IMG_0193
-18.4760192,-45.3966132,673.43,2021:10:28 11:47:45, _Campo2021-10-TM_0000SET_000_IMG_0194
-18.4760188,-45.3967386,673.498,2021:10:28 11:47:46, _Campo2021-10-TM_0000SET_000_IMG_0195
-18.476018,-45.3968634,673.437,2021:10:28 11:47:47, _Campo2021-10-TM_0000SET_000_IMG_0196
-18.4760164,-45.3969674,673.545,2021:10:28 11:47:48, _Campo2021-10-TM_0000SET_000_IMG_0197
-18.4760154,-45.3970718,673.71,2021:10:28 11:47:49, _Campo2021-10-TM_0000SET_000_IMG_0198
-18.4760141,-45.3971973,673.962,2021:10:28 11:47:51, _Campo2021-10-TM_0000SET_000_IMG_0199
-18.4760108,-45.3974271,674.285,2021:10:28 11:47:53, _Campo2021-10-TM_0000SET_001_IMG_0200
-18.4760102,-45.3975313,674.333,2021:10:28 11:47:54, _Campo2021-10-TM_0000SET_001_IMG_0201
-18.4760093,-45.3976569,674.585,2021:10:28 11:47:55, _Campo2021-10-TM_0000SET_001_IMG_0202
-18.4760082,-45.3977817,674.853,2021:10:28 11:47:56, _Campo2021-10-TM_0000SET_001_IMG_0203
-18.4760079,-45.3979062,675.0,2021:10:28 11:47:57, _Campo2021-10-TM_0000SET_001_IMG_0204
-18.476008,-45.3980097,675.116,2021:10:28 11:47:58, _Campo2021-10-TM_0000SET_001_IMG_0205
-18.4760083,-45.3981134,675.122,2021:10:28 11:47:59, _Campo2021-10-TM_0000SET_001_IMG_0206
-18.4760085,-45.3982589,675.205,2021:10:28 11:48:01, _Campo2021-10-TM_0000SET_001_IMG_0207
-18.4760089,-45.3983834,675.344,2021:10:28 11:48:02, _Campo2021-10-TM_0000SET_001_IMG_0208
-18.4760105,-45.3985702,675.435,2021:10:28 11:48:03, _Campo2021-10-TM_0000SET_001_IMG_0209
-18.4760111,-45.3986743,675.318,2021:10:28 11:48:05, _Campo2021-10-TM_0000SET_001_IMG_0210
-18.4760114,-45.3987784,675.138,2021:10:28 11:48:06, _Campo2021-10-TM_0000SET_001_IMG_0211
-18.4760115,-45.3989031,674.968,2021:10:28 11:48:07, _Campo2021-10-TM_0000SET_001_IMG_0212
-18.4760118,-45.399048,674.88,2021:10:28 11:48:08, _Campo2021-10-TM_0000SET_001_IMG_0213
-18.476011,-45.3991436,674.826,2021:10:28 11:48:09, _Campo2021-10-TM_0000SET_001_IMG_0214
-18.476009,-45.3992384,674.782,2021:10:28 11:48:11, _Campo2021-10-TM_0000SET_001_IMG_0215
-18.4760068,-45.3993,674.758,2021:10:28 11:48:12, _Campo2021-10-TM_0000SET_001_IMG_0216
-18.4760046,-45.3993703,674.769,2021:10:28 11:48:13, _Campo2021-10-TM_0000SET_001_IMG_0217
-18.4760137,-45.3993873,674.99,2021:10:28 11:48:14, _Campo2021-10-TM_0000SET_001_IMG_0218
-18.4761479,-45.3993616,675.107,2021:10:28 11:48:18, _Campo2021-10-TM_0000SET_001_IMG_0219
-18.4762528,-45.399334,674.675,2021:10:28 11:48:20, _Campo2021-10-TM_0000SET_001_IMG_0220
-18.4764053,-45.3992922,674.058,2021:10:28 11:48:22, _Campo2021-10-TM_0000SET_001_IMG_0221
-18.4765774,-45.3992266,673.69,2021:10:28 11:48:25, _Campo2021-10-TM_0000SET_001_IMG_0222
-18.4766607,-45.3991059,673.824,2021:10:28 11:48:27, _Campo2021-10-TM_0000SET_001_IMG_0223
-18.4766922,-45.3989334,673.328,2021:10:28 11:48:29, _Campo2021-10-TM_0000SET_001_IMG_0224
-18.4766993,-45.3987594,672.636,2021:10:28 11:48:31, _Campo2021-10-TM_0000SET_001_IMG_0225
-18.4766954,-45.3985467,671.92,2021:10:28 11:48:33, _Campo2021-10-TM_0000SET_001_IMG_0226
-18.4766856,-45.3983249,671.524,2021:10:28 11:48:36, _Campo2021-10-TM_0000SET_001_IMG_0227
-18.4766721,-45.3981005,671.464,2021:10:28 11:48:38, _Campo2021-10-TM_0000SET_001_IMG_0228
-18.4766607,-45.3978707,671.164,2021:10:28 11:48:40, _Campo2021-10-TM_0000SET_001_IMG_0229
-18.4766494,-45.3976392,670.886,2021:10:28 11:48:42, _Campo2021-10-TM_0000SET_001_IMG_0230
-18.476641,-45.3974498,670.758,2021:10:28 11:48:44, _Campo2021-10-TM_0000SET_001_IMG_0231
-18.4766325,-45.3972169,670.695,2021:10:28 11:48:46, _Campo2021-10-TM_0000SET_001_IMG_0232
-18.4766237,-45.3969646,671.028,2021:10:28 11:48:49, _Campo2021-10-TM_0000SET_001_IMG_0233
-18.4766159,-45.3967751,671.202,2021:10:28 11:48:51, _Campo2021-10-TM_0000SET_001_IMG_0234
-18.4766055,-45.3965214,671.359,2021:10:28 11:48:53, _Campo2021-10-TM_0000SET_001_IMG_0235
-18.4765954,-45.3962881,671.573,2021:10:28 11:48:55, _Campo2021-10-TM_0000SET_001_IMG_0236
-18.4765887,-45.3960782,671.702,2021:10:28 11:48:57, _Campo2021-10-TM_0000SET_001_IMG_0237
-18.4765838,-45.3958701,671.671,2021:10:28 11:48:59, _Campo2021-10-TM_0000SET_001_IMG_0238
-18.4765782,-45.3956411,671.777,2021:10:28 11:49:01, _Campo2021-10-TM_0000SET_001_IMG_0239
-18.476574,-45.3954124,671.66,2021:10:28 11:49:03, _Campo2021-10-TM_0000SET_001_IMG_0240
-18.4765708,-45.3951823,671.453,2021:10:28 11:49:06, _Campo2021-10-TM_0000SET_001_IMG_0241
