,lat_d,long_d,Altitude,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,Distance
3375,-18.4753603,-45.3992288,671.92,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0100,0.0087118581639939,0.0127596094262758,0.0041760085895286,0.0028183600129024,0.0007955448713682,0000SET_000_IMG_0100,0.3554849857021993,3.871337576955384,-0.1574398072208318,-0.1941059520589647,-0.6799612525036813,0.190503648235552,0.6748932509309193,-0.1909547946121803,-240.03020003607213,0.1885176802779999,1.46462547783563,3.055455742660755,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.734
3410,-18.4753613,-45.399056,671.368,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0101,0.0087279718023075,0.0127649513980554,0.0041950736435627,0.0028372767628193,0.0008104831329127,0000SET_000_IMG_0101,0.3551050072494076,3.865639013947604,-0.1574746477758248,-0.1930786724607994,-0.6761666407534422,0.1931987854745717,0.6763353885748999,-0.1927948751451146,-237.87648047930597,0.1878283171681243,1.4625335286578955,3.0428432210345324,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.504
3445,-18.475349,-45.3988406,670.975,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0102,0.0087241084394437,0.0127565952344018,0.0041857280667793,0.0028627870167276,0.0008144932380799,0000SET_000_IMG_0102,0.3557673728194622,3.8649081423797966,-0.1569424763679484,-0.1876907454092425,-0.6742171242347302,0.1945881875471691,0.6839400388784372,-0.1911493946059369,-234.68506019344704,0.1877260101058971,1.4622233690638575,3.047640704527979,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.063
3480,-18.475336,-45.3986672,670.768,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0103,0.0086914103403525,0.0127213393214808,0.0041647207585147,0.0028120833156336,0.0008042454837646,0000SET_000_IMG_0103,0.3558343557579816,3.869241668784564,-0.1569380545619467,-0.1938763692523821,-0.6762926353085117,0.1931091015214727,0.6752153334372644,-0.1934629519928133,-240.55211486824996,0.1882023114626591,1.4636680151227168,3.054547965904374,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.377
3515,-18.4753202,-45.3984451,670.811,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0104,0.0086534750961079,0.0126793090019581,0.0041502788399266,0.0028080157050647,0.0007886939560355,0000SET_000_IMG_0104,0.3551610151220275,3.8739666519551967,-0.1575783483505023,-0.1929011665405978,-0.6806242963393913,0.1900339679464641,0.6765848304096987,-0.1897304688413749,-240.56285380337687,0.1887158229016707,1.4652274214853769,3.055049911340979,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.392
3550,-18.4753063,-45.3982167,670.818,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0105,0.0086268127324937,0.0126187684427292,0.0041199403002738,0.0027347917944436,0.0007899473135102,0000SET_000_IMG_0105,0.3571562829347829,3.868033200761524,-0.1567381451841438,-0.2020718660759425,-0.6782218349387449,0.1917375631529666,0.6637940346518744,-0.1972821395030464,-249.74088287787956,0.1878958112424344,1.4627381901080827,3.0628522558665696,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.394
3585,-18.4752974,-45.398006,670.428,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0106,0.0086268062969856,0.0126514117127232,0.0041409937514176,0.0028185715708613,0.0008096035536904,0000SET_000_IMG_0106,0.3545701181360443,3.877801929396128,-0.156563401888596,-0.190015054003872,-0.6729269202101915,0.1955094845079748,0.6806510079606879,-0.19339153076178,-238.8718896801369,0.189142033129901,1.4665232157981671,3.055163198058968,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.676
6980,-18.4760082,-45.3977817,674.853,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0203,0.0088183728131409,0.013003475478963,0.0038433862732558,0.0024846829101854,0.0007069918780787,0000SET_001_IMG_0203,0.3825889892231983,3.895020626237376,-0.143727256884651,-0.2147105734282662,-0.6892601649507486,0.1839502531916457,0.6464827455608778,-0.2043674814127495,-289.06623647238,0.1917849766802958,1.47458899215347,3.3833381696364144,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.775
7015,-18.4760079,-45.3979062,675.0,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0204,0.0088192040586881,0.0130187929586623,0.0038751212647899,0.0025720675610635,0.0007282375440349,0000SET_001_IMG_0204,0.3797650680517628,3.899099288786616,-0.1441012982213883,-0.2021119186863459,-0.6836060041034199,0.187926388433778,0.6637385994688224,-0.2005590652216929,-275.403358237297,0.1923065057952707,1.4761868386339287,3.3595833701911646,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.932
7050,-18.476008,-45.3980097,675.116,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0205,0.008837391600846,0.0130301486753284,0.003896147035858,0.0025709930199144,0.0007497489099922,0000SET_001_IMG_0205,0.379216284334796,3.894278018162844,-0.1438844097748813,-0.2049057240937286,-0.6772424872486051,0.192433422838492,0.659880901889069,-0.2067801570648918,-275.79920998757177,0.1917342792801705,1.4744337768263012,3.3443677960318383,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.423
7085,-18.4760083,-45.3981134,675.122,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0206,0.0088272410908185,0.013045655200394,0.0039005374209215,0.0025514830744725,0.0007453766250854,0000SET_001_IMG_0206,0.3776509185792527,3.903301763979499,-0.1442497945324092,-0.2090902140518725,-0.679125951231904,0.1910958785031487,0.6541362892167084,-0.2076941569485657,-278.6432388120161,0.1928603351569064,1.4778859063862215,3.344578911208592,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.893
7120,-18.4760085,-45.3982589,675.205,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0207,0.0088457967128862,0.0130558425760449,0.0039231464160507,0.0025861235335417,0.0007604947309733,0000SET_001_IMG_0207,0.3770457761085193,3.897978893843071,-0.1444025099379559,-0.2054028935445705,-0.6752549108265817,0.1938481642851516,0.6591962825963208,-0.208095001091753,-273.63108857497,0.1922251484292512,1.4759374423589993,3.327900922236744,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.716
7155,-18.4760089,-45.3983834,675.344,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0208,0.0088850313356283,0.0131146888381019,0.0039617363592415,0.0026465069175509,0.0007850271515643,0000SET_001_IMG_0208,0.3754031099909307,3.897541284659784,-0.1443977097249854,-0.1990286051225711,-0.6692368811813691,0.1981522949484196,0.6680169192423473,-0.2082737611206728,-265.3077166893553,0.1922596046255271,1.4760430596922034,3.3103386113791764,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.875
7190,-18.4760105,-45.3985702,675.435,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0209,0.0089367958883717,0.0131629628838548,0.0039945577159283,0.0026896642994806,0.0008135649289532,0000SET_001_IMG_0209,0.3754654796227804,3.8885416044546375,-0.1439378963254911,-0.1952199393496469,-0.6615872809237582,0.2036683374755381,0.673332191134844,-0.2114428263026604,-259.89668283110524,0.1912313631583284,1.472895101138213,3.295224107381771,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.118
7225,-18.4760111,-45.3986743,675.318,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0210,0.0089231683217459,0.0131296360895106,0.0039700735992576,0.0026420969083953,0.0007962822848831,0000SET_001_IMG_0210,0.3772453926918337,3.884971657111077,-0.1439178099613711,-0.2008382405331661,-0.665873760063698,0.2005711644821909,0.6655032563853147,-0.2121450764413467,-266.41943500286607,0.1907452534978987,1.4714096625873876,3.3071518099729507,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.513
7260,-18.4760114,-45.3987784,675.138,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0211,0.0089324812097912,0.0131583921471851,0.0039905719191439,0.0026703144214116,0.0007985807495155,0000SET_001_IMG_0211,0.3755709083122663,3.889131489348237,-0.14449366116258,-0.1982104828442687,-0.6665043673627375,0.2001168668792768,0.6691558191449571,-0.2096568010180154,-262.5367580488441,0.1912966893207668,1.4730948588799415,3.29737000455012,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.065
7295,-18.4760115,-45.3989031,674.968,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0212,0.0089254751421159,0.0131333313540593,0.0039799190814219,0.002630194302774,0.0007904491867609,0000SET_001_IMG_0212,0.3765652390370405,3.8850169293966736,-0.1445894135393964,-0.2041908663586547,-0.6686003501939234,0.1986093612934706,0.6608662761641663,-0.2119677982292724,-268.16119464664564,0.1907562955717031,1.4714433847995545,3.299899089749125,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.927
7330,-18.4760118,-45.399048,674.88,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0213,0.0089195098791544,0.0131471356825196,0.0039599740136374,0.0026677714069232,0.0007844839023239,0000SET_001_IMG_0213,0.3772331848762454,3.891622112143253,-0.1439045233421786,-0.1949686544545792,-0.6693051487780131,0.1981032955323156,0.6736840690711355,-0.2061081826234265,-262.7309266804151,0.1915844341428978,1.4739751242661323,3.320005544794829,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.037
