,lat_d,long_d,Altitude,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
63098,-18.4595943,-45.3371862,725.407,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0230,0.0094324902180888,0.0105982761935256,0.0037426938019046,0.0031385381437872,0.0004239710507878,0003SET_001_IMG_0230,1.2760233975779918,8.328363753577515,1.105286925611105,0.3980086885976749,0.5368605528189622,2.856663267879494,-0.1656812666535071,-0.0877976011977985,-0.7964938070246567,0.113279651830467,0.8385773215511367,-0.0901375730383616,-212.6031314422833,0.0581997688695947,1.123592598400066,2.831724088177424,,Chuvoso,,Campanha 8,,,2021-10-29,10:03:31,464456.0,7958946.0,-18.459472,-45.336637,0.066,290,27.158,8.2,133.8,78.2,7.88,0.24,13.03,3.12,2.95,2.33,4.51,1.19,,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666,59.501
63118,-18.4596072,-45.337304,725.143,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0231,0.0093937809324333,0.0105906410939007,0.0036433967342455,0.0029532421048451,0.0003147315588203,0003SET_001_IMG_0231,1.278233684273191,14.967421844819569,1.099938844224829,0.4129888273391873,0.5429684706716695,2.8701414759262143,-0.1665629944683379,-0.1046221638375375,-0.8409695009776845,0.086384103016296,0.8105738464017913,-0.0730672926694074,-232.15750255005773,0.0598896560476087,1.1274098438185929,2.9068042451582983,,Chuvoso,,Campanha 8,,,2021-10-29,10:03:31,464456.0,7958946.0,-18.459472,-45.336637,0.066,290,27.158,8.2,133.8,78.2,7.88,0.24,13.03,3.12,2.95,2.33,4.51,1.19,,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666,71.939
63138,-18.4596158,-45.3373827,724.972,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0232,0.0093694699888219,0.0106015229950078,0.003616792767839,0.002898109413069,0.0002840214186575,0003SET_001_IMG_0232,1.279551061519168,19.19831594483648,1.0986829340037385,0.418174661530828,0.5426274341612808,2.8842333075870137,-0.1668806028763822,-0.110313759871347,-0.8543783912390902,0.078528529802165,0.8012926366252919,-0.0676888115839019,-238.32291206716195,0.0616921255334414,1.1314965529166303,2.931194479616843,,Chuvoso,,Campanha 8,,,2021-10-29,10:03:31,464456.0,7958946.0,-18.459472,-45.336637,0.066,290,27.158,8.2,133.8,78.2,7.88,0.24,13.03,3.12,2.95,2.33,4.51,1.19,,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666,80.261
63139,-18.4596158,-45.3373827,724.972,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0232,0.0093694699888219,0.0106015229950078,0.003616792767839,0.002898109413069,0.0002840214186575,0003SET_001_IMG_0232,1.279551061519168,19.19831594483648,1.0986829340037385,0.418174661530828,0.5426274341612808,2.8842333075870137,-0.1668806028763822,-0.110313759871347,-0.8543783912390902,0.078528529802165,0.8012926366252919,-0.0676888115839019,-238.32291206716195,0.0616921255334414,1.1314965529166303,2.931194479616843,,Chuvoso,,Campanha 8,,,2021-10-29,10:06:02,464315.0,7958859.0,-18.460256,-45.337974,0.106,300,27.439,8.11,133.4,78.9,7.86,0.12,12.62,3.1,2.93,2.2,5.12,1.18,,44.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667,94.642
63158,-18.4596287,-45.3375022,724.74,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0233,0.0095585140315664,0.0105461995460311,0.0036216861526848,0.0028232033534792,0.0002756649480087,0003SET_001_IMG_0233,1.288830137351433,21.1711231843946,1.0969138156032294,0.4297810573886483,0.5629352880124323,2.785751491505266,-0.1664296878322375,-0.1238939470477992,-0.8585372778143351,0.0761150846282873,0.7795273346328823,-0.0688028830814292,-249.58879820751773,0.0491270622012376,1.1033304456323367,2.911958436324769,,Chuvoso,,Campanha 8,,,2021-10-29,10:03:31,464456.0,7958946.0,-18.459472,-45.336637,0.066,290,27.158,8.2,133.8,78.2,7.88,0.24,13.03,3.12,2.95,2.33,4.51,1.19,,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666,92.904
63159,-18.4596287,-45.3375022,724.74,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0233,0.0095585140315664,0.0105461995460311,0.0036216861526848,0.0028232033534792,0.0002756649480087,0003SET_001_IMG_0233,1.288830137351433,21.1711231843946,1.0969138156032294,0.4297810573886483,0.5629352880124323,2.785751491505266,-0.1664296878322375,-0.1238939470477992,-0.8585372778143351,0.0761150846282873,0.7795273346328823,-0.0688028830814292,-249.58879820751773,0.0491270622012376,1.1033304456323367,2.911958436324769,,Chuvoso,,Campanha 8,,,2021-10-29,10:06:02,464315.0,7958859.0,-18.460256,-45.337974,0.106,300,27.439,8.11,133.4,78.9,7.86,0.12,12.62,3.1,2.93,2.2,5.12,1.18,,44.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667,85.684
63179,-18.4596441,-45.3376434,724.719,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0234,0.0093160404839322,0.0105251004409221,0.0035159322700008,0.0026923691467158,0.0002547699823512,0003SET_001_IMG_0234,1.284993440715898,22.486614664511222,1.093568748486326,0.4526670699573546,0.5510739062764948,2.8794181633476903,-0.1643636472318211,-0.1326551447820264,-0.8648686821176158,0.0724615728593492,0.765762517579779,-0.0672792373164116,-264.0783529343236,0.0609370177636989,1.129782600137389,2.9935447081065942,,Chuvoso,,Campanha 8,,,2021-10-29,10:06:02,464315.0,7958859.0,-18.460256,-45.337974,0.106,300,27.439,8.11,133.4,78.9,7.86,0.12,12.62,3.1,2.93,2.2,5.12,1.18,,44.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667,76.455
63180,-18.4596441,-45.3376434,724.719,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0234,0.0093160404839322,0.0105251004409221,0.0035159322700008,0.0026923691467158,0.0002547699823512,0003SET_001_IMG_0234,1.284993440715898,22.486614664511222,1.093568748486326,0.4526670699573546,0.5510739062764948,2.8794181633476903,-0.1643636472318211,-0.1326551447820264,-0.8648686821176158,0.0724615728593492,0.765762517579779,-0.0672792373164116,-264.0783529343236,0.0609370177636989,1.129782600137389,2.9935447081065942,,Chuvoso,,Campanha 8,,,2021-10-29,10:08:23,464266.0,7958904.0,-18.459848,-45.338437,0.078,300,27.574,8.12,135.4,79.5,7.88,0.01,12.27,3.08,2.92,2.1,4.74,1.1,,45.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668,86.72
63199,-18.4596676,-45.3378659,724.715,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0235,0.0095619560066748,0.0118216225129627,0.0035109621101774,0.0027509686289493,0.000275547268739,0003SET_001_IMG_0235,1.2772621816531788,17.6381285129242,1.0907874082847513,0.4396108004428136,0.5118581556687617,3.215875570194566,-0.1513037136636028,-0.1213672767856404,-0.8544584253385082,0.0784819830268909,0.7835369743737567,-0.0713466862724876,-258.92721273919653,0.1056729819198759,1.2363184378500092,3.3670606921945345,,Chuvoso,,Campanha 8,,,2021-10-29,10:06:02,464315.0,7958859.0,-18.460256,-45.337974,0.106,300,27.439,8.11,133.4,78.9,7.86,0.12,12.62,3.1,2.93,2.2,5.12,1.18,,44.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667,66.413
63200,-18.4596676,-45.3378659,724.715,2021-10-29, _Campo2021-10-TM_0003SET_001_IMG_0235,0.0095619560066748,0.0118216225129627,0.0035109621101774,0.0027509686289493,0.000275547268739,0003SET_001_IMG_0235,1.2772621816531788,17.6381285129242,1.0907874082847513,0.4396108004428136,0.5118581556687617,3.215875570194566,-0.1513037136636028,-0.1213672767856404,-0.8544584253385082,0.0784819830268909,0.7835369743737567,-0.0713466862724876,-258.92721273919653,0.1056729819198759,1.2363184378500092,3.3670606921945345,,Chuvoso,,Campanha 8,,,2021-10-29,10:08:23,464266.0,7958904.0,-18.459848,-45.338437,0.078,300,27.574,8.12,135.4,79.5,7.88,0.01,12.27,3.08,2.92,2.1,4.74,1.1,,45.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668,63.488
