,lat_d,long_d,Altitude,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,Distance
3375,-18.4753603,-45.3992288,671.92,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0100,0.0087556291856638,0.0128299420995942,0.0041946636908132,0.0028322005716326,0.0007919448144481,0000SET_000_IMG_0100,0.3554938486429224,3.872370034730391,-0.1576385832645999,-0.1938934734319708,-0.682371369794709,0.1887981666283642,0.6751913336545783,-0.1891719375540894,-238.87010067225685,0.1887516832465295,1.465336394168172,3.058634266125616,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.734
3410,-18.4753613,-45.399056,671.368,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0101,0.0087230298925687,0.0128114579159111,0.0041692713306586,0.002812043400476,0.0007806452276571,0000SET_000_IMG_0101,0.3554442118765102,3.881617172274133,-0.1573581007887791,-0.1944086439950579,-0.684582469841581,0.1872378086589498,0.674468792615566,-0.1881153764539643,-240.97422207850144,0.1898548997173022,1.468693570203789,3.0728290149174184,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.504
3445,-18.475349,-45.3988406,670.975,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0102,0.0087494766809023,0.0128217083765372,0.0041883543761409,0.0028572805120593,0.0007984586498029,0000SET_000_IMG_0102,0.355734366342938,3.872712986311143,-0.1571492580176483,-0.1889217771291042,-0.6797719723402766,0.1906377966371103,0.6821964560439044,-0.1881891888273219,-235.69058820237785,0.1887810838760786,1.4654257442074747,3.061275915327626,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.063
3480,-18.475336,-45.3986672,670.768,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0103,0.0087360968091467,0.0128101880284868,0.0041857721517485,0.0028224767910456,0.0007943068836912,0000SET_000_IMG_0103,0.3552113870053557,3.8753448539178734,-0.1574037145435693,-0.1945272452264476,-0.6810063141413301,0.1897635262730195,0.6743025393454782,-0.1904995368503757,-239.83115438344308,0.1890855546578567,1.4663514276850187,3.060412168668968,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.377
3515,-18.4753202,-45.3984451,670.811,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0104,0.0087001719592346,0.0127671881378597,0.0041684063387582,0.00281970374066,0.0007741018071191,0000SET_000_IMG_0104,0.3549540878964526,3.8788708008221313,-0.1581146687942563,-0.1929996211809083,-0.6867574987145737,0.1857068971231127,0.676446466948808,-0.1855575678308186,-239.70693017936537,0.1894511556255857,1.4674638843555567,3.0628463494907607,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.392
3550,-18.4753063,-45.3982167,670.818,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0105,0.0086632022469974,0.012696386730522,0.0041272423038811,0.0027454677028422,0.0007792651240221,0000SET_000_IMG_0105,0.3572638451703659,3.874628132259307,-0.1567435208319171,-0.2010523650331767,-0.682354450503657,0.1888101222671877,0.6652063292384041,-0.1938857661773544,-248.80590725866463,0.1888231317451593,1.4655535411195637,3.0762397251508125,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.394
3585,-18.4752974,-45.398006,670.428,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0106,0.008650217655445,0.012717166627794,0.0041526767103441,0.0028348131720453,0.0007973486685788,0000SET_000_IMG_0106,0.353659040314161,3.8867195036306894,-0.1570303597898637,-0.1886032839375147,-0.6778405735154841,0.1920083657349598,0.6826472104086334,-0.1890935533684174,-237.1529053976589,0.1903344330049417,1.4701556809716807,3.062402280465562,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.676
6980,-18.4760082,-45.3977817,674.853,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0203,0.0088638672468659,0.0130616360088393,0.0038853982434942,0.002524013129524,0.0007112431153776,0000SET_001_IMG_0203,0.3811520241417371,3.891615294974724,-0.1447700009937358,-0.2124040781188182,-0.6905379124238801,0.1830553963338305,0.6496150384970872,-0.2015498538268494,-283.37687841076155,0.1914559822421,1.4735820883889763,3.3617238672277683,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.775
7015,-18.4760079,-45.3979062,675.0,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0204,0.0088484359895079,0.01306861994632,0.0039175914359122,0.0026096610495054,0.0007306062734448,0000SET_001_IMG_0204,0.3773041510005942,3.900501076963913,-0.1454111889753232,-0.200379928511854,-0.685638899578621,0.1864937386648846,0.6661391551918552,-0.1973931597254571,-270.1772033721402,0.1925525019951858,1.4769412314013703,3.3358812832091584,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.932
7050,-18.476008,-45.3980097,675.116,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0205,0.0088675406470926,0.0130792814672825,0.0039381669564651,0.0026094879191616,0.000751375566826,0000SET_001_IMG_0205,0.3768841356429408,3.895085901117387,-0.1452051405452346,-0.2029244153123338,-0.6795527226401231,0.1907932231244038,0.6626148530543452,-0.203206599417726,-270.44611029358066,0.1919066367896253,1.4749615465896742,3.3211597202121843,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.423
