,lat_d,long_d,Altitude,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
7750,-18.4766993,-45.3987594,672.636,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0225,0.0089937710137131,0.0131698285224651,0.004027837467243,0.0029062639218488,0.0008087198793804,0000SET_001_IMG_0225,1.3564438337331233,3.6219309000609,1.129296551178541,0.5451618326540711,0.377068960161418,3.865473578250878,-0.145243446697724,-0.1617474972544494,-0.6655803616409094,0.2007826497363504,0.7215444877020071,-0.1883478739490245,-232.8963077961272,0.1884196428443546,1.4643277555526628,3.269702074517836,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,76.903
7785,-18.4766954,-45.3985467,671.92,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0226,0.0089539527659573,0.0131241552967429,0.0040105508693404,0.0028370780876184,0.0008032670015539,0000SET_001_IMG_0226,1.3629154361259654,3.613387640508432,1.1287259754367347,0.5623442184648255,0.3766643860000448,3.869824024929727,-0.145269869079273,-0.1713692124818585,-0.6662661433824995,0.2002884460822236,0.7074035911892083,-0.1934209093220725,-240.79279859362407,0.1888840528791023,1.465738723420633,3.2724071391472918,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,75.884
7820,-18.4766856,-45.3983249,671.524,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0227,0.0089503940985425,0.0131046009258829,0.0040110196564777,0.0027952992696834,0.0007980802010875,0000SET_001_IMG_0227,1.36933782036844,3.6447838521549927,1.1288122878155646,0.5728540673602914,0.3769191042139284,3.865754032330152,-0.1456785391169639,-0.1786164298181058,-0.6680958080618603,0.1989718997758138,0.6969049042602071,-0.1963409173593091,-246.0165245194232,0.1883567338255897,1.4641367499132671,3.2671495151411905,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,81.076
7855,-18.4766721,-45.3981005,671.464,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0228,0.0088969759651561,0.0130517084518168,0.0039439309694795,0.0027680827390499,0.0007713027942294,0000SET_001_IMG_0228,1.3591891538107366,3.6466370283366025,1.1250753313616066,0.5710364160920407,0.3794939960513089,3.874051746970356,-0.144547532552644,-0.1751856121711092,-0.6728464237909978,0.1955670117449323,0.7018588206718074,-0.1919488327763234,-248.86313677639055,0.1892930076231743,1.4669825458596484,3.309314628683599,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,91.955
14071,-18.4786187,-45.393052,676.237,2021-10-28, _Campo2021-10-TM_0000SET_002_IMG_0406,0.0096189515138381,0.0141777093121199,0.0045603444564969,0.0029148396370431,0.0007713078201006,0000SET_002_IMG_0406,1.4764728866663013,5.639681231423861,1.1568961981317694,0.5560474077498184,0.3568000264342293,3.879440132513526,-0.1592255595904078,-0.2201290026925,-0.7106683706714552,0.1691336756375399,0.639170936504691,-0.1844278848577765,-239.11061193924112,0.1915713230365914,1.473935001306893,3.108911935790642,,Chuvoso,,Campanha 8,,,2021-10-28,09:47:35,458434.0,7956781.0,-18.478929,-45.393715,0.074,310,27.581,8.1,73.6,78.9,7.59,0.04,12.36,3.14,2.97,2.15,4.57,1.42,,44.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619,77.971
14106,-18.4786251,-45.393219,676.296,2021-10-28, _Campo2021-10-TM_0000SET_002_IMG_0407,0.0098131078138248,0.0142680202050285,0.0046180798579287,0.002990263022987,0.0007517277609747,0000SET_002_IMG_0407,1.4762515309468354,6.172534820984084,1.157771828669649,0.5316987623328854,0.364102929575696,3.824706074097527,-0.1605552735705322,-0.21395156086154,-0.720016874225295,0.1627792901164478,0.647512194457415,-0.1747873990792102,-232.5142267628624,0.1849960013383058,1.4539756900385397,3.089600146375119,,Chuvoso,,Campanha 8,,,2021-10-28,09:47:35,458434.0,7956781.0,-18.478929,-45.393715,0.074,310,27.581,8.1,73.6,78.9,7.59,0.04,12.36,3.14,2.97,2.15,4.57,1.42,,44.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619,62.275
14141,-18.4786295,-45.3934051,676.299,2021-10-28, _Campo2021-10-TM_0000SET_002_IMG_0408,0.0098887586492331,0.0142338043350413,0.0046916432043044,0.0031383254515594,0.0007762523395597,0000SET_002_IMG_0408,1.466747890285822,6.1669702719770285,1.1618865357895507,0.5023370987868788,0.3651248339935551,3.7853728248810334,-0.1623123905738026,-0.1983810946141825,-0.7160690677674757,0.1654542568044216,0.6689181838636212,-0.1688475680038909,-217.51634024016383,0.180123716067847,1.4393924293162084,3.033863342801161,,Chuvoso,,Campanha 8,,,2021-10-28,09:47:35,458434.0,7956781.0,-18.478929,-45.393715,0.074,310,27.581,8.1,73.6,78.9,7.59,0.04,12.36,3.14,2.97,2.15,4.57,1.42,,44.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619,46.661
14176,-18.4786344,-45.3936543,676.171,2021-10-28, _Campo2021-10-TM_0000SET_002_IMG_0409,0.0098737512925464,0.0142017249097155,0.0046918599283369,0.0031378987417984,0.0008089783439366,0000SET_002_IMG_0409,1.4668762119921928,5.730344416053863,1.162167677467966,0.509335101608999,0.3648776044566623,3.782827994542924,-0.1612795340694238,-0.1984685929677123,-0.705870885892361,0.1724216741959205,0.6687963387071266,-0.175876720505024,-217.40596868042687,0.1797668956081743,1.438331236926764,3.026885952827137,,Chuvoso,,Campanha 8,,,2021-10-28,09:47:35,458434.0,7956781.0,-18.478929,-45.393715,0.074,310,27.581,8.1,73.6,78.9,7.59,0.04,12.36,3.14,2.97,2.15,4.57,1.42,,44.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619,33.378
14211,-18.4786405,-45.3938626,675.986,2021-10-28, _Campo2021-10-TM_0000SET_002_IMG_0410,0.0098701391209703,0.0141875635892724,0.004663629811733,0.0031342048169238,0.0008199875664758,0000SET_002_IMG_0410,1.460800549731321,5.483113234092855,1.1601371472187438,0.5109364933885466,0.3669769849119183,3.780498525002727,-0.1597676341565543,-0.1961345767950259,-0.7009318813036349,0.1758260409976866,0.6720526592909682,-0.1785477830511664,-217.7445004666859,0.1794612112512278,1.437422858521742,3.042171905149632,,Chuvoso,,Campanha 8,,,2021-10-28,09:47:35,458434.0,7956781.0,-18.478929,-45.393715,0.074,310,27.581,8.1,73.6,78.9,7.59,0.04,12.36,3.14,2.97,2.15,4.57,1.42,,44.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619,35.657
14246,-18.4786462,-45.3940934,675.92,2021-10-28, _Campo2021-10-TM_0000SET_002_IMG_0411,0.0098805695579256,0.0141920378796378,0.0046545330721374,0.0031529465277567,0.0008285998970031,0000SET_002_IMG_0411,1.455375001066601,5.351747154102985,1.1592846473165683,0.507322530056637,0.3682372137187091,3.77752896121822,-0.1589330605360279,-0.1923266689548657,-0.6977640696782205,0.1780199827052899,0.6773926576288867,-0.178940208180143,-215.9549003413328,0.1791026723172702,1.436358278380197,3.049078749615737,,Chuvoso,,Campanha 8,,,2021-10-28,09:47:35,458434.0,7956781.0,-18.478929,-45.393715,0.074,310,27.581,8.1,73.6,78.9,7.59,0.04,12.36,3.14,2.97,2.15,4.57,1.42,,44.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619,50.807
14281,-18.4786509,-45.3942829,675.888,2021-10-28, _Campo2021-10-TM_0000SET_002_IMG_0412,0.0099165199590705,0.0142178187678631,0.0046652843326032,0.0031776351489107,0.00084547533807,0000SET_002_IMG_0412,1.4536390643582795,5.215033358590457,1.1594530854803178,0.5046287144453923,0.3693418598313268,3.770079729366685,-0.1582727845893015,-0.1896805376108926,-0.6931547051237253,0.1812269687747477,0.6811235762639143,-0.1808113363086635,-213.85761141349047,0.1782231888538303,1.433750834622005,3.0475781869289937,,Chuvoso,,Campanha 8,,,2021-10-28,09:47:35,458434.0,7956781.0,-18.478929,-45.393715,0.074,310,27.581,8.1,73.6,78.9,7.59,0.04,12.36,3.14,2.97,2.15,4.57,1.42,,44.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619,67.404
14316,-18.4786572,-45.394535,675.85,2021-10-28, _Campo2021-10-TM_0000SET_002_IMG_0413,0.0099345587166067,0.0141933929904908,0.0046588980942574,0.003172248929789,0.0008584337375454,0000SET_002_IMG_0413,1.4530722348607004,5.064039566853303,1.1586734124783238,0.5079086867849616,0.3716983406211506,3.756419629853095,-0.1575129295204139,-0.1898379841297169,-0.6888228717376583,0.1842568178521683,0.680901119880502,-0.1841984618972814,-214.5750496992084,0.1765103944828983,1.4286888220575908,3.046512867063073,,Chuvoso,,Campanha 8,,,2021-10-28,09:47:35,458434.0,7956781.0,-18.478929,-45.393715,0.074,310,27.581,8.1,73.6,78.9,7.59,0.04,12.36,3.14,2.97,2.15,4.57,1.42,,44.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619,91.608
15821,-18.4792565,-45.3942984,672.106,2021-10-28, _Campo2021-10-TM_0000SET_002_IMG_0456,0.0098176953364061,0.014238655124318,0.0045353736100656,0.0028634911626259,0.0007055121143688,0000SET_002_IMG_0456,1.48039885931222,6.491518917428047,1.1516906304340362,0.5500635784576723,0.3709845965240704,3.815076944030413,-0.1592037620980651,-0.2259647255090345,-0.7307660760166872,0.155557661843562,0.6313683080641469,-0.1745205265854025,-247.3671578857873,0.1837751655276985,1.4503052535678145,3.13946685510481,,Chuvoso,,Campanha 8,,,2021-10-28,09:47:35,458434.0,7956781.0,-18.478929,-45.393715,0.074,310,27.581,8.1,73.6,78.9,7.59,0.04,12.36,3.14,2.97,2.15,4.57,1.42,,44.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619,71.496
15856,-18.4792531,-45.3941109,672.223,2021-10-28, _Campo2021-10-TM_0000SET_002_IMG_0457,0.0099274626062674,0.0143104168578366,0.0046777748479587,0.0031471527516892,0.0007977803024555,0000SET_002_IMG_0457,1.461872828614913,5.810504009980125,1.1601829850850585,0.5030459584040599,0.36684380409463,3.79027306581472,-0.1600797854964756,-0.1956084675260604,-0.7086029523800333,0.1705469648253031,0.6727884205590962,-0.1731317695803221,-217.01685169142087,0.1808307636012589,1.4414979361193618,3.0592359236959465,,Chuvoso,,Campanha 8,,,2021-10-28,09:47:35,458434.0,7956781.0,-18.478929,-45.393715,0.074,310,27.581,8.1,73.6,78.9,7.59,0.04,12.36,3.14,2.97,2.15,4.57,1.42,,44.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619,55.154
15891,-18.4792495,-45.3939233,672.458,2021-10-28, _Campo2021-10-TM_0000SET_002_IMG_0458,0.0099008830519336,0.0143234960256379,0.0046840743721341,0.0031578726335104,0.0007921587555561,0000SET_002_IMG_0458,1.4614795356114552,5.911686099380534,1.1611119533136214,0.5001020367575046,0.3642133645628019,3.804289271891893,-0.1606611093772631,-0.1946202566180524,-0.7106920990815372,0.1691174589943981,0.6741721805906444,-0.1708431290557759,-215.6677911561339,0.1825686825467093,1.446688739833219,3.057913877467322,,Chuvoso,,Campanha 8,,,2021-10-28,09:47:35,458434.0,7956781.0,-18.478929,-45.393715,0.074,310,27.581,8.1,73.6,78.9,7.59,0.04,12.36,3.14,2.97,2.15,4.57,1.42,,44.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619,41.865
15926,-18.4792443,-45.3936963,672.498,2021-10-28, _Campo2021-10-TM_0000SET_002_IMG_0459,0.0099045848207973,0.0143584904913415,0.0047056376062357,0.0031389202145636,0.000775955108177,0000SET_002_IMG_0459,1.4700011182147912,6.238736467261238,1.1626481352282605,0.502655689509942,0.3620817395600661,3.812040297657493,-0.1619614351232996,-0.1997202936688232,-0.7168869893829258,0.1648990366680041,0.6670552382538009,-0.1688614478844533,-217.6175478516665,0.1835672359437435,1.4496812083624189,3.0513379254522857,,Chuvoso,,Campanha 8,,,2021-10-28,09:47:35,458434.0,7956781.0,-18.478929,-45.393715,0.074,310,27.581,8.1,73.6,78.9,7.59,0.04,12.36,3.14,2.97,2.15,4.57,1.42,,44.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619,35.115
