Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR
0.0986277724171022,0.2234488764909759,0.1282204104295609,0.0813739376357867,0.113527033655646,0000SET_000_DJI_1221.T,61939.859588621206,10837.195193442467,75843.9513041689,inf,27394432.38223259,-0.13243583264851996,5.132020867154588,-0.04562074532174,-0.22351019112007897,-0.060779864000283026,0.8854053210039688,0.6346410634872383,-0.24406211430602828,-2.1498149510919635,0.38755092769702193,2.265577646284035,1.7426935052101526
0.0983580031172349,0.2225064114104481,0.1278631714281742,0.0811079808504753,0.112995965748005,0000SET_000_DJI_1231.T,60385.260564221855,10747.877582466106,73464.31675202919,inf,24451046.629391115,-0.13260367700826542,5.126835382540391,-0.04633485362362147,-0.22373992806123724,-0.061725728384115254,0.8837256614699199,0.6343341866507423,-0.24433141230047076,-2.1623020847076972,0.38691859449718485,2.2622095239696782,1.740191557312019
0.09824251978929,0.2311717921769624,0.1350519537922906,0.0810054837776453,0.1128821604837446,0000SET_000_DJI_1241.T,218969.39886639247,31761.53677331667,272273.1707355698,inf,55602437.38110076,-0.15922978169768617,5.27587978357269,-0.06730063783876288,-0.2501486207673408,-0.08941808340204231,0.8358424836811834,0.5998097880333626,-0.2444972556801487,-2.1659512418293687,0.40353217076157477,2.3530727089734502,1.711724900570515
0.0980602128121181,0.2304633777002844,0.1348385510573796,0.0808504000431128,0.1160949797441352,0000SET_000_DJI_1251.T,215640.7632493048,23093.666809979048,267864.1736319452,inf,212984525.471423,-0.15958430624535672,5.2715965596033545,-0.05705395854224596,-0.2503055939528075,-0.0746953635625138,0.8609924894159667,0.5996089353460011,-0.2520081470379138,-2.170706671324817,0.40302483204221456,2.350223103654168,1.7091801706042684
0.0980884624084465,0.2219481584523991,0.1283439202982187,0.0809269975395743,0.1128471068602497,0000SET_000_DJI_1261.T,67254.66350065259,11669.494927951133,82453.5317557591,inf,26819573.08705975,-0.13631767932087188,5.128151725992083,-0.04842200057070075,-0.2265815204929598,-0.06425120213028165,0.8792555704862314,0.6305479632500948,-0.24396831690922358,-2.1619368338025264,0.38701725980855095,2.2627346071364953,1.7293235077803646
0.0961639696177877,0.2255041302087675,0.1312893940992778,0.0852125182659497,0.1120731431576973,0000SET_000_DJI_1271.T,62775.105934625055,19286.843905405756,176768.58311758254,inf,3610741.1511320476,-0.1557639962025159,5.266304558269132,-0.05973937406893004,-0.21282433642248302,-0.07896141763713367,0.8536343999954051,0.6490434269314556,-0.14978124900152825,-1.3364597867195727,0.4020919720069244,2.344996063547021,1.717611173056727
0.0973293617193497,0.2299450436370937,0.1273953070540595,0.0894489122635559,0.1149093837791584,0000SET_000_DJI_1281.T,20111.825720788744,8614.642823495145,76134.74823712413,inf,876303.6677223552,-0.13075274360842842,5.292560537020433,-0.03815123660923726,-0.17499380389256705,-0.05152984546838738,0.9019907125024412,0.702136635422518,-0.10401298127011038,-0.9051739540263348,0.40521250591933305,2.3625454803674026,1.804972639529946
0.098809943497265,0.227227274812482,0.1338217693149177,0.0871279223450519,0.1127431574134928,0000SET_000_DJI_1291.T,75002.3571520348,26650.752301782595,202207.03927208183,inf,2252687.824593879,-0.15408284875372472,5.188133518618393,-0.06465093773864636,-0.21133248306010435,-0.08548909279640912,0.842487421819828,0.6510743565198055,-0.15298546560052284,-1.3569379207594725,0.39387322705353206,2.299639760635745,1.6979843860661912
0.0985002494873176,0.2269993472222626,0.1334166523694109,0.0866257341797334,0.1163093093850785,0000SET_000_DJI_1301.T,74764.26993643177,18368.69069900989,195119.92792388698,inf,11573717.392148294,-0.1538171951124841,5.196708261356278,-0.0525571864213277,-0.21264502227722928,-0.06850446330906902,0.8717750544589838,0.6492872714260557,-0.16186245001709348,-1.391655155316906,0.39477498293061014,2.3045560636015434,1.7014318916782225
0.0980877532346158,0.2264551910022844,0.1256410752982522,0.0861557675236223,0.1121919190063502,0000SET_000_DJI_1311.T,22168.847066984195,8323.726030775948,51446.86234284778,inf,1180678.5544081782,-0.12167229173103145,5.204170531139871,-0.04144029790425755,-0.18643010560756018,-0.056548740561526596,0.8929557371267652,0.6857293072277679,-0.1584072879506868,-1.4119313525755874,0.3955329796785437,2.3086999501418584,1.8023977466343337
0.0938434427323316,0.1142246629051775,0.1265054537555802,0.1025812160556914,0.1438357070750645,0000SET_000_DJI_1321.T,5015.220987257407,1259.1251070848996,98272.74149353593,inf,154292894.97903645,-0.2859453483383239,2.7914991075747047,0.08329125344023947,-0.10443312882237232,0.06410512282419632,1.1369921438562474,0.8108837446161605,0.13055566209743424,0.9076721264303327,0.09795456209109499,1.2171832104559397,0.902922834661893
0.0975044424600587,0.2228557606985499,0.2679289267713987,0.0919621008632703,0.1405959160449401,0000SET_000_DJI_1331.T,3.2707489818517724e+18,168308761009183.75,3.5746733123164585e+21,inf,5.911570318308245e+16,-0.7647299929655753,5.1671065103246185,-0.39746825439306116,-0.4889447427034916,-0.31168976126062403,0.5247507902157158,0.34323319236722005,-0.0869025875474637,-0.6181017912332969,0.39128242834966137,2.285595969535845,0.831771930653438
