Latitude,Longitude,Altitude,Gimbal Degree,DateTime,Image Index
-19.8518926388889,-43.9836723333333,854.097,89.9,2022:12:06 08:35:11, _Pampulha_2022-12-06_0000SET_000_DJI_1681.TIF
-19.8519163055556,-43.9836281388889,854.206,90.0,2022:12:06 08:35:12, _Pampulha_2022-12-06_0000SET_000_DJI_1691.TIF
-19.8519258611111,-43.9836088611111,854.322,90.0,2022:12:06 08:35:14, _Pampulha_2022-12-06_0000SET_000_DJI_1701.TIF
-19.8519173611111,-43.9836222222222,854.459,90.0,2022:12:06 08:35:15, _Pampulha_2022-12-06_0000SET_000_DJI_1711.TIF
-19.8518994444444,-43.98365575,854.7,90.0,2022:12:06 08:35:16, _Pampulha_2022-12-06_0000SET_000_DJI_1721.TIF
-19.85191525,-43.9836218888889,854.77,89.9,2022:12:06 08:35:18, _Pampulha_2022-12-06_0000SET_000_DJI_1731.TIF
-19.8519252777778,-43.9836034444444,854.623,89.9,2022:12:06 08:35:19, _Pampulha_2022-12-06_0000SET_000_DJI_1741.TIF
-19.8519204444444,-43.9836159722222,854.528,89.9,2022:12:06 08:35:21, _Pampulha_2022-12-06_0000SET_000_DJI_1751.TIF
-19.8519251111111,-43.9836057222222,854.685,89.9,2022:12:06 08:35:24, _Pampulha_2022-12-06_0000SET_000_DJI_1761.TIF
-19.8519313333333,-43.9835769444444,854.62,89.9,2022:12:06 08:35:25, _Pampulha_2022-12-06_0000SET_000_DJI_1771.TIF
-19.85237225,-43.9818919722222,856.04,89.9,2022:12:06 08:35:46, _Pampulha_2022-12-06_0000SET_000_DJI_1781.TIF
-19.8524911944444,-43.9814265555556,856.089,89.9,2022:12:06 08:35:52, _Pampulha_2022-12-06_0000SET_000_DJI_1791.TIF
-19.8525201666667,-43.981315,856.167,89.9,2022:12:06 08:35:53, _Pampulha_2022-12-06_0000SET_000_DJI_1801.TIF
-19.8525393888889,-43.9812460833333,856.346,90.0,2022:12:06 08:35:54, _Pampulha_2022-12-06_0000SET_000_DJI_1811.TIF
-19.8525452777778,-43.9812234722222,856.359,90.0,2022:12:06 08:35:55, _Pampulha_2022-12-06_0000SET_000_DJI_1821.TIF
-19.8525441944444,-43.9812268611111,856.074,89.9,2022:12:06 08:35:56, _Pampulha_2022-12-06_0000SET_000_DJI_1831.TIF
-19.8525378055556,-43.9812185,855.632,89.9,2022:12:06 08:35:58, _Pampulha_2022-12-06_0000SET_000_DJI_1841.TIF
-19.8525412222222,-43.9812216944444,855.261,89.9,2022:12:06 08:36:00, _Pampulha_2022-12-06_0000SET_000_DJI_1851.TIF
-19.8525048611111,-43.9811743333333,854.994,89.9,2022:12:06 08:36:02, _Pampulha_2022-12-06_0000SET_000_DJI_1861.TIF
-19.8525132222222,-43.981182,854.842,89.9,2022:12:06 08:36:03, _Pampulha_2022-12-06_0000SET_000_DJI_1871.TIF
-19.8525371944444,-43.9812143611111,854.786,89.9,2022:12:06 08:36:04, _Pampulha_2022-12-06_0000SET_000_DJI_1881.TIF
