,lat_d,long_d,Altitude,DateTime,Image Index,Degree,Image Index.1,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
24,-19.8556835833333,-43.9787620833333,844.157,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2451.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2451.TIF,0.0683677160386047,0.0975272263804039,0.0941013021385522,0.0579377800383197,0.084345766658434,0000SET_000_DJI_2451.T,-0.2638605346939112,3.4420293736238428,-0.0588055026745672,-0.237856750925149,-0.0546690710353823,0.8963294315975096,0.615695837588025,-0.2220915378502444,-2.6331082951634635,0.1757709422397559,1.426509938189743,1.0364067676428903,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,40.342
54,-19.8558574166667,-43.9788934444444,842.345,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2461.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2461.TIF,0.066589608850362,0.0962915116343695,0.0971059105458141,0.0558436096186428,0.0826904704377389,0000SET_000_DJI_2461.T,-0.3169158026236642,3.497656630951532,-0.0885028299484623,-0.2697772499240571,-0.0801764753507127,0.8515493029512959,0.5750794087070122,-0.2389584109545751,-2.889793826176099,0.182353256753239,1.4460441095359586,0.9916132920553752,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,16.628
84,-19.8559793055556,-43.9789862222222,842.223,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2471.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2471.TIF,0.0642702866411864,0.0940460760047952,0.0940801865356527,0.0527427455100699,0.0792933512609262,0000SET_000_DJI_2471.T,-0.3169712247531343,3.5481436791129024,-0.0934005495552725,-0.2815462165863148,-0.0852888823903222,0.8428273176401189,0.5606148058611944,-0.2696500367507323,-3.400663895052311,0.1880777758278327,1.4632901286070743,0.9996374313007492,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,0.041
114,-19.8561700833333,-43.9791280555556,842.318,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2481.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2481.TIF,0.0617203683695617,0.0947641559516216,0.0903719479772885,0.0489931954405733,0.0750572240394586,0000SET_000_DJI_2481.T,-0.3023461700260784,3.736400572915024,-0.0978673386666437,-0.2969089079372473,-0.0925757153416661,0.8305367508324745,0.5421283543969403,-0.3159076681483695,-4.208890912116502,0.2111632937851271,1.535378975449471,1.0486014529136511,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,25.926
144,-19.8564397777778,-43.9793344166667,842.07,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2491.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2491.TIF,0.0597654332058883,0.0998245420335124,0.0969424136872442,0.0456735829707583,0.0716586362461502,0000SET_000_DJI_2491.T,-0.372423251076625,4.059861843325445,-0.1584296093984966,-0.3594886402500142,-0.1499621589016339,0.7391876632795159,0.471141384184125,-0.3699315768690843,-5.162414417131174,0.2510126890334527,1.6702722071740517,1.0297303134577045,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,62.872
174,-19.8565625833333,-43.9794275277778,841.881,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2501.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2501.TIF,0.0594575891047632,0.099951514236282,0.0961784032668353,0.0455669191942531,0.0719033725278911,0000SET_000_DJI_2501.T,-0.3673862716603305,4.085013656591798,-0.1522813329362337,-0.3570592891097056,-0.1444239306978207,0.7476041406967833,0.4737749603498117,-0.3686510624736227,-5.127034372840079,0.2540251734863895,1.6810556186556644,1.039230334891074,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,79.644
236,-19.8569875277778,-43.9797491666667,842.098,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2521.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2521.TIF,0.0577517086505961,0.0980200709400531,0.0975651590339483,0.0432384382543409,0.0695416648253527,0000SET_000_DJI_2521.T,-0.4061765106016014,4.125949431785889,-0.1799009697535599,-0.3858333297293237,-0.1676980841440116,0.7127715007480828,0.44317498872006,-0.4041806641197637,-5.812064826673694,0.2585087131653613,1.6972670286360674,1.0046626471028095,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,99.157
266,-19.8571922222222,-43.9799035,841.908,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2531.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2531.TIF,0.0583346549453039,0.0958600033521104,0.0974347975834941,0.0478687911375447,0.0740782464120481,0000SET_000_DJI_2531.T,-0.4078879748686072,4.002147032780641,-0.1514744507322382,-0.3411203183777431,-0.1361794451741703,0.7602853215615167,0.491290507341844,-0.2776429682102543,-3.747968960629965,0.2433634784833254,1.6432771127555523,0.983837455709453,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,71.254
296,-19.8573895277778,-43.9800518611111,841.891,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2541.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2541.TIF,0.0554670123284899,0.0984149061723553,0.0973952171590604,0.0421765702768976,0.0673518876703209,0000SET_000_DJI_2541.T,-0.4260351044499407,4.300181077729008,-0.1952362550547125,-0.3956290013660509,-0.1823602880296657,0.6915317777907469,0.4330456002579387,-0.3826336529175918,-5.68111252932562,0.2790964283671151,1.7742961454191355,1.0104696004900282,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,44.382
326,-19.8576064166667,-43.9802161944444,841.734,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2551.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2551.TIF,0.0570459254274173,0.0957080845920812,0.0999407869568764,0.0478620205538743,0.0621085453772357,0000SET_000_DJI_2551.T,-0.4481843066056739,4.084170116488378,-0.2476677474772122,-0.3523530254945533,-0.2334612616708501,0.6214534352629724,0.4789037790399464,-0.2089118504002649,-3.363657112421059,0.2531007805276523,1.677737434794636,0.9576478983838544,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,14.769
