,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
356,-19.8578095,-43.98036975,841.593,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2561.TIF,0.0566556984177947,0.0906259369337308,0.1031475816188651,0.0500390607200463,0.1162056497593708,0000SET_000_DJI_2561.T,110422.9165844356,355.63111314009853,314476.3432431297,inf,87696470194656.33,-0.5130085798182376,3.904969017145964,0.0886605319756211,-0.3466915919556554,0.0595298644950863,1.1265959699254593,0.485121026927639,-0.2712138424749327,-2.333912705935901,0.2306481621748522,1.5995908525463798,0.8786045732860482,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,12.945
386,-19.8580144722222,-43.9805247222222,841.603,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2571.TIF,0.0569444120693852,0.097328171968673,0.09886646151647,0.0458400815278397,0.0709977915766741,0000SET_000_DJI_2571.T,114161.91774373314,6854.060096295748,105949.3293073988,inf,5837244.82138932,-0.4307288280373563,4.15463758930688,-0.1806456416969125,-0.3664407902577938,-0.1640643598186268,0.7181180603378498,0.4636565405974733,-0.3020234930856808,-4.253984333576213,0.261768869375555,1.7091786258163717,0.9844407342570792,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,40.911
416,-19.8581891111111,-43.9806590555556,841.471,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2581.TIF,0.0577968582749513,0.0972533471341685,0.1039144915732109,0.0464430178350411,0.0709765322900041,0000SET_000_DJI_2581.T,327067.09122767625,17335.546149380658,294764.7790804972,inf,7411179.308246854,-0.4742009880095619,4.093186564408297,-0.2124341544488495,-0.3822321476616293,-0.188334189803635,0.6830282400024927,0.4469349474930606,-0.3002153541702573,-4.229783345058376,0.2544755665115452,1.6826753224459838,0.9358978296655628,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,64.879
446,-19.8584225,-43.9808375833333,841.245,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2591.TIF,0.0604249592519621,0.1007832521998616,0.1039397730933264,0.0507749075063409,0.0762401578731945,0000SET_000_DJI_2591.T,111328.71990367644,8875.675714345583,171448.67763235111,inf,6717830.553455258,-0.4317663192200902,4.052750860466507,-0.1718250886271372,-0.3436316798181065,-0.153733077105456,0.7335032163745373,0.4885031590433689,-0.2397993060174625,-3.145314919419576,0.2503488661305593,1.6679076568279028,0.9696312508722664,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,96.849
506,-19.8584982222222,-43.9807474166667,841.351,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2611.TIF,0.0603891814793383,0.1052002047957921,0.1100924233668517,0.0515852589109126,0.0753204639521251,0000SET_000_DJI_2611.T,373948.3739392709,30446.96424094636,750958.6333464958,inf,6283660.311972582,-0.4724633567396009,4.217220179599357,-0.2099890590629536,-0.3618753289363899,-0.1875379857221376,0.6841566535522711,0.4685632065616304,-0.212865090075021,-2.8261255826878795,0.2706153113098644,1.742037269238126,0.9555626225543454,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,98.966
536,-19.8583933888889,-43.9805662222222,841.278,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2621.TIF,0.060125991479657,0.1026454772354298,0.1136062780829899,0.0509800889798714,0.0736208287729765,0000SET_000_DJI_2621.T,1010812.5863959072,76654.61703803405,1923343.062278116,inf,6425207.900019237,-0.5210194159911148,4.1415009949917,-0.2456539197296514,-0.3805065402482538,-0.2135665608547493,0.6480348622916434,0.4487435891758571,-0.2196668029272145,-2.983758897968915,0.2612219825220008,1.70717313277335,0.903519409028142,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,80.449
566,-19.85825075,-43.9803185277778,841.282,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2631.TIF,0.0588604178513287,0.1010197156183586,0.111259334812934,0.0490420464372471,0.070503262173931,0000SET_000_DJI_2631.T,969899.9684100332,77976.57296611491,1434464.0486414551,inf,3811422.766175343,-0.5186999056655699,4.164968961051963,-0.2549164286676693,-0.3881269636634314,-0.2242269494088941,0.6336840166487759,0.4407903976749815,-0.2398041772016019,-3.40132030500953,0.2636931609456227,1.7162588936000596,0.9079662015614978,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,59.508
596,-19.8581235555556,-43.9800971111111,841.367,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2641.TIF,0.0580910200758786,0.1042697400590755,0.1093630849785557,0.0480596207953816,0.069130179387978,0000SET_000_DJI_2641.T,799171.1539569518,66147.64014983979,1065129.5225957814,inf,2946530.485582434,-0.4917252586764691,4.336506061966928,-0.2477994409310239,-0.3894194543397526,-0.2254029345777436,0.6321162154627705,0.4394501197986989,-0.2483932891715142,-3.593123746684661,0.2844204470637683,1.7949373228922156,0.9534272015051612,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,49.864
626,-19.857998,-43.9798790555556,841.435,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2651.TIF,0.0583993499569818,0.09844767512931,0.1096781477307158,0.049836016842655,0.0711252821334647,0000SET_000_DJI_2651.T,530989.459366553,51562.126747283735,1071950.197146502,inf,2817002.903853725,-0.5208736286192622,4.098465313044926,-0.2457991509627973,-0.3751524577651883,-0.2132308309981287,0.6484909127759255,0.4543841947897724,-0.2092741099937613,-2.942330824095208,0.2553336612555769,1.6857666258584838,0.8976051945280924,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,53.709
656,-19.8578559722222,-43.9796332222222,841.788,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2661.TIF,0.057149049109905,0.101411576489162,0.1074122615482097,0.0492590909557103,0.0701491787099115,0000SET_000_DJI_2661.T,359158.61407997,38240.48432460314,813057.6795271246,inf,2041126.4847810369,-0.4956358453186692,4.295857412848644,-0.2350084246799128,-0.3711793487647614,-0.2098602195619095,0.6530835278840725,0.4585983969213925,-0.1966083185562303,-2.8027173257332976,0.2791520732970509,1.7745103036471257,0.9441340776876352,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,71.041
