,lat_d,long_d,Altitude,DateTime,Image Index,Degree,Image Index.1,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
686,-19.8577228333333,-43.9794046111111,841.91,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2671.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2671.TIF,0.0473347544489218,0.0849690775533867,0.088597480412745,0.0385205671200146,0.0589785869387564,0000SET_000_DJI_2671.T,-0.4856205004449709,4.369542723904091,-0.2238702615467086,-0.3939402332294718,-0.2007025529650507,0.6656914695993111,0.4347817448144192,-0.2851043466661084,-4.834031492856244,0.2844537647542078,1.795067462430285,0.9590462071556118,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,93.227
895,-19.8584813055556,-43.9781451666667,840.763,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2741.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2741.TIF,0.0450021180278288,0.0853297879447065,0.0906360155304522,0.0344905376497493,0.0523128233649478,0000SET_000_DJI_2741.T,-0.5347944557438026,4.584664430270772,-0.2940430578340517,-0.4487095380933635,-0.2680902654518701,0.5771747914864104,0.3805389882586029,-0.3542772433261785,-6.7722829803057785,0.3094228509585051,1.8961282642727952,0.9414556392986748,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,70.772
925,-19.8586673333333,-43.9780164166667,840.563,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2751.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2751.TIF,0.0451250273760542,0.0848722235352658,0.0872039520736557,0.0349125053240928,0.0524914748923662,0000SET_000_DJI_2751.T,-0.4957914726968006,4.5535941524760855,-0.2670247019682689,-0.4282096603838019,-0.2484868541167966,0.6019391741331855,0.4003546226277038,-0.3402697089602621,-6.482380418115234,0.3057541284955777,1.8808237572461537,0.9732612056799854,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,46.115
955,-19.8589344166667,-43.9778304444444,840.342,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2761.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2761.TIF,0.0440943890119462,0.0852887250534728,0.0880700145284063,0.0338774892737403,0.0506959380675803,0000SET_000_DJI_2761.T,-0.5156088977633216,4.663130397734344,-0.2888636336417814,-0.444392247196716,-0.2693317471731674,0.5756322210123936,0.3846654216551011,-0.3467350536040771,-6.839503652972383,0.3183903582711561,1.934230793636036,0.968419563800158,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,10.821
985,-19.8592053611111,-43.9776396388889,840.11,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2771.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2771.TIF,0.0438833971911191,0.0858390643361723,0.0865826608905174,0.0342391150698502,0.0510147949442111,0000SET_000_DJI_2771.T,-0.4974339367467333,4.706341267093926,-0.2741843280457905,-0.4332294026023679,-0.2584921772756299,0.589203362653853,0.3954500210284031,-0.3274487065424216,-6.418700827877753,0.3234263877749995,1.95607154027592,0.9914117151552392,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,25.679
1015,-19.8593563333333,-43.9775344444444,840.257,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2781.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2781.TIF,0.0431065250504442,0.0858505583126793,0.0878845827907275,0.0339523460237556,0.0506525029983546,0000SET_000_DJI_2781.T,-0.5215814389604267,4.777222374387486,-0.2887168259500181,-0.442659194480293,-0.2687517178545061,0.5763525454626023,0.3863288070059296,-0.3168162942140807,-6.254701652638413,0.3314593673142748,1.9915907907727453,0.9768557303970862,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,45.708
1045,-19.85951825,-43.9774214166667,840.173,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2791.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2791.TIF,0.0430533848278033,0.0855631709331661,0.087767335200221,0.0339900185730234,0.0505062523115451,0000SET_000_DJI_2791.T,-0.5225840730861182,4.769407572748872,-0.2897067385160327,-0.441676128469005,-0.2694736106814704,0.5754561443198281,0.3872741321755182,-0.3128066458217615,-6.193424209981579,0.3305156622633105,1.9873738447136111,0.97488628016304,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,67.228
1075,-19.85972675,-43.9772755277778,840.083,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2801.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2801.TIF,0.0429857003531226,0.0850789436352316,0.0873924023561549,0.033963856308286,0.050387902216651,0000SET_000_DJI_2801.T,-0.5219470306709741,4.754153643601242,-0.2889517277139268,-0.4402619744203124,-0.2685761238098438,0.5765707413706572,0.3886362589035061,-0.3113727422714687,-6.179513902616364,0.3286874657297046,1.9792382800865829,0.9735279193779895,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,94.971
1241,-19.8610445833333,-43.9763571111111,840.073,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2861.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2861.TIF,0.0460991470606278,0.0886711044574237,0.0948104083476507,0.0374720873159773,0.0579747724371652,0000SET_000_DJI_2861.T,-0.5493476322989987,4.634961501261618,-0.2733217122886472,-0.4334535778450616,-0.241094298028584,0.6114810963009818,0.3952317890940274,-0.2895350084053896,-4.9941551511771145,0.3158854192024246,1.923486877985116,0.9352465198998468,2022-05-12,09:39:30,-19.86159,-43.97565,A25,,,,,,0.6,60,10.84,5.93,272.2,0.271,29.01,9.37,3.96,143.6,0.385,0.13,281.4,183.0,10.87,7.35,23.274,0.32,4674,694.5,101,95.639
1271,-19.8612413611111,-43.9762194722222,839.931,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2871.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2871.TIF,0.0457190570610428,0.0920377190559779,0.0931345971563617,0.0367178579932648,0.056955892669682,0000SET_000_DJI_2871.T,-0.5151750888837269,4.808441164350302,-0.2626274039394393,-0.434468020632255,-0.2410459485381862,0.6115438774493216,0.3942450938142779,-0.3053967612045424,-5.361987090180524,0.3362350898484197,2.013114989075381,0.988222656951613,2022-05-12,09:39:30,-19.86159,-43.97565,A25,,,,,,0.6,60,10.84,5.93,272.2,0.271,29.01,9.37,3.96,143.6,0.385,0.13,281.4,183.0,10.87,7.35,23.274,0.32,4674,694.5,101,71.062
1301,-19.8615293888889,-43.9760198611111,839.994,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2881.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2881.TIF,0.0454173226766899,0.0911968094051831,0.0934742901521937,0.036501374202802,0.0580103905262731,0000SET_000_DJI_2881.T,-0.5269588682865973,4.799835370756922,-0.2595917353899159,-0.4383352547734211,-0.2341088185754858,0.6206026323582804,0.3904964043414601,-0.3119913798163115,-5.37819823286674,0.3351006666064203,2.0079741391711137,0.975635217520214,2022-05-12,09:39:30,-19.86159,-43.97565,A25,,,,,,0.6,60,10.84,5.93,272.2,0.271,29.01,9.37,3.96,143.6,0.385,0.13,281.4,183.0,10.87,7.35,23.274,0.32,4674,694.5,101,39.263
1331,-19.8616661111111,-43.9759246388889,840.03,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2891.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2891.TIF,0.0455600347607015,0.0923961233067232,0.09494024339604,0.0371047559501985,0.0596499934978125,0000SET_000_DJI_2891.T,-0.5344402651117003,4.8368604765169945,-0.2558077174125112,-0.437998316726782,-0.2282825268096272,0.6282898733362687,0.3908222121931715,-0.2983490830237206,-5.001661618532477,0.339499803431254,2.028008182873927,0.973202932725756,2022-05-12,09:39:30,-19.86159,-43.97565,A25,,,,,,0.6,60,10.84,5.93,272.2,0.271,29.01,9.37,3.96,143.6,0.385,0.13,281.4,183.0,10.87,7.35,23.274,0.32,4674,694.5,101,29.943
1361,-19.8620655833333,-43.9756464166667,840.059,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2901.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2901.TIF,0.0435939011438912,0.0884710180822057,0.0932054814211405,0.0357552138889891,0.0584339003592597,0000SET_000_DJI_2901.T,-0.560766467400105,4.846578418087615,-0.2632915786087855,-0.4454866453223814,-0.2293044237824446,0.6269363074820828,0.3836170721272541,-0.29386177515982,-5.028960472484588,0.339811035370296,2.0294356724393112,0.9492040246265928,2022-05-12,09:39:30,-19.86159,-43.97565,A25,,,,,,0.6,60,10.84,5.93,272.2,0.271,29.01,9.37,3.96,143.6,0.385,0.13,281.4,183.0,10.87,7.35,23.274,0.32,4674,694.5,101,52.884
