Blue,Green,Red,Near-IR,RedEdge,Image
0.06045384790877066,0.08441848137484928,0.0827492298195396,0.05076199624966252,0.07423384073438842,0000SET_000_DJI_2451.T
0.05887860975440715,0.08343684340032739,0.08533468557207238,0.04903368055137157,0.07267146905328056,0000SET_000_DJI_2461.T
0.057240447022183394,0.08185323636108016,0.08315410147848308,0.04679569040276056,0.07016756607740897,0000SET_000_DJI_2471.T
0.05590400609905485,0.08359077488631492,0.08125189754028515,0.04508661209095835,0.0681997352526529,0000SET_000_DJI_2481.T
0.0548297974301862,0.08880626258214874,0.08844302342449357,0.04330348254952424,0.0663256963303439,0000SET_000_DJI_2491.T
0.054741924968569736,0.08906842981843009,0.08813861461605225,0.04340819001476651,0.0667630685756286,0000SET_000_DJI_2501.T
0.053757003518746106,0.08780386702478934,0.09082137580699731,0.04179998667474145,0.06480090820563321,0000SET_000_DJI_2511.T
0.05385449513425091,0.08761097234347297,0.09065260062911266,0.042407399024478334,0.06563702612167864,0000SET_000_DJI_2521.T
0.05462640395878694,0.08703918339481614,0.09103062727888178,0.04625691454212239,0.06957813650902465,0000SET_000_DJI_2531.T
0.05220563873785269,0.0887018020081993,0.0914214014022233,0.04179757855199227,0.06399463325831523,0000SET_000_DJI_2541.T
0.05333071380925492,0.08615955014459895,0.09321171029223076,0.04590722866665178,0.05807239654716451,0000SET_000_DJI_2551.T
0.05282191553139918,0.08395924383634192,0.09643763981282924,0.04671647820168917,0.10796321617542261,0000SET_000_DJI_2561.T
0.05289876586561613,0.08968492501719923,0.09234516918460177,0.043711645253768236,0.06638083716665372,0000SET_000_DJI_2571.T
0.05264277221009592,0.08863238146510155,0.09530207486130504,0.04260807906418859,0.06441533162967081,0000SET_000_DJI_2581.T
0.053059399846290836,0.08925167849041513,0.09203238055386624,0.04415319865475598,0.06625556526364987,0000SET_000_DJI_2591.T
0.05338539778462589,0.08936835125648832,0.09251183735586065,0.04432003924633401,0.06576641780115187,0000SET_000_DJI_2601.T
0.05199718426748547,0.09199330283977357,0.09451705372520465,0.042720428872015846,0.06419706381006417,0000SET_000_DJI_2611.T
0.05143426592401224,0.08990844570992144,0.09731566453067238,0.04197644114722673,0.06288886067862018,0000SET_000_DJI_2621.T
0.05077609769393481,0.08874046422917028,0.09564372599046472,0.04070712186947351,0.0607559101952396,0000SET_000_DJI_2631.T
0.05042613435116345,0.09183156396855677,0.09434690838834396,0.040357515331615704,0.05994569791014368,0000SET_000_DJI_2641.T
0.0510527866196088,0.08729990650621317,0.09504385284806305,0.04213008462881501,0.062288707405953436,0000SET_000_DJI_2651.T
