,lat_d,long_d,Altitude,DateTime,Image Index,Degree,Image Index.1,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
24,-19.8556835833333,-43.9787620833333,844.157,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2451.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2451.TIF,0.0612118053524447,0.0876259790770126,0.0841514024561884,0.0511963802046627,0.0754437157119787,0000SET_000_DJI_2451.T,-0.2617899091727418,3.4729739944356237,-0.0585045442431775,-0.2434840202303353,-0.054561109663983,0.896523569541896,0.6083841589130613,-0.2411115501349785,-3.195912977768348,0.1774695439455905,1.4315209063428311,1.0412895866189888,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,40.342
54,-19.8558574166667,-43.9788934444444,842.345,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2461.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2461.TIF,0.0592296382847301,0.0859880241161158,0.0859794310529703,0.0489352955738067,0.0728708311632996,0000SET_000_DJI_2461.T,-0.3110874222684549,3.531344276508081,-0.0902686331190685,-0.2745744397617993,-0.0825217390691098,0.8475379549604748,0.5691511908663199,-0.2588159572609936,-3.551708593538628,0.1842639895794785,1.45177358171178,1.0000999432427065,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,16.628
84,-19.8559793055556,-43.9789862222222,842.223,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2471.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2471.TIF,0.057192977685996,0.0842221150746362,0.0831799090268169,0.0458704273344422,0.0696826990385071,0000SET_000_DJI_2471.T,-0.3085523477745925,3.590771706011946,-0.0954439142585438,-0.2891079771224448,-0.0882963476754363,0.8377347349110666,0.5514604171982652,-0.3007417554324573,-4.315874091878467,0.1911333285648043,1.4725953863958097,1.0125295406067742,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,0.041
114,-19.8561700833333,-43.9791280555556,842.318,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2481.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2481.TIF,0.0555909177382188,0.0858462048517348,0.081035176072439,0.0436565693153248,0.0676847367442882,0000SET_000_DJI_2481.T,-0.2963935141706618,3.774909578387879,-0.0943913385940099,-0.2997680932356427,-0.0897690099146509,0.835251307207421,0.5387360333036026,-0.3328403797792484,-4.917510147623293,0.2139133387295384,1.5442487432207916,1.0593696344288204,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,25.926
144,-19.8564397777778,-43.9793344166667,842.07,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2491.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2491.TIF,0.054335298573347,0.0914002218586168,0.0880360588490224,0.0416293406988901,0.0657178927289248,0000SET_000_DJI_2491.T,-0.3687163946692131,4.101892047247919,-0.1531415680538689,-0.3578959252964365,-0.1451550733561678,0.7464883547504986,0.4728669279741658,-0.3691555903468045,-5.6172767418077285,0.2543300574589395,1.682151828709214,1.0382134667723346,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,62.872
174,-19.8565625833333,-43.9794275277778,841.881,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2501.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2501.TIF,0.0543580096519569,0.0917480856358565,0.0879608147216128,0.0417557885932091,0.0658524214826052,0000SET_000_DJI_2501.T,-0.3662507488496678,4.114604695534952,-0.151317391621865,-0.3561997843580917,-0.1437353103321632,0.748656338518709,0.4747089795082277,-0.3656272921488008,-5.552222437946046,0.2559104458321546,1.6878485107034005,1.0430563419203205,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,79.644
236,-19.8569875277778,-43.9797491666667,842.098,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2521.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2521.TIF,0.0538699765607085,0.0903645488857896,0.0912110155531524,0.0416639808268711,0.0658428841407659,0000SET_000_DJI_2521.T,-0.4132266408991726,4.092702717889146,-0.1758811306367592,-0.3728845612501573,-0.1615250016830295,0.721874257637188,0.4567867222418085,-0.3580754206116432,-5.438331344145126,0.2530224452994666,1.677456621573869,0.9907196881623412,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,99.157
266,-19.8571922222222,-43.9799035,841.908,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2531.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2531.TIF,0.0547447024537066,0.0894468931550053,0.0916882210881443,0.0457915725286981,0.0698849463918265,0000SET_000_DJI_2531.T,-0.4130218203377632,3.990657649765174,-0.1512104405549727,-0.3338428677552472,-0.1349436607351317,0.7622020098376949,0.4994269927505351,-0.2495921175895293,-3.571471833005809,0.2406672216560313,1.6338913017317738,0.9755548978206884,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,71.254
296,-19.8573895277778,-43.9800518611111,841.891,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2541.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2541.TIF,0.0525181604579752,0.0916423181480035,0.092358732000385,0.0413857052512207,0.0648901816744036,0000SET_000_DJI_2541.T,-0.4347398925250534,4.24591041323281,-0.1905414756637899,-0.3811225931832341,-0.1746819719390238,0.7025884858849416,0.4480973737388272,-0.332361017825373,-5.121899943092242,0.2713930896203734,1.7449643580211702,0.9922431389337556,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,44.382
326,-19.8576064166667,-43.9802161944444,841.734,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2551.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2551.TIF,0.0536506102515913,0.0887242312894187,0.0939219486374417,0.0444390839647402,0.0578746289422151,0000SET_000_DJI_2551.T,-0.4538933479681011,4.039533911001207,-0.2531860215264467,-0.3576358440094582,-0.2374712280737054,0.6161991928598419,0.4731490839940335,-0.2236042485466924,-3.863597100034109,0.2463470417821305,1.653741325091211,0.9446591832534558,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,14.769
356,-19.8578095,-43.98036975,841.593,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2561.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2561.TIF,0.0529831645819513,0.0863443057925429,0.0968448546107474,0.0445800782323322,0.1060259468079133,0000SET_000_DJI_2561.T,-0.5079859016317925,3.986078449997864,0.0658957790053053,-0.3695584316550919,0.0452558580779648,1.0948020649529375,0.4603246957364413,-0.3772005046948491,-3.55762448769471,0.2394441033122985,1.6296555042307923,0.8915734980406569,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,12.945
386,-19.8580144722222,-43.9805247222222,841.603,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2571.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2571.TIF,0.0527451352677221,0.0919348144921498,0.0922908988666025,0.042628173088088,0.0661262131469779,0000SET_000_DJI_2571.T,-0.4301500342099146,4.24096455245666,-0.1808452778913085,-0.3680927022325842,-0.1651632540642554,0.716497660755877,0.461889239476396,-0.2975395132180272,-4.499569823493292,0.2708715291197679,1.7430008289012808,0.9961417173434688,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,40.911
416,-19.8581891111111,-43.9806590555556,841.471,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2581.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2581.TIF,0.0522129713434367,0.0904850170791307,0.0947425151978764,0.0414852490608274,0.0641682837073906,0000SET_000_DJI_2581.T,-0.4700175258545498,4.220833451196743,-0.2142583215675557,-0.3909428186453284,-0.1923987022978363,0.6772913255825078,0.4378736301668005,-0.3178014211488243,-4.952624611217729,0.2682031201614427,1.7329988075942913,0.9550624330602412,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,64.879
446,-19.8584225,-43.9808375833333,841.245,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2591.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2591.TIF,0.0524224605067238,0.091279306386745,0.0913714024193614,0.0429590338285599,0.0660858415925981,0000SET_000_DJI_2591.T,-0.4267006778909257,4.238093535926012,-0.1759585937833901,-0.3603976131027465,-0.1605868373057689,0.7232661406387111,0.470158415993153,-0.277705793541603,-4.202198032879515,0.2703992213876336,1.7412251448029104,0.9989920693983254,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,96.849
506,-19.8584982222222,-43.9807474166667,841.351,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2611.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2611.TIF,0.0517785208961473,0.0942860444446955,0.0945550072140635,0.0422830696295641,0.0640872847290785,0000SET_000_DJI_2611.T,-0.4536884177276862,4.409297183429638,-0.2085907859574862,-0.3819984816377785,-0.1920529646401272,0.6777777995827446,0.4471795928674541,-0.2779529785389781,-4.337100248730959,0.2910187248314234,1.820948972911103,0.9971554888811008,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,98.966
536,-19.8583933888889,-43.9805662222222,841.278,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2621.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2621.TIF,0.0511108902893977,0.0922215626656252,0.0974280745851953,0.0415135275094686,0.0628825816104182,0000SET_000_DJI_2621.T,-0.5022381204245407,4.376743545975906,-0.2410165476315215,-0.4024320018825673,-0.2154909336321608,0.6454256832862992,0.426094097478724,-0.2844324817192728,-4.523231623686215,0.2868204061862239,1.804342717245827,0.9465604555798,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,80.449
