,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
356,-19.8578095,-43.98036975,841.593,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2561.TIF,0.0483260105646577,0.0763605400677736,0.0882616884050781,0.0428377609974402,0.0985461266260819,0000SET_000_DJI_2561.T,20569.88979596889,159.4201954869708,52374.752511825245,inf,624718277873.8247,-0.5229884152859002,3.8841010441928017,0.0824823380616385,-0.3464845017630207,0.055053575886471,1.1165221106331351,0.4853494395080657,-0.2612556568350413,-2.6511002083961728,0.2248400437811457,1.5801126386298152,0.8651606540463622,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,12.945
386,-19.8580144722222,-43.9805247222222,841.603,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2571.TIF,0.0480421962468693,0.0807874372689333,0.0838653571678385,0.0404254730573907,0.0606816452363866,0000SET_000_DJI_2571.T,13385.263514856048,1696.0608931770084,19314.35782902444,inf,329754.4880533272,-0.4434248954044362,4.120331946655744,-0.1799563601848492,-0.3495019224807635,-0.1603887423871907,0.7235603267621614,0.4820282703439491,-0.2379838883312231,-3.921843045028723,0.2541747587758788,1.6815933404417969,0.9632992691756452,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,40.911
416,-19.8581891111111,-43.9806590555556,841.471,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2581.TIF,0.0474831388324134,0.079639772225109,0.0860654995999937,0.0391708868099582,0.0587668954678365,0000SET_000_DJI_2581.T,30561.89272358048,3250.2974777579616,36884.75634197738,inf,369979.6443537916,-0.4844609632800527,4.112366101238029,-0.2147418109376423,-0.3744487854873863,-0.1884841034312267,0.6828159453087146,0.4551287913509197,-0.2626325962899404,-4.469056842277485,0.252957025017661,1.6772221505024962,0.9253391033021416,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,64.879
446,-19.8584225,-43.9808375833333,841.245,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2591.TIF,0.0470928141807622,0.079263387023668,0.0817007588129406,0.0394731208015532,0.0591754617106024,0000SET_000_DJI_2591.T,10252.84936205724,1389.6215370987077,14108.952707387863,inf,232483.4203459693,-0.4366195532603784,4.1269808625354525,-0.1782682360471947,-0.3484879591685244,-0.159894246300949,0.7242951298174428,0.483142646103564,-0.2425621553600662,-4.099032746821926,0.2546022477429296,1.683131246296335,0.9701670850468704,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,96.849
506,-19.8584982222222,-43.9807474166667,841.351,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2611.TIF,0.0459502447533962,0.0813897537865004,0.0833333288002164,0.0376610117098521,0.0569558772758774,0000SET_000_DJI_2611.T,23632.776076811675,2495.625073577976,26566.112932432374,inf,290073.3602358266,-0.4593094622805051,4.323820389000089,-0.2071419179110069,-0.3774748215315384,-0.1880219602214564,0.6834705644895526,0.4519321651021614,-0.2728180394259423,-4.789989242102138,0.278306183755772,1.7712583300328308,0.9766770985667028,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,98.966
536,-19.8583933888889,-43.9805662222222,841.278,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2621.TIF,0.0454309983844468,0.0796391835850627,0.0858121957888811,0.0369704254857848,0.0557497787989187,0000SET_000_DJI_2621.T,52991.30242459149,4788.787746067755,55600.52148658799,inf,338063.7659838969,-0.5070518755544887,4.286407441750452,-0.2403643819538954,-0.3977905814035097,-0.2123622327076049,0.6496719759517253,0.4308295009341219,-0.2808252735835512,-5.037244624708681,0.2735119167649041,1.7529701397081114,0.9280636959925194,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,80.449
566,-19.85825075,-43.9803185277778,841.282,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2631.TIF,0.0448589292145789,0.0786952423393327,0.0843982201813692,0.0359941439169781,0.0540503534624098,0000SET_000_DJI_2631.T,49402.48642299429,4697.562194390865,44517.11569952829,inf,239880.99781326292,-0.5024355957415756,4.291264174729541,-0.2456239747900168,-0.4020527101274488,-0.2191995621207545,0.6404205366683947,0.4264798930549457,-0.2967467754308738,-5.490191209151874,0.2738581198773177,1.754282674980953,0.9324277475309198,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,59.508
596,-19.8581235555556,-43.9800971111111,841.367,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2641.TIF,0.0445149538640448,0.0813264267236681,0.0831278367089481,0.0355575701053327,0.0531294943579788,0000SET_000_DJI_2641.T,40683.37715703239,4206.348468172361,35033.65378192599,inf,180042.29713467805,-0.4747888773731891,4.445910095966784,-0.2383821777134756,-0.4008097362639829,-0.2201594741073764,0.6391300009887037,0.4277456446969608,-0.3006622208591014,-5.659045403919773,0.2925227988417155,1.8269462206352265,0.9783296419515016,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,49.864
626,-19.857998,-43.9798790555556,841.435,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2651.TIF,0.0450523990329311,0.0773253189600891,0.0838169159250285,0.0371541410957903,0.0552054904477336,0000SET_000_DJI_2651.T,30533.81257571913,3513.0877799102177,36730.30625433647,inf,200932.7153805173,-0.5013172582204986,4.207926533912831,-0.233796036946258,-0.3857350343000447,-0.2058044183221718,0.6586437813712105,0.4432773585826454,-0.2604884293062912,-4.718523958281132,0.2637156539313691,1.716341873460902,0.9225502764770548,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,53.709
656,-19.8578559722222,-43.9796332222222,841.788,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2661.TIF,0.045011404634961,0.0809950380817577,0.0837606289945414,0.0383550671379356,0.0562113650234928,0000SET_000_DJI_2661.T,21803.501631908555,3003.0685785753426,36563.46948096439,inf,166244.23520487628,-0.4784147927736796,4.386778463688364,-0.2186337728221044,-0.3718241249458026,-0.1968198293117058,0.6710953069270295,0.4579128356406584,-0.2167275654709493,-3.855582681195713,0.2855697904883584,1.7994336932744308,0.9669822093508404,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,71.041
686,-19.8577228333333,-43.9794046111111,841.91,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2671.TIF,0.0453000670635883,0.0786704578802598,0.0845084681138343,0.0376865326151036,0.0557493647490278,0000SET_000_DJI_2671.T,31238.226917780416,3709.161095355512,41237.58629734432,inf,206462.0442549441,-0.4983878587553548,4.251517242198954,-0.2319833958744049,-0.3831739041648244,-0.2050445438788854,0.6596896854636211,0.4459497782439887,-0.2486229490767053,-4.459655283893454,0.2691800396246323,1.7366521283473828,0.9309180445004562,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,93.227
895,-19.8584813055556,-43.9781451666667,840.763,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2741.TIF,0.0426842125073958,0.078662322146122,0.0855972899302683,0.033057599210175,0.049250166847129,0000SET_000_DJI_2741.T,180696.55634522164,13965.938658166204,105965.95118286036,inf,182156.2976516228,-0.5455353497339906,4.485475114645668,-0.2995316115694748,-0.4427941494927008,-0.2695425182778211,0.5753706324960822,0.3861991336069789,-0.3360026086699189,-6.822364880770063,0.2964906228385913,1.8428903223291837,0.9189814561910096,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,70.772
925,-19.8586673333333,-43.9780164166667,840.563,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2751.TIF,0.0426955410435261,0.0780515941713213,0.0821186491124327,0.0332642507999646,0.0494127263665729,0000SET_000_DJI_2751.T,64312.20928577913,6345.373734185775,42053.00011268811,inf,118519.56269307836,-0.5050903634636067,4.454967426953783,-0.2708629292750143,-0.4234110804075826,-0.2486549131471689,0.6017235658482337,0.4050754750534299,-0.3281328113177569,-6.640653844587995,0.2928106995241384,1.82809708610441,0.9504734310041684,2022-05-12,09:36:30,-19.859002,-43.977756,P5,,,,,,0.6,60,7.07,4.61,269.4,0.305,29.54,9.55,4.21,138.2,0.433,0.13,277.4,180.0,7.54,7.4,23.489,0.362,4674,694.5,115,46.115
