,lat_d,long_d,Altitude,DateTime,Image Index,Degree,Image Index.1,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
24,-19.8556835833333,-43.9787620833333,844.157,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2451.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2451.TIF,0.0647388020509719,0.0925083860257946,0.0889758464940215,0.054447755183258,0.0798420954925881,0000SET_000_DJI_2451.T,-0.2619983493852271,3.4572108665503087,-0.0580853057733178,-0.2407420459880508,-0.0541041484924504,0.8973457251452267,0.6119386027635767,-0.233102453647168,-2.919543283640488,0.176598286522401,1.4289480666163454,1.0397022301103982,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,40.342
54,-19.8558574166667,-43.9788934444444,842.345,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2461.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2461.TIF,0.0631620751400168,0.091465112499019,0.0920015219525919,0.0528870277499308,0.0784088747942576,0000SET_000_DJI_2461.T,-0.3153054320343662,3.5114866969922858,-0.0879059327526877,-0.269962631850266,-0.0797641893793994,0.8522562793543942,0.5748494875680787,-0.2411812295142567,-3.07594299940037,0.1830404975422127,1.4481017651218775,0.994169558913935,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,16.628
84,-19.8559793055556,-43.9789862222222,842.223,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2471.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2471.TIF,0.0609937745929138,0.0891768000223635,0.0891853419325054,0.0497930486750248,0.0751355557189212,0000SET_000_DJI_2471.T,-0.3161311835872311,3.553347004073377,-0.0935588496586525,-0.2834418580131854,-0.0855021267190736,0.8424652985664736,0.5583097804649075,-0.2771005865031491,-3.6880087443522775,0.187673420719418,1.4620639666515076,0.9999042229366756,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,0.041
114,-19.8561700833333,-43.9791280555556,842.318,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2481.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2481.TIF,0.0583306980221056,0.0903265667435495,0.0854990664306358,0.0453881279944822,0.0707910219392268,0000SET_000_DJI_2481.T,-0.3007793763009417,3.7776660582814663,-0.0989392917634729,-0.3064542609559983,-0.0941073400419495,0.8279742094805043,0.5308610946214828,-0.3460662611447366,-4.888561454047522,0.2152324595227991,1.5485253872552394,1.0564626084757331,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,25.926
144,-19.8564397777778,-43.9793344166667,842.07,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2491.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2491.TIF,0.0566005730681481,0.0951260387702927,0.0917458746616637,0.0431003926798825,0.0684547897558722,0000SET_000_DJI_2491.T,-0.3694603711858889,4.091991893844394,-0.1535069202665117,-0.3607477087858071,-0.145386943246922,0.7461347990666249,0.4697801709213213,-0.3788273772129934,-5.533979120584426,0.2539137019889872,1.6806550466504864,1.0368426822578587,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,62.872
174,-19.8565625833333,-43.9794275277778,841.881,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2501.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2501.TIF,0.0563151396838562,0.0952806099870428,0.0910732059939404,0.0429709337274951,0.0684938793016842,0000SET_000_DJI_2501.T,-0.3647968491680621,4.118048525973704,-0.1489443255584271,-0.3588539742685452,-0.1415036606730281,0.7520749769832575,0.471828495093872,-0.3776978773144121,-5.51433034842173,0.2570353745918153,1.6919182039134102,1.0461980441688012,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,79.644
236,-19.8569875277778,-43.9797491666667,842.098,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2521.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2521.TIF,0.0556524304164288,0.0940373081299279,0.094218428493886,0.0422756329353936,0.0675240019898072,0000SET_000_DJI_2521.T,-0.4101138031745014,4.115039631994911,-0.1783317063902274,-0.3805498570016911,-0.1650428179188894,0.7166751034718113,0.448698132745198,-0.3839158765083904,-5.685620893239456,0.2564295861977999,1.689725092440307,0.9980776545856966,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,99.157
266,-19.8571922222222,-43.9799035,841.908,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2531.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2531.TIF,0.0564391721448287,0.0925665367112958,0.0944055334832973,0.0464665038842904,0.0718062728017482,0000SET_000_DJI_2531.T,-0.4101521207051447,4.000143528739562,-0.151667079436334,-0.3403019541338505,-0.1359666391134239,0.7606150842254656,0.492201062478096,-0.2730568807325718,-3.8026884014222766,0.2424562444204779,1.6401115252676028,0.98052024384432,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,71.254
296,-19.8573895277778,-43.9800518611111,841.891,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2541.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2541.TIF,0.0538639407965007,0.0950446464247825,0.0949092893925269,0.0418288853108037,0.0661388284375022,0000SET_000_DJI_2541.T,-0.4318533461904046,4.284014202002146,-0.1932088772843625,-0.3881900880780902,-0.1786451238467075,0.6968635932354788,0.4407248813949847,-0.353289051789284,-5.34162851286554,0.276550240632435,1.764531985950741,1.0014261726446585,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,44.382
326,-19.8576064166667,-43.9802161944444,841.734,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2551.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2551.TIF,0.0551513097370252,0.0923458543693706,0.0968442554940703,0.0456344696854724,0.0597591109474368,0000SET_000_DJI_2551.T,-0.4514869242562758,4.082067979592837,-0.251429542875024,-0.3594205783640088,-0.2368093699983465,0.6170640751231321,0.471215039577299,-0.2259685815290551,-3.781324352830712,0.2521712526317823,1.6744090903678983,0.9535501501689468,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,14.769
356,-19.8578095,-43.98036975,841.593,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2561.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2561.TIF,0.0548451798609879,0.0900918674784636,0.1002750901629737,0.0461505951842684,0.1108109955924137,0000SET_000_DJI_2561.T,-0.5042620557604247,4.010591505731156,0.0726929768671515,-0.3696379829150291,0.049912837180795,1.1050700170133614,0.460239877214385,-0.380641316644398,-3.435050056264068,0.2431861850678231,1.6426578909361391,0.8984471350964666,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,12.945
386,-19.8580144722222,-43.9805247222222,841.603,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2571.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2571.TIF,0.0554459707326925,0.0972866180837877,0.0968486917196519,0.0447129459617828,0.069980394557894,0000SET_000_DJI_2571.T,-0.425574676172847,4.258089472677257,-0.1759172509937757,-0.3682900721676697,-0.1610528341386366,0.7225744954869022,0.4616783682655565,-0.3029669412204156,-4.329311704148431,0.2739470840854398,1.754620160819455,1.004521758181344,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,40.911
