Latitude,Longitude,Altitude,Gimbal Degree,DateTime,Image Index
-19.8620655833333,-43.9756464166667,840.059,90.0,2022:05:12 08:29:09, _Campo220512-Pampulha_0000SET_000_DJI_2901.TIF
-19.8621671388889,-43.9755763333333,840.079,90.0,2022:05:12 08:29:11, _Campo220512-Pampulha_0000SET_000_DJI_2911.TIF
-19.8622891666667,-43.9754591388889,840.419,90.0,2022:05:12 08:29:17, _Campo220512-Pampulha_0000SET_000_DJI_2921.TIF
-19.8620059444444,-43.9753003333333,840.315,90.0,2022:05:12 08:29:24, _Campo220512-Pampulha_0000SET_000_DJI_2931.TIF
-19.8618434722222,-43.9753996111111,840.45,90.0,2022:05:12 08:29:29, _Campo220512-Pampulha_0000SET_000_DJI_2941.TIF
-19.8616665555556,-43.9755048055556,840.141,89.9,2022:05:12 08:29:33, _Campo220512-Pampulha_0000SET_000_DJI_2951.TIF
-19.8614083333333,-43.975659,840.068,89.9,2022:05:12 08:29:39, _Campo220512-Pampulha_0000SET_000_DJI_2961.TIF
-19.8612299722222,-43.9757666388889,840.121,89.9,2022:05:12 08:29:43, _Campo220512-Pampulha_0000SET_000_DJI_2971.TIF
-19.8609221666667,-43.9759509166667,840.212,89.9,2022:05:12 08:29:50, _Campo220512-Pampulha_0000SET_000_DJI_2981.TIF
-19.8607351111111,-43.9760625277778,840.326,89.9,2022:05:12 08:29:53, _Campo220512-Pampulha_0000SET_000_DJI_2991.TIF
-19.8604359166667,-43.97623975,841.406,90.0,2022:05:12 08:29:57, _Campo220512-Pampulha_0000SET_000_DJI_3001.TIF
-19.8601655277778,-43.9764008611111,841.864,89.9,2022:05:12 08:30:00, _Campo220512-Pampulha_0000SET_000_DJI_3011.TIF
-19.8598740277778,-43.9765741666667,841.891,90.0,2022:05:12 08:30:04, _Campo220512-Pampulha_0000SET_000_DJI_3021.TIF
-19.8594928888889,-43.9767990555556,842.157,90.0,2022:05:12 08:30:08, _Campo220512-Pampulha_0000SET_000_DJI_3031.TIF
-19.8590936666667,-43.9770362777778,842.259,89.9,2022:05:12 08:30:13, _Campo220512-Pampulha_0000SET_000_DJI_3041.TIF
-19.8587871944444,-43.9772172222222,842.05,90.0,2022:05:12 08:30:16, _Campo220512-Pampulha_0000SET_000_DJI_3051.TIF
-19.8583964166667,-43.9774502777778,842.151,89.9,2022:05:12 08:30:20, _Campo220512-Pampulha_0000SET_000_DJI_3061.TIF
-19.8580828333333,-43.9776370833333,842.235,89.9,2022:05:12 08:30:23, _Campo220512-Pampulha_0000SET_000_DJI_3071.TIF
-19.8575461944444,-43.9779383888889,842.29,89.9,2022:05:12 08:30:51, _Campo220512-Pampulha_0000SET_000_DJI_3081.TIF
-19.8570560277778,-43.97805325,842.041,89.9,2022:05:12 08:31:12, _Campo220512-Pampulha_0000SET_000_DJI_3091.TIF
-19.8568971388889,-43.9780231111111,841.952,89.9,2022:05:12 08:31:19, _Campo220512-Pampulha_0000SET_000_DJI_3101.TIF
-19.8568842777778,-43.9781691111111,842.122,89.9,2022:05:12 08:31:48, _Campo220512-Pampulha_0000SET_000_DJI_3111.TIF
-19.8567063333333,-43.9781531944444,841.495,89.9,2022:05:12 08:31:52, _Campo220512-Pampulha_0000SET_000_DJI_3121.TIF
-19.8564164166667,-43.9781271388889,841.657,90.0,2022:05:12 08:31:58, _Campo220512-Pampulha_0000SET_000_DJI_3131.TIF
-19.8560958888889,-43.9781014444444,841.823,90.0,2022:05:12 08:32:03, _Campo220512-Pampulha_0000SET_000_DJI_3141.TIF
-19.85575325,-43.9780717777778,841.975,90.0,2022:05:12 08:32:07, _Campo220512-Pampulha_0000SET_000_DJI_3151.TIF
-19.8554440833333,-43.9780461944444,842.784,89.9,2022:05:12 08:32:11, _Campo220512-Pampulha_0000SET_000_DJI_3161.TIF
-19.855075,-43.9780128888889,842.819,90.0,2022:05:12 08:32:16, _Campo220512-Pampulha_0000SET_000_DJI_3171.TIF
-19.8549101388889,-43.9779751111111,842.172,90.0,2022:05:12 08:32:20, _Campo220512-Pampulha_0000SET_000_DJI_3181.TIF
-19.8547058888889,-43.9779225833333,841.75,89.9,2022:05:12 08:32:24, _Campo220512-Pampulha_0000SET_000_DJI_3191.TIF
-19.8545368888889,-43.9778806111111,841.66,90.0,2022:05:12 08:32:27, _Campo220512-Pampulha_0000SET_000_DJI_3201.TIF
-19.8543477777778,-43.9778324722222,841.932,90.0,2022:05:12 08:32:31, _Campo220512-Pampulha_0000SET_000_DJI_3211.TIF
-19.8541706944444,-43.9777870277778,841.641,90.0,2022:05:12 08:32:34, _Campo220512-Pampulha_0000SET_000_DJI_3221.TIF
-19.8539969722222,-43.9777423055556,841.438,90.0,2022:05:12 08:32:38, _Campo220512-Pampulha_0000SET_000_DJI_3231.TIF
-19.8538231944444,-43.9776997777778,841.476,90.0,2022:05:12 08:32:41, _Campo220512-Pampulha_0000SET_000_DJI_3241.TIF
-19.8537472222222,-43.9777716388889,842.16,90.0,2022:05:12 08:32:45, _Campo220512-Pampulha_0000SET_000_DJI_3251.TIF
-19.8536416944444,-43.9779946666667,842.004,90.0,2022:05:12 08:32:49, _Campo220512-Pampulha_0000SET_000_DJI_3261.TIF
-19.853512,-43.9782742777778,842.146,90.0,2022:05:12 08:32:53, _Campo220512-Pampulha_0000SET_000_DJI_3271.TIF
-19.8533901388889,-43.9785373611111,842.633,89.9,2022:05:12 08:32:57, _Campo220512-Pampulha_0000SET_000_DJI_3281.TIF
-19.8532335277778,-43.9788727222222,842.864,90.0,2022:05:12 08:33:01, _Campo220512-Pampulha_0000SET_000_DJI_3291.TIF
-19.8530943055556,-43.9791729166667,842.808,90.0,2022:05:12 08:33:05, _Campo220512-Pampulha_0000SET_000_DJI_3301.TIF
-19.8529894444444,-43.9794008611111,842.741,89.9,2022:05:12 08:33:08, _Campo220512-Pampulha_0000SET_000_DJI_3311.TIF
-19.8528875833333,-43.9796188333333,842.686,90.0,2022:05:12 08:33:11, _Campo220512-Pampulha_0000SET_000_DJI_3321.TIF
-19.852786,-43.9798362777778,842.449,90.0,2022:05:12 08:33:14, _Campo220512-Pampulha_0000SET_000_DJI_3331.TIF
-19.8527029444444,-43.9800150277778,842.264,90.0,2022:05:12 08:33:16, _Campo220512-Pampulha_0000SET_000_DJI_3341.TIF
-19.8526086111111,-43.9802201388889,842.171,90.0,2022:05:12 08:33:19, _Campo220512-Pampulha_0000SET_000_DJI_3351.TIF
-19.8525221388889,-43.9804048888889,841.972,90.0,2022:05:12 08:33:22, _Campo220512-Pampulha_0000SET_000_DJI_3361.TIF
-19.8524456388889,-43.9805692222222,841.859,90.0,2022:05:12 08:33:24, _Campo220512-Pampulha_0000SET_000_DJI_3371.TIF
-19.852355,-43.9807616388889,841.642,89.9,2022:05:12 08:33:27, _Campo220512-Pampulha_0000SET_000_DJI_3381.TIF
-19.8522551666667,-43.9809761111111,841.535,90.0,2022:05:12 08:33:30, _Campo220512-Pampulha_0000SET_000_DJI_3391.TIF
-19.8521735,-43.9811538611111,841.571,89.9,2022:05:12 08:33:33, _Campo220512-Pampulha_0000SET_000_DJI_3401.TIF
-19.8520918055556,-43.9813293333333,841.529,89.9,2022:05:12 08:33:36, _Campo220512-Pampulha_0000SET_000_DJI_3411.TIF
