Degree,Image Index
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3361.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3371.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3381.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3391.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3401.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3411.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3421.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3431.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3441.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3451.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3461.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3471.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3481.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3491.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3501.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3511.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3521.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3531.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3541.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3551.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3561.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3571.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3581.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3591.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3601.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3611.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3621.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3631.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3641.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3651.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_3661.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3671.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3681.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_3691.TIF
