,lat_d,long_d,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
1106,-18.7009934,-45.1968432,2021-05-05, _Campo2021-05-TM_0000SET_000_IMG_0185,0.0102666818574126,0.0154467146035281,0.0053069925717515,0.0032999409094681,0.0007930352012449,0000SET_000_IMG_0041,1.593787746920651,9.761550565736636,1.2031203141006774,0.4945870866170017,0.3210837652511742,3.94671769520418,-0.1755488574744847,-0.2331900980369842,-0.7399896424224467,0.1494321295013928,0.6218099733233656,-0.163074426392403,-205.6332759711172,0.2014526845562428,1.504547897563952,2.9106342989340424,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,73.5
1316,-18.7013315,-45.1965885,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0220,0.010665536373805,0.0151659176960247,0.0055289921615616,0.0034249357680702,0.0007792109286902,0000SET_000_IMG_0048,1.6281778437838983,12.390572919379366,1.2131337593219045,0.4680746210144179,0.3386899701816128,3.727202798819421,-0.1838758755132948,-0.2349869699674835,-0.7529531254647361,0.1409318201077211,0.6194502846071799,-0.1544523409685987,-198.2163433310959,0.1742209830717969,1.421955461449911,2.7429805022080664,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,46.538
1436,-18.701799,-45.1963693,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0240,0.0108008697026472,0.0152898251081163,0.0055782249276141,0.0034755720571625,0.0008011271272455,0000SET_000_IMG_0052,1.6306070462083968,12.08388458465186,1.2143377506709263,0.4610957278712658,0.3415764888154778,3.7082808668155582,-0.1830958445153345,-0.2322398960333526,-0.7488374617496693,0.1436168561937418,0.6230605797118799,-0.1563297703017828,-195.13728219301288,0.1720519686435188,1.415610550728975,2.740983970084551,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,71.381
1466,-18.7009473,-45.1962405,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0245,0.0108246671084042,0.0153559710984134,0.0056095462397327,0.0034823442995007,0.0008146253178958,0000SET_000_IMG_0053,1.6380345063346085,11.919548448068907,1.2164710323847248,0.4633241968831157,0.3396151786981634,3.715927023919036,-0.1831475949500831,-0.2339669545132204,-0.7463874335894849,0.1452212501834404,0.620788946320663,-0.1586737629213046,-194.7812809589117,0.1730784388911199,1.4186090846610078,2.737471168282076,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,27.209
1646,-18.7010998,-45.1959297,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0275,0.0111475825576886,0.0156499332924723,0.0058136037686988,0.0036778888227081,0.0009397775363331,0000SET_000_IMG_0059,1.6518107565763307,10.047099167091528,1.226755656456044,0.4480937501980573,0.3408307683685445,3.6717875047921495,-0.1818760462580876,-0.2250136030158485,-0.7216868132018909,0.1616514598729594,0.6326349316254287,-0.1712176614812004,-182.1895660001316,0.1680137353013887,1.4038858390582971,2.691950451926838,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,27.48
1826,-18.7011728,-45.1956825,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0305,0.0116049287920289,0.0157881434068391,0.0063182855493461,0.0044219726779969,0.0014206800443691,0000SET_000_IMG_0065,1.6372880462763617,6.0663563129869065,1.2609725118696369,0.3935575940498224,0.3348489500287117,3.5466069550566197,-0.178789931608306,-0.176561199107996,-0.6328501458843978,0.2248521427646034,0.6998690773725073,-0.1988570343768041,-139.97313129369192,0.1527106775187877,1.3604687878553408,2.4988018163365644,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,51.887
1976,-18.701076,-45.1953285,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0330,0.0116538785274113,0.015865182526242,0.006460931084322,0.0046661732475044,0.0015183961253169,0000SET_000_IMG_0070,1.6299898497534169,5.834354368530161,1.273097971230814,0.3684991950612789,0.3273172202399714,3.5484228008509486,-0.179604055144496,-0.1612960374321402,-0.619417505906337,0.2350119673929687,0.7222137469980552,-0.1951139494701322,-128.5000311953579,0.153032256101326,1.3613650158550406,2.455556686673259,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,89.962
4648,-18.706597,-45.1904332,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0091,0.0118393667681301,0.0162508212100406,0.0058186402995881,0.0033900819807228,0.0010169829944563,0000SET_000_IMG_0159,1.725338431174505,8.463981177836317,1.2125976587425054,0.5198479707459193,0.3704875212596691,3.5769882873917567,-0.1709371723985343,-0.2637237007416091,-0.7024461557609952,0.1747801792333325,0.5826244287626412,-0.214089300933786,-210.51414045349165,0.1570460989915307,1.3726089856245955,2.792889811592408,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,96.094
4828,-18.7064468,-45.1909026,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0121,0.0115966738644996,0.0158114795934294,0.005701442891169,0.0033210132700748,0.000973959196024,0000SET_000_IMG_0165,1.7067040479884832,8.50992870356039,1.2079819141293189,0.5258911671306657,0.3728449914187927,3.5549936190511677,-0.1724845747963867,-0.2638338805478932,-0.7081945976280363,0.1708267915008973,0.5824864571069787,-0.2092856150881813,-214.88129681669352,0.1537792662829127,1.3634495354596805,2.773241773221985,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,51.592
5068,-18.706878,-45.1910117,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0161,0.011032090261681,0.0154776062396085,0.0052788642604414,0.0034284059342935,0.000618554341702,0000SET_000_IMG_0173,1.5587816291205807,17.998163994727967,1.1856241931857727,0.4206879166672895,0.3717129065162938,3.6709662084856056,-0.1757964267343728,-0.2125187670490382,-0.7902287819700679,0.1171756482426162,0.6494590057913004,-0.1243517477158538,-201.03609227556373,0.1676939597445507,1.402962255790148,2.931995496757539,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,43.347
