,lat_d,long_d,Altitude,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
4766,-18.7010932,-45.1971171,679.288,2021-05-05, _Campo2021-05_0000SET_000_IMG_0163,0.0111269530044206,0.0153256052877161,0.0052352014936661,0.0029948925827635,0.0008274181725189,0000SET_000_IMG_0163,0.3844384218531911,3.599926028097025,-0.1666297555218869,-0.2722093927600031,-0.7270426917479499,0.1580489640217222,0.572068254944327,-0.201914797533029,-244.0299285648296,0.158723864698697,1.3773407042905124,2.9274146002323027,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,99.738
5306,-18.7016683,-45.1969245,683.52,2021-05-05, _Campo2021-05_0000SET_000_IMG_0181,0.0105180692214527,0.0148637354411675,0.0052979542325649,0.0035276149713365,0.0007862274366457,0000SET_000_IMG_0181,0.3511980558016294,3.705982067300415,-0.1777543738867245,-0.2005920774430968,-0.7415503088527237,0.1484020816588035,0.6658447424202596,-0.1481277380663655,-188.4031657535716,0.1712118691904782,1.413161971861847,2.805561314555093,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,95.559
5336,-18.7015297,-45.1969078,683.185,2021-05-05, _Campo2021-05_0000SET_000_IMG_0182,0.0105285608273389,0.0148825544491157,0.0052931738432552,0.0035305650106119,0.0007847676589552,0000SET_000_IMG_0182,0.351780133039915,3.7068367782135,-0.1774186664084513,-0.1997575927658849,-0.7417653135786848,0.1482603221043242,0.6670034114051827,-0.1477411761841804,-188.26104070200284,0.1713420908294851,1.4135411945829328,2.81165041803411,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,86.224
5366,-18.7013309,-45.1968854,682.877,2021-05-05, _Campo2021-05_0000SET_000_IMG_0183,0.0105488103553363,0.0149196479859951,0.0053036234009895,0.0034824457394499,0.0007911834401345,0000SET_000_IMG_0183,0.351562379975077,3.7086758899800927,-0.1771775857171536,-0.2072801422831189,-0.7403745645239873,0.1491779073127418,0.6566163311671372,-0.1521897446518034,-192.3570905704642,0.1716176759535381,1.4143441282407485,2.8131047131309384,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,76.585
5396,-18.7011717,-45.1968673,682.667,2021-05-05, _Campo2021-05_0000SET_000_IMG_0184,0.0105390044467331,0.0148705084870598,0.0053013134307501,0.003474884015335,0.0007685922571049,0000SET_000_IMG_0184,0.3522200347446624,3.699869725496415,-0.1783867792135831,-0.2081117051701972,-0.7467531468758265,0.1449814781081807,0.6554760552694443,-0.1482566554604288,-192.89376661023823,0.1704678106822779,1.4109974582721985,2.8050611761236164,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,72.929
5426,-18.7009934,-45.1968432,682.722,2021-05-05, _Campo2021-05_0000SET_000_IMG_0185,0.010580059753204,0.0149882141851371,0.0053241771003301,0.0034640413512613,0.0007805850143857,0000SET_000_IMG_0185,0.350667703833979,3.714353379830549,-0.1777042946622619,-0.2116624386745826,-0.7442701288870649,0.1466113917092096,0.6506247418115616,-0.1515605190065365,-194.1627320706518,0.1724071966126277,1.4166474041508283,2.815123145360402,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,73.5
5456,-18.7007963,-45.1968161,682.748,2021-05-05, _Campo2021-05_0000SET_000_IMG_0186,0.0105881615496884,0.0150355274958414,0.0053119855158801,0.003456699180227,0.0007670167227929,0000SET_000_IMG_0186,0.3509139293761133,3.7232509722534575,-0.1773737101246979,-0.2115809154908675,-0.7476504555588603,0.1443936020721282,0.6507358067700393,-0.1494518454094085,-194.848222950364,0.1735646236672104,1.4200319314436494,2.830491056666649,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,80.112
5486,-18.7006177,-45.1967884,682.665,2021-05-05, _Campo2021-05_0000SET_000_IMG_0187,0.0106057966009918,0.0150826433408347,0.0052986928481729,0.0034534316668791,0.0007638817664377,0000SET_000_IMG_0187,0.351868278848076,3.728520804056304,-0.1765311981577954,-0.21083580085273,-0.7480008692687193,0.144164190740194,0.6517516236235349,-0.1491700543817667,-195.2789828685257,0.1742747613315979,1.422113199816056,2.846483797609728,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,90.217
6356,-18.7004833,-45.1964649,678.303,2021-05-05, _Campo2021-05_0000SET_001_IMG_0216,0.0112933004240411,0.0164686232038477,0.005200660886023,0.0036445219043773,0.0008418434779715,0000SET_001_IMG_0216,0.3699543952523382,3.813362014225168,-0.1570070383621674,-0.1759306753201959,-0.721359414156886,0.1618724036081626,0.7007805323688975,-0.1564451092954657,-185.836338213886,0.1864180180442405,1.458264863723045,3.166640464504777,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,83.684
6386,-18.7006577,-45.1964912,678.323,2021-05-05, _Campo2021-05_0000SET_001_IMG_0217,0.0114531128156556,0.0165140621717259,0.0053242131216794,0.0038574079130732,0.0009492187834111,0000SET_001_IMG_0217,0.3711321678605297,3.768412702728231,-0.156433187844044,-0.1597544924860561,-0.6973845264373181,0.1782833935677787,0.7245029124334659,-0.1631981764425214,-171.92893703183435,0.1809603350482752,1.441884179220896,3.101690671337537,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,67.335
