,lat_d,long_d,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
5098,-18.7060292,-45.1916453,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0166,0.0120800924188099,0.0165295913673894,0.0063714201457002,0.0047241334407641,0.001333126385704,0000SET_000_IMG_0174,1.5988755968597983,7.05406075774578,1.2542336168750217,0.3245243885153517,0.3453607621766211,3.561974284510676,-0.1761044895723931,-0.1484636789051841,-0.653937741755444,0.2092353596558328,0.7414569017163648,-0.1718376043984356,-128.89820968301615,0.1555242267559015,1.368333187720583,2.594333914479728,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,75.772
5218,-18.7060091,-45.1920003,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0186,0.0118343699434266,0.0165217504645708,0.0065262969917131,0.0048594607546541,0.0012039237419437,0000SET_000_IMG_0178,1.613944566437478,9.676572165725522,1.2745666042013293,0.2960219215138909,0.3212778793080139,3.641151097810152,-0.1876975119723468,-0.1463966012794211,-0.6885150415687598,0.184472717602709,0.7445969377159054,-0.1460173008915906,-121.28450981110304,0.1653040138672213,1.3960819666405482,2.5315658306003592,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,99.121
5248,-18.7070409,-45.1912136,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0191,0.0116416956797368,0.0162277246225332,0.0063575979715973,0.0046188249373089,0.0011227665920238,0000SET_000_IMG_0179,1.6127168528559332,10.070134253065406,1.263690384849074,0.3183189691507261,0.3256216032161528,3.637950041549418,-0.1878342399230713,-0.158409806976148,-0.6998096596831396,0.1766023263880136,0.7265047204846226,-0.1466413373110039,-130.60714341943606,0.1645541562420967,1.393931354070585,2.5524930476936247,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,45.796
5578,-18.7073589,-45.1914156,2021-05-05, _Campo2021-05-TM_0002SET_001_IMG_0246,0.0118997939586972,0.0167452397014875,0.0064721494736051,0.0046180852254294,0.0011489156530116,0000SET_000_IMG_0190,1.641117011411748,10.371640129984309,1.2678028922637157,0.3231244088590761,0.3241305936402903,3.6702187666855934,-0.185834441102178,-0.1671798928057953,-0.6984894804273507,0.1775168601555232,0.7135319176825262,-0.1522369464789665,-132.50489370556903,0.1691548280330788,1.4071873647231437,2.5872764171746034,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,79.407
5758,-18.7068448,-45.1921147,2021-05-05, _Campo2021-05-TM_0002SET_001_IMG_0276,0.0123043110134717,0.0173628033586751,0.0068480796017305,0.004891151804889,0.0013210080043858,0000SET_000_IMG_0196,1.6881500876829096,9.75273019324812,1.2929384449352344,0.3117378219902841,0.314248298447443,3.6754071469041953,-0.1863029726454903,-0.1666998229320218,-0.6765837096919503,0.1929019639392017,0.7142369962599461,-0.162719774695581,-123.17849260212265,0.1705084047524556,1.4111154488589386,2.535426625924083,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,84.069
9888,-18.5904478,-45.2192116,2021-05-06, _Campo2021-05-TM_0006SET_000_IMG_0102,0.012330037419449,0.0204417754465128,0.0103605111703374,0.0054714385008456,0.0007988071221785,0000SET_001_IMG_0311,2.9195359691414797,5546.7148540949975,1.7982764910396398,0.2831779704896279,0.0963481011845076,4.284264492460329,-0.2917661005592428,-0.3088105237215852,-0.8568358565927405,0.0771011303443714,0.5281050723163708,-0.0812103567567592,-101.6645376612104,0.2475217974739809,1.657884299221072,1.973046996468524,Região 5,Seco,Substrato consolidado,Campanha 4,TM02,MD EXTRA 1,2021-05-06,,,,-18.590977,-45.218929,Subsuperfície,220,25.8,7,,77.5,5.6,0.35,1.79,-0.2,0.22,,,2.01,-146.45,50,,,,5.5,Não,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,65.953
10148,-18.5903379,-45.2185352,2021-05-06, _Campo2021-05-TM_0006SET_000_IMG_0122,0.0078416727292077,0.0174838336012346,0.0107704714866641,0.0673990865212582,0.0982068641060712,0000SET_001_IMG_0315,1.098556981043388,1.0787267783819308,2.710630387193191,2073.0714830640177,-0.1675146780880816,5.476625069012625,3.452503238377704,0.7244330974578994,0.8023355695368627,9.11815831160874,6.257765651644047,11.0666188060827,112.68681580271084,0.3807292437204553,2.2296051116891125,1.623311813497016,Região 5,Seco,Substrato consolidado,Campanha 4,TM02,MD EXTRA 1,2021-05-06,,,,-18.590977,-45.218929,Subsuperfície,220,25.8,7,,77.5,5.6,0.35,1.79,-0.2,0.22,,,2.01,-146.45,50,,,,5.5,Não,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,82.297
10213,-18.5909744,-45.2195815,2021-05-06, _Campo2021-05-TM_0006SET_000_IMG_0127,0.0083053221079744,0.0183113167997879,0.0147141872080034,0.0703501475853008,0.0986065396283166,0000SET_001_IMG_0316,1.1830277272999947,1.151268836874067,5.796378911364041,884.2244873778535,-0.34999476936051,5.42509137993196,3.15187626473181,0.6540456762812041,0.7403089863824027,6.701460178152561,4.781109998861212,10.47103936839827,106.19011079657972,0.3759300611353831,2.2047690097661823,1.24446675449582,Região 5,Seco,Substrato consolidado,Campanha 4,TM02,MD EXTRA 1,2021-05-06,,,,-18.590977,-45.218929,Subsuperfície,220,25.8,7,,77.5,5.6,0.35,1.79,-0.2,0.22,,,2.01,-146.45,50,,,,5.5,Não,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,68.769
10473,-18.591329,-45.219607,2021-05-06, _Campo2021-05-TM_0006SET_000_IMG_0147,0.0076991157567378,0.0174025670143468,0.0107222218944632,0.064370016716681,0.0925992805299285,0000SET_001_IMG_0320,1.102456532605969,1.0829102549731442,2.736187839442509,966.285621520327,-0.1737161037927985,5.5313002319725495,3.2618155277534617,0.714425296334901,0.7924493615971278,8.636202593209289,6.003421431701645,10.58871497646323,114.34986228689876,0.386565767167877,2.2603332076306457,1.623037387738938,Região 5,Seco,Substrato consolidado,Campanha 4,TM02,MD EXTRA 1,2021-05-06,,,,-18.590977,-45.218929,Subsuperfície,220,25.8,7,,77.5,5.6,0.35,1.79,-0.2,0.22,,,2.01,-146.45,50,,,,5.5,Não,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,81.474
10538,-18.5906083,-45.2184522,2021-05-06, _Campo2021-05-TM_0006SET_000_IMG_0152,0.0124425368981536,0.0234032204525427,0.0281141810060465,0.0838774250610076,0.0953975527840225,0000SET_001_IMG_0321,1.6730421477749486,1.7015776186142129,72.39123747814996,1.3033268696360725,-0.6696362212060526,4.759886471201279,1.8770246955507284,0.4979234249178754,0.5447528725678527,3.3932182752720204,2.9834561086082547,6.529705226141712,68.44730326494631,0.3057735242459925,1.8809042435723535,0.8324347220895172,Região 5,Seco,Substrato consolidado,Campanha 4,TM02,MD EXTRA 1,2021-05-06,,,,-18.590977,-45.218929,Subsuperfície,220,25.8,7,,77.5,5.6,0.35,1.79,-0.2,0.22,,,2.01,-146.45,50,,,,5.5,Não,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,64.854
