Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR
0.0096375600499952,0.015142249913411,0.0049113084792234,0.0026458790701831,0.0005137715333644,0000SET_000_IMG_0005,1.6452307391268315,20.328673568613127,1.1837767378340638,0.5948683430201328,0.3121234689559517,4.120616874924254,-0.1774645145524966,-0.29977149491522337,-0.8105939332978326,0.10460990905740052,0.538732006221177,-0.14086871514441396,-274.1855202096235,0.22214415169224047,1.5711704866024196,3.0831396515751677
0.0103077710848741,0.0149401463561966,0.0053319493932244,0.0031476264881677,0.000597463000154,0000SET_000_IMG_0006,1.6376718346918793,21.17424021065389,1.204323093550699,0.4934162458043497,0.3330503981030895,3.804938858631509,-0.1875198777927255,-0.25759813174737434,-0.7984748030610219,0.11205338912504101,0.59033315135503,-0.1318514322257923,-220.68551892218719,0.18347553940377798,1.4494061066334867,2.8020045304972063
0.0102972109935591,0.0158580805658573,0.0053276508441813,0.0035949867182518,0.0007499544423368,0000SET_000_IMG_0007,1.5390976439487063,11.337657078414047,1.204191478688939,0.4214066907319372,0.31337715360567303,4.034368224939438,-0.17501989574252874,-0.1941874377173539,-0.7532072561538614,0.1407664398945884,0.674778964199228,-0.13578035398551214,-181.0514696898535,0.2126097336619511,1.5400364793706294,2.976561533340162
0.0104133368311273,0.0159394543325425,0.0054763106401982,0.0037736107353385,0.000845044054001,0000SET_000_IMG_0008,1.5434653380471641,9.745811129637053,1.214257900305544,0.40634302083342577,0.30973621103512367,4.009530922082941,-0.17574102710539088,-0.18407723003601267,-0.7326383046417388,0.15430900646834309,0.6890790138234241,-0.14278497151529795,-168.96748854602197,0.20969761673797788,1.5306769185547384,2.9106190973793287
0.0105155918702404,0.015956450653065,0.0055121382126674,0.0037718573100822,0.0008756807636469,0000SET_000_IMG_0009,1.552601943778275,9.26295340785507,1.2150302904860404,0.4119399283887632,0.3135693373395612,3.975058816922802,-0.17514543673532804,-0.18744956288709935,-0.7258279337927769,0.1588640795752373,0.6842820634312335,-0.14888717865273712,-170.024493895098,0.20553226212275033,1.5174087060398829,2.8947842084938307
0.0105615784250946,0.0160170843495392,0.0055438672370816,0.003774582734402,0.0008970204323484,0000SET_000_IMG_0010,1.560006735329481,9.008388746381828,1.216721420275249,0.41575796547926425,0.3132724457530472,3.9722026465808415,-0.17483373201032773,-0.18986897049337387,-0.7214606189746564,0.16180409702967727,0.6808573461418268,-0.15271515302901917,-170.24712874065847,0.2052588563504119,1.5165426705048337,2.8891536655864987
0.0107482663416424,0.01615824475869,0.0056977220970274,0.0039103542028932,0.0010082547506644,0000SET_000_IMG_0011,1.5736629151300923,7.890828822036621,1.2258075640148725,0.41128483974974667,0.3125676284794973,3.936334657138909,-0.17428745513962482,-0.18602765406317293,-0.6992966800917478,0.17695751626609238,0.686301321177686,-0.16403603967654454,-162.69304912121788,0.20106577165929052,1.5033349793433683,2.835913104136833
0.0137249407274061,0.0184170107738413,0.0090417881004227,0.0056909383886027,0.0031049325813331,0000SET_000_IMG_0012,2.1914401531546,5.415371182121984,1.4941000237659976,0.5256229993978465,0.25428407924021745,3.4677135520513644,-0.18470737593077372,-0.227442606384914,-0.48876200207737314,0.34339806981187115,0.62940408748759,-0.3193668001637264,-102.85788557335006,0.1459796256071479,1.3418645034339587,2.036877061184426
0.0103308840357307,0.0156593958775611,0.0050802426265572,0.0036797538580727,0.0006620767602779,0000SET_000_IMG_0013,1.4667455152105606,12.193427039429558,1.1834111231263247,0.3791350577929398,0.33530293570886277,3.9738464853447137,-0.16999300819456686,-0.15987321124406464,-0.769404411117994,0.1303238465062404,0.7243264010338049,-0.11583706255988442,-174.96017004321823,0.2050194095487722,1.5157846921329339,3.082411024170557
0.0101322051427943,0.015490173097136,0.0048666063019903,0.0034273485844445,0.0005012895647,0000SET_000_IMG_0014,1.45847879234813,20.719830968643393,1.170657729489415,0.3952564501747827,0.3399315687296977,4.009286101684211,-0.17037125501829198,-0.17353093153421678,-0.8132267923412302,0.10300598273071467,0.7042584445433391,-0.09678674925856764,-193.07553173681225,0.2091128272391109,1.528805711968052,3.182951760614162
0.0101018223344557,0.0154882567472831,0.0056517406073543,0.0035202657146721,0.0008981111204934,0000SET_000_IMG_0015,1.6414051087743362,9.793884710285905,1.2375658717144344,0.4842922990940484,0.28731972872815525,4.0206508145579285,-0.18576064074194723,-0.23238916523242067,-0.7257613888647455,0.15890876508464263,0.6228639916862729,-0.16622009405151408,-185.07742556421846,0.21048916635318976,1.5332141305292148,2.7404401269104746
0.0101374411381925,0.0155397784396075,0.0056558929684275,0.0035372124820122,0.0009047037739371,0000SET_000_IMG_0016,1.638700264188271,9.664510293293013,1.2370255503681595,0.48120815142766954,0.28839202484010407,4.0193361995161005,-0.18503518965885937,-0.23046406873468037,-0.7242007672579422,0.1599577253295572,0.6254030091725103,-0.1665236374869051,-184.06426753613027,0.21039417001698077,1.532909363198358,2.747537572997603
0.0096299625345135,0.0152178948165232,0.0052359740396025,0.003086713764329,0.0005762676398284,0000SET_000_IMG_0017,1.6242796343052501,21.1608077682467,1.211554051842222,0.510239977218976,0.28873826162473665,4.142560521624267,-0.187529505419496,-0.25824112665360643,-0.8017055478378441,0.11005930042238111,0.5895204485321196,-0.1268518217808504,-220.12657489951044,0.22488588062409176,1.5802652151535084,2.9064114339418112
