Blue,Green,Red,Near-IR,RedEdge,Image
0.009466714123837953,0.014791571966759901,0.004703384192596774,0.0025721726451227757,0.0005384672387858235,0000SET_000_IMG_0005
0.01008995189187016,0.014669886868854435,0.0050834593316789675,0.0030134039891209522,0.0005779606619216248,0000SET_000_IMG_0006
0.010137454093103748,0.015553040795227704,0.005112207065678925,0.0034551831362434524,0.0007323176136983643,0000SET_000_IMG_0007
0.01029142905085515,0.015648574083496312,0.005289323919045597,0.0036704478469708713,0.000841769997561817,0000SET_000_IMG_0008
0.010362667670512554,0.015649002849597506,0.005279914456352395,0.0036358779456451117,0.00085624677882206,0000SET_000_IMG_0009
0.010408284629339444,0.015710401308508374,0.005318724929395735,0.0036285785575982973,0.0008843385610185998,0000SET_000_IMG_0010
0.010619041796994761,0.01588719428339911,0.005480768215811024,0.0037907509428027407,0.0010071735219617617,0000SET_000_IMG_0011
0.015070027966105019,0.01932981506591208,0.010312990685679424,0.008162395304200726,0.004258553478921247,0000SET_000_IMG_0012
0.01061111835297443,0.015623809093691267,0.0052665112530378335,0.004015279998144506,0.0009517500985060785,0000SET_000_IMG_0013
0.010314794066422248,0.015388240987265905,0.004972177806190736,0.003671436272680059,0.0007350088485976949,0000SET_000_IMG_0014
0.010246553042087662,0.015350742121832744,0.005643942272524759,0.0036997231900873007,0.0010757231816128994,0000SET_000_IMG_0015
0.010349708817714421,0.015456432130945906,0.005733623979666929,0.003826702257276023,0.0011319445210518462,0000SET_000_IMG_0016
0.009582005566167444,0.015014042384682694,0.0051193181312274485,0.003120559806231758,0.0006605792944106639,0000SET_000_IMG_0017
0.009525825900764883,0.014951217950317106,0.00501976460950913,0.002972676153221786,0.0005946846267006979,0000SET_000_IMG_0018
0.009737621104694486,0.01504972328968832,0.0052352549042994365,0.0032322522589528797,0.0007440859619855117,0000SET_000_IMG_0019
0.010058274676649104,0.015328755580780382,0.005510617156330291,0.003588241970247033,0.0009623479328613055,0000SET_000_IMG_0020
0.010367292887247984,0.01482789410100413,0.005367461026668933,0.0033689791010300786,0.0008082442962651734,0000SET_000_IMG_0021
0.01035722160291042,0.014821043041978423,0.005343479788400392,0.0033368698970995436,0.0007997874554937096,0000SET_000_IMG_0022
0.01031498971430754,0.01480899565347274,0.005306059079203828,0.00361236864956515,0.0007375619878790214,0000SET_000_IMG_0023
0.010358881856721507,0.014846696835565327,0.00534819163156165,0.0036435234896636435,0.00076967454160396,0000SET_000_IMG_0024
0.010353260440900692,0.014859125055017054,0.005316900049097609,0.003568061787151861,0.000753296169410469,0000SET_000_IMG_0025
0.01039643390887704,0.014884202664215732,0.005346103939468337,0.0036177779271387082,0.000772713750034623,0000SET_000_IMG_0026
0.010394495265074983,0.014898069703608798,0.00535035931338411,0.003568442773390585,0.0007460035327655828,0000SET_000_IMG_0027
0.010440274194017177,0.014884892840508378,0.00537667561411813,0.0035893932236918903,0.0007754449926962088,0000SET_000_IMG_0028
0.010548657786814148,0.014981937331352332,0.00543450910118403,0.003600089591551441,0.0008253856954139109,0000SET_000_IMG_0029
0.010719854592470875,0.01509568839891491,0.005553950107116648,0.003697931996710265,0.0009101243732634189,0000SET_000_IMG_0030
0.01113787069708563,0.015750444543224,0.0033456280302275204,0.0017079559014365675,0.0007159327488561741,0000SET_000_IMG_0031
0.010768535812104081,0.015579895605933116,0.005557811397426779,0.0036897641905686784,0.0008926046871897941,0000SET_000_IMG_0032
0.010654947983104773,0.015488590147823288,0.0054656557286861095,0.0035625037393075196,0.0010580052001493495,0000SET_000_IMG_0033
0.010812402106861803,0.015648964296381934,0.005664828005755621,0.003919052723747355,0.0012082729595409326,0000SET_000_IMG_0034
0.010534688289637809,0.01536429446799742,0.005453452003577659,0.0036730720380529075,0.0010665439466053886,0000SET_000_IMG_0035
0.010579287437797465,0.015451261591867133,0.005492362913316588,0.003721650127783681,0.0011063829001342694,0000SET_000_IMG_0036
0.010445045275431268,0.015292167575701107,0.005396704490165746,0.0036576120005164655,0.0010420517720071284,0000SET_000_IMG_0037
0.010522104132520296,0.015335392539092104,0.005462526507614268,0.0036614186961375856,0.001083035037977356,0000SET_000_IMG_0038
0.010094680173142318,0.015113064884139476,0.00507332587230996,0.0032683834729298356,0.0008074291423130926,0000SET_000_IMG_0039
0.009908685424851363,0.015016720671427789,0.004900767124923187,0.0030455303614446137,0.0006597450457529811,0000SET_000_IMG_0040
0.010116056583430679,0.015154029434021015,0.005093228313654081,0.003234823740496977,0.0008154611043291523,0000SET_000_IMG_0041
0.010447355692608816,0.01535369585965436,0.00538796135530388,0.0037193887999595592,0.0010313518534944323,0000SET_000_IMG_0042
0.010425746950640469,0.015382438698286033,0.005389741306640281,0.0036910461848412715,0.001034080604353172,0000SET_000_IMG_0043
0.010491126722194995,0.014892576008616383,0.005333426641019476,0.003443643307422406,0.0008313891111834251,0000SET_000_IMG_0044
0.010433305591390132,0.014896439761329393,0.0053097834880858116,0.0033591492601925017,0.0007933101979712876,0000SET_000_IMG_0045
0.010466065863504442,0.01490806147628162,0.0053135905997639616,0.003370382502651801,0.0007885703171422978,0000SET_000_IMG_0046
0.01047658135208146,0.014911460413057123,0.005291821217866005,0.0033524710814208537,0.0007845640324999856,0000SET_000_IMG_0047
0.010451386787195649,0.0148590958318289,0.005273260162774407,0.003288835073370644,0.0007484859121101983,0000SET_000_IMG_0048
0.010505724089834459,0.014901953381668191,0.005300021013707641,0.00335220646206517,0.0007655410160873691,0000SET_000_IMG_0049
0.010533151895576185,0.014972541420463153,0.0053141893462239275,0.003341925315405346,0.0007713135819601183,0000SET_000_IMG_0050
