Latitude,Longitude,DateTime,Image Index
-18.7011728,-45.1956825,2021:05:05 14:55:54, _Campo2021-05-TM_0000SET_001_IMG_0305
-18.700143,-45.195508,2021:05:05 14:56:05, _Campo2021-05-TM_0000SET_001_IMG_0310
-18.6985258,-45.1952083,2021:05:05 14:56:24, _Campo2021-05-TM_0000SET_001_IMG_0315
-18.6991083,-45.1949996,2021:05:05 14:56:39, _Campo2021-05-TM_0000SET_001_IMG_0320
-18.7000859,-45.1951693,2021:05:05 14:56:49, _Campo2021-05-TM_0000SET_001_IMG_0325
-18.701076,-45.1953285,2021:05:05 14:57:00, _Campo2021-05-TM_0000SET_001_IMG_0330
-18.7021107,-45.1954765,2021:05:05 14:57:10, _Campo2021-05-TM_0000SET_001_IMG_0335
-18.7031231,-45.1956389,2021:05:05 14:57:20, _Campo2021-05-TM_0000SET_001_IMG_0340
-18.7041931,-45.1957287,2021:05:05 14:57:31, _Campo2021-05-TM_0000SET_001_IMG_0345
-18.704098,-45.1955006,2021:05:05 14:57:47, _Campo2021-05-TM_0000SET_001_IMG_0350
-18.7031418,-45.1953745,2021:05:05 14:57:58, _Campo2021-05-TM_0000SET_001_IMG_0355
-18.7021164,-45.1952265,2021:05:05 14:58:08, _Campo2021-05-TM_0000SET_001_IMG_0360
-18.7010973,-45.195062,2021:05:05 14:58:18, _Campo2021-05-TM_0000SET_001_IMG_0365
-18.7000733,-45.1948844,2021:05:05 14:58:29, _Campo2021-05-TM_0000SET_001_IMG_0370
-18.699151,-45.1945034,2021:05:05 14:58:54, _Campo2021-05-TM_0000SET_001_IMG_0375
-18.7004991,-45.1946156,2021:05:05 14:59:05, _Campo2021-05-TM_0000SET_001_IMG_0380
-18.7014536,-45.1947727,2021:05:05 14:59:15, _Campo2021-05-TM_0000SET_001_IMG_0385
-18.7024488,-45.1949334,2021:05:05 14:59:25, _Campo2021-05-TM_0000SET_001_IMG_0390
-18.7034469,-45.1951011,2021:05:05 14:59:36, _Campo2021-05-TM_0000SET_001_IMG_0395
-18.7044482,-45.1952523,2021:05:05 14:59:46, _Campo2021-05-TM_0000SET_002_IMG_0400
-18.70509,-45.1950528,2021:05:05 14:59:57, _Campo2021-05-TM_0000SET_002_IMG_0405
-18.7041469,-45.1949133,2021:05:05 15:00:11, _Campo2021-05-TM_0000SET_002_IMG_0410
