,lat_d,long_d,Altitude,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
6416,-18.7008938,-45.1965224,678.561,2021-05-05, _Campo2021-05_0000SET_001_IMG_0218,0.0116678764743153,0.0167019849350096,0.0055580250468819,0.0040713171758559,0.0010977173326071,0000SET_001_IMG_0218,0.3658158866271236,3.7379875689878297,-0.1572199331509155,-0.1543935023428112,-0.670144284433263,0.1975013288619361,0.7325114841178961,-0.1755418592343921,-159.9153570960539,0.1774456486784118,1.4314502704734635,3.005021530872654,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,48.786
6446,-18.7011131,-45.1965546,678.56,2021-05-05, _Campo2021-05_0000SET_001_IMG_0219,0.0115806660247174,0.0165799282127323,0.0054797097898709,0.0039033384893088,0.0010090090132958,0000SET_001_IMG_0219,0.3679724155959472,3.739821980856453,-0.1587573308602161,-0.1680020451413377,-0.6889959192550086,0.1841354838099139,0.712325768879954,-0.1713702237316277,-169.84013172674108,0.1775268712677438,1.4316903861439954,3.0256945802823108,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,40.751
6476,-18.7013315,-45.1965885,678.482,2021-05-05, _Campo2021-05_0000SET_001_IMG_0220,0.0115287978333134,0.0165330249772553,0.0054652135337058,0.0038803305030455,0.0009832830935718,0000SET_001_IMG_0220,0.3667558905856219,3.746799870621084,-0.15971629749034,-0.1695870271894023,-0.6950349359221364,0.1799166834941698,0.7100052869140802,-0.1681125929493255,-170.97069404361707,0.1783286559010414,1.434063222921802,3.025137970417918,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,46.538
6506,-18.7015469,-45.1966222,678.669,2021-05-05, _Campo2021-05_0000SET_001_IMG_0221,0.0115372450451632,0.0164761810582731,0.0054693207700606,0.0039306415028297,0.0010151516792737,0000SET_001_IMG_0221,0.368284631835588,3.7308952625526857,-0.1590012258529321,-0.1636899407211968,-0.6868976814365473,0.1856083638083001,0.7186708675684693,-0.170277069122773,-167.73559321164635,0.1763060325028955,1.428086254021316,3.0124729835676733,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,62.023
6536,-18.7017402,-45.1966573,678.854,2021-05-05, _Campo2021-05_0000SET_001_IMG_0222,0.0115732977452754,0.0164645666537909,0.0054945642875331,0.0040168317116598,0.001069615293696,0000SET_001_IMG_0222,0.3692009383279271,3.7159368255592176,-0.1578204720179921,-0.1553644255794517,-0.6741054139485557,0.1946679004416974,0.7310555489857123,-0.1738623619048605,-162.54663048439423,0.1744522635139923,1.4226339817890088,2.996519067244004,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,80.034
6566,-18.7019141,-45.1966888,678.984,2021-05-05, _Campo2021-05_0000SET_001_IMG_0223,0.0115985133951027,0.0164915611053475,0.0055489620074243,0.0040392857841886,0.0010838749014514,0000SET_001_IMG_0223,0.3668270910821651,3.713554194700748,-0.1589560435626946,-0.1574506892235571,-0.6731790887241573,0.195329306634505,0.7279353830111269,-0.1748838367155789,-161.35057328239142,0.1741913397262929,1.4218685225910777,2.972008293313672,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,97.567
7046,-18.7019797,-45.1963954,682.33,2021-05-05, _Campo2021-05_0000SET_001_IMG_0239,0.0107693446044092,0.0159896146749552,0.0054076296035227,0.0035660835016416,0.0008307902216065,0000SET_001_IMG_0239,0.3353248411473382,3.888959561168656,-0.1710395136871299,-0.2052156203680397,-0.7336536350888202,0.1536329746152172,0.6594540978395674,-0.155825938550008,-187.5635202454444,0.1950849439264887,1.4847342398541792,2.95686203517694,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,91.472
7076,-18.701799,-45.1963693,682.15,2021-05-05, _Campo2021-05_0000SET_001_IMG_0240,0.0107528975870091,0.0160096518185093,0.0054171517039281,0.0035681636793057,0.0008254549152961,0000SET_001_IMG_0240,0.3332830684619989,3.899715240087252,-0.1715717258119362,-0.2057788676035267,-0.735541588427469,0.1523780319272845,0.6586789283966966,-0.1545730472174201,-187.25801294910585,0.1964220281052993,1.4888686225237595,2.955363389011302,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,71.381
7106,-18.7016593,-45.1963478,682.368,2021-05-05, _Campo2021-05_0000SET_001_IMG_0241,0.0108428236798967,0.0161248341458531,0.0054819801514488,0.0036420037010836,0.0008646608992634,0000SET_001_IMG_0241,0.3324588321317136,3.894000236362908,-0.1712169177620089,-0.2016637118285239,-0.7275217261053795,0.1577278420161525,0.6643591549891104,-0.1576685216359497,-182.3472320423726,0.19586463533785,1.4871434436169606,2.9414251238380653,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,55.897
7136,-18.701501,-45.1963237,682.671,2021-05-05, _Campo2021-05_0000SET_001_IMG_0242,0.0108067362498589,0.016143204037753,0.0054459381804135,0.0035655117026788,0.0008263960400428,0000SET_001_IMG_0242,0.332077700121269,3.9114391775942217,-0.1714119619958553,-0.2086708023825159,-0.7364948961591906,0.1517453949468176,0.6547102784791577,-0.1553044228606414,-187.9297762034267,0.1980140857806322,1.493809385600928,2.964265017882975,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,38.572
