,lat_d,long_d,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
5098,-18.7060292,-45.1916453,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0166,0.0107916286061842,0.0153704531974094,0.0050592272304675,0.0031174947375315,0.0004590527151789,0000SET_000_IMG_0174,1.565801406432615,35.77259806169664,1.1733703241806832,0.4518654687292543,0.3729494050756332,3.7315340912711648,-0.1758336568864609,-0.237470773805848,-0.8336247092570699,0.090735737745561,0.6161997861565564,-0.1047126647077549,-228.1059696312803,0.1750175932328236,1.4242941226314332,3.038102954705414,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,75.772
5218,-18.7060091,-45.1920003,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0186,0.01088232420162,0.0154491286764734,0.0056810872480686,0.0037355305548244,0.0008482733721473,0000SET_000_IMG_0178,1.6029699332869174,11.484167873344305,1.2213041444389834,0.4174985319117719,0.3366686278865726,3.717858723141424,-0.1835376839362322,-0.2066088625415465,-0.7401664813792285,0.1493153220689732,0.657537966186731,-0.1491327835273584,-175.8074559735939,0.1734353397055723,1.4196534113708503,2.7193964820247465,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,99.121
5248,-18.7070409,-45.1912136,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0191,0.0108423025091546,0.0154369373131828,0.005658066627619,0.0036843227726311,0.0008150803515345,0000SET_000_IMG_0179,1.6072859619182434,12.426462077989052,1.2202238429701342,0.4219087125686646,0.3358331886927064,3.729391400700857,-0.1842894356467629,-0.2112675644771413,-0.7481656590961296,0.1440563367627747,0.651162846801173,-0.146053408922205,-179.18897032328113,0.1748389540599554,1.423769287026327,2.728306032634843,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,45.796
5578,-18.7073589,-45.1914156,2021-05-05, _Campo2021-05-TM_0002SET_001_IMG_0246,0.0111394372758616,0.015960572390856,0.0057935512148687,0.0037241765276462,0.0008547276721774,0000SET_000_IMG_0190,1.6359458256068835,12.421146005864314,1.2252121139449386,0.4225768370935343,0.3349432545449072,3.748962571919522,-0.1822443461618698,-0.2174231857861173,-0.7428724977699711,0.1475308736347765,0.6428141203081781,-0.1527779508635069,-178.74459413991883,0.1779016013014708,1.4327988026326492,2.75488587205278,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,79.407
5758,-18.7068448,-45.1921147,2021-05-05, _Campo2021-05-TM_0002SET_001_IMG_0276,0.0114526026660166,0.0165005660570521,0.0060924692161125,0.0039020440368866,0.0009826408782034,0000SET_000_IMG_0196,1.6812065018480855,11.284286517148349,1.2441742314857618,0.4172772232820374,0.3248454284156669,3.765497736456508,-0.1827996098951082,-0.219162766988038,-0.7222259823227776,0.1612877871593754,0.6404700456371657,-0.1660265529311244,-168.9595422029227,0.1805864458890345,1.4407699750218663,2.70835444082569,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,84.069
9888,-18.5904478,-45.2192116,2021-05-06, _Campo2021-05-TM_0006SET_000_IMG_0102,0.0114665413654643,0.0192808955080101,0.008469074761426,0.0029717023571422,0.000169619716146,0000SET_001_IMG_0311,3.736531887650987,605195007983.0088,1.5244759916656008,0.6211170277742528,0.155463038674372,4.349327153269364,-0.2699234762049348,-0.4805069050214825,-0.9607302430740268,0.0200281283285589,0.3508886673993456,-0.0422857204061923,-249.2972006261051,0.254146522023993,1.681491819850892,2.2766236042487877,Região 5,Seco,Substrato consolidado,Campanha 4,TM02,MD EXTRA 1,2021-05-06,,,,-18.590977,-45.218929,Subsuperfície,220,25.8,7,,77.5,5.6,0.35,1.79,-0.2,0.22,,,2.01,-146.45,50,,,,5.5,Não,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,65.953
10148,-18.5903379,-45.2185352,2021-05-06, _Campo2021-05-TM_0006SET_000_IMG_0122,0.0071860627534035,0.0170946486651091,0.0084680585127035,0.0679714601497867,0.0973758036859985,0000SET_001_IMG_0315,1.059307974937488,1.0483783787967629,1.9594257190291164,885.8761532740486,-0.0749939811232627,5.735529244653412,3.661661457971455,0.7784376809044748,0.8399896160855069,11.499188809326077,8.02680567780893,12.118049176065778,124.44620447130865,0.4080846619737382,2.3788615896810312,2.0187211318231064,Região 5,Seco,Substrato consolidado,Campanha 4,TM02,MD EXTRA 1,2021-05-06,,,,-18.590977,-45.218929,Subsuperfície,220,25.8,7,,77.5,5.6,0.35,1.79,-0.2,0.22,,,2.01,-146.45,50,,,,5.5,Não,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,82.297
10213,-18.5909744,-45.2195815,2021-05-06, _Campo2021-05-TM_0006SET_000_IMG_0127,0.0070156241808866,0.0162068563152304,0.0080049198177178,0.0649736083406294,0.0994885085684755,0000SET_001_IMG_0316,1.0553383422176366,1.042187136800092,1.8509304970446063,8519.689256067597,-0.0610417972239014,5.628512439487698,3.9394408692066536,0.7806226017507807,0.851062154442439,12.42842037571335,8.116709451207639,12.64977758964368,127.1481276748374,0.3957902832938391,2.310108964984817,2.02461194918639,Região 5,Seco,Substrato consolidado,Campanha 4,TM02,MD EXTRA 1,2021-05-06,,,,-18.590977,-45.218929,Subsuperfície,220,25.8,7,,77.5,5.6,0.35,1.79,-0.2,0.22,,,2.01,-146.45,50,,,,5.5,Não,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,68.769
10473,-18.591329,-45.219607,2021-05-06, _Campo2021-05-TM_0006SET_000_IMG_0147,0.0066757982546517,0.0153325042714659,0.0077723106389782,0.0586088740720122,0.0845722783437354,0000SET_001_IMG_0320,1.0579053197949888,1.0468917461040594,1.84038134342126,482.68219959169966,-0.0715155440306729,5.614500668660286,3.4895906948578825,0.7658279022039998,0.8316672211203814,10.881227253013376,7.540727178104311,11.225494816316552,132.73255771461746,0.3933381961894221,2.296729722289346,1.9727086298601173,Região 5,Seco,Substrato consolidado,Campanha 4,TM02,MD EXTRA 1,2021-05-06,,,,-18.590977,-45.218929,Subsuperfície,220,25.8,7,,77.5,5.6,0.35,1.79,-0.2,0.22,,,2.01,-146.45,50,,,,5.5,Não,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,81.474
10538,-18.5906083,-45.2184522,2021-05-06, _Campo2021-05-TM_0006SET_000_IMG_0152,0.0110814328115403,0.0220766961772989,0.0169318632655802,0.0800857404475531,0.0872788146544985,0000SET_001_IMG_0321,1.215923366238058,1.2345846926881696,5.719730116947342,0.0955671463445957,-0.2650047999508095,4.99576850612757,2.1215597361538885,0.6509527628481689,0.6750455211784421,5.154708214064221,4.72988348602807,6.78631366869985,77.75442065252741,0.3316008381974607,1.9922239797644248,1.303855094446536,Região 5,Seco,Substrato consolidado,Campanha 4,TM02,MD EXTRA 1,2021-05-06,,,,-18.590977,-45.218929,Subsuperfície,220,25.8,7,,77.5,5.6,0.35,1.79,-0.2,0.22,,,2.01,-146.45,50,,,,5.5,Não,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,64.854
10733,-18.5908508,-45.2182634,2021-05-06, _Campo2021-05-TM_0006SET_000_IMG_0167,0.0265719356437211,0.0478519692381722,0.0955125568824944,0.142307544508117,0.0856560960799573,0000SET_001_IMG_0324,33.14904146634919,927.7733710257664,11237760883.923882,1.3275588303889611e-11,-1.4407060427468967,4.474074135840587,-0.1324367596430039,0.1967663261095135,-0.0544048909199534,0.8968045550841746,1.489935450929167,2.621646675538305,30.60665609942204,0.2859300869555469,1.8008461965201068,0.5010018661425086,Região 5,Seco,Substrato consolidado,Campanha 4,TM02,MD EXTRA 1,2021-05-06,,,,-18.590977,-45.218929,Subsuperfície,220,25.8,7,,77.5,5.6,0.35,1.79,-0.2,0.22,,,2.01,-146.45,50,,,,5.5,Não,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,71.539
10798,-18.5913932,-45.2191464,2021-05-06, _Campo2021-05-TM_0006SET_000_IMG_0172,0.0174508036179771,0.0334751505585788,0.0658084460454898,0.0741140125878235,0.0287580666840522,0000SET_001_IMG_0325,24.319329122195093,15699.319354013149,18414746.288668185,2.4443416781567835e-08,-1.444583269099589,4.7800979970839865,-0.7275343184142827,0.0593583519290468,-0.3917917483898429,0.4369965925676669,1.1262082155319777,1.2599261626521296,43.81122613332079,0.3146597290066804,1.9182583960829216,0.5086755966770474,Região 5,Seco,Substrato consolidado,Campanha 4,TM02,MD EXTRA 1,2021-05-06,,,,-18.590977,-45.218929,Subsuperfície,220,25.8,7,,77.5,5.6,0.35,1.79,-0.2,0.22,,,2.01,-146.45,50,,,,5.5,Não,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,51.641
10799,-18.5913932,-45.2191464,2021-05-06, _Campo2021-05-TM_0006SET_000_IMG_0172,0.0174508036179771,0.0334751505585788,0.0658084460454898,0.0741140125878235,0.0287580666840522,0000SET_001_IMG_0325,24.319329122195093,15699.319354013149,18414746.288668185,2.4443416781567835e-08,-1.444583269099589,4.7800979970839865,-0.7275343184142827,0.0593583519290468,-0.3917917483898429,0.4369965925676669,1.1262082155319777,1.2599261626521296,43.81122613332079,0.3146597290066804,1.9182583960829216,0.5086755966770474,Região 5,Seco,,Campanha 4,TM02,MD EXTRA 2,2021-05-06,,,,-18.591953,-45.218854,Subsuperfície,190,25.8,7,,77.5,5.56,0.3,1.71,-0.003,0.31,,,1.98,-151,50,,,,4.75,Não,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,69.458
